Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
0.0,-1.014,0.009,0.036,7.0,0.14,-1.05,-0.996,0.114,0.224,-1.47,-4.27,5.11,-0.986,-0.146,0.073,-5.46,-5.53,-0.84,-0.948,0.318,-0.112,6.65,-3.5,-1.75,-1.0,-0.114,-0.171,11.62,-1.89,1.12
20.0,-1.015,0.008,0.037,6.742,0.189,-1.219,-0.995,0.121,0.227,-3.28,-3.554,5.235,-0.996,-0.145,0.064,-7.726,-6.274,-1.19,-0.95,0.324,-0.113,6.788,-3.297,-1.278,-0.999,-0.107,-0.172,6.37,-1.89,-0.21
40.0,-1.011,0.003,0.035,6.209,0.324,-1.393,-0.994,0.122,0.229,-3.903,-3.452,4.745,-0.988,-0.169,0.068,-5.405,-5.035,-1.189,-0.952,0.325,-0.111,6.72,-3.57,-0.7,-0.994,-0.11,-0.17,2.678,-1.592,-1.049
60.0,-1.012,0.007,0.038,6.07,0.529,-1.4,-0.98,0.123,0.231,-4.756,-1.998,3.854,-0.985,-0.164,0.07,-3.655,-4.481,-1.121,-0.948,0.322,-0.106,7.042,-3.5,-0.028,-0.99,-0.13,-0.169,0.791,-1.463,-0.973
80.0,-1.013,0.008,0.038,5.593,0.176,-1.364,-0.983,0.147,0.192,-0.938,3.327,-1.227,-0.987,-0.157,0.073,-3.15,-3.5,-1.12,-0.951,0.321,-0.101,7.33,-3.522,0.61,-0.988,-0.137,-0.17,0.087,-1.297,-0.606
100.0,-1.011,0.01,0.036,4.884,-0.06,-1.222,-1.007,0.109,0.214,-2.59,-2.94,1.82,-0.999,-0.141,0.072,-3.64,-3.85,-1.4,-0.947,0.324,-0.097,7.054,-3.636,0.819,-0.986,-0.154,-0.171,0.387,-0.844,-0.393
120.0,-1.011,0.015,0.036,4.724,0.059,-1.19,-0.991,0.122,0.235,-3.915,-0.158,0.803,-1.002,-0.133,0.07,-5.528,-4.119,-2.027,-0.942,0.322,-0.096,6.58,-3.57,0.49,-0.987,-0.164,-0.17,2.413,-0.409,0.255
140.0,-1.014,0.021,0.037,4.46,0.293,-1.083,-1.004,0.117,0.234,-3.423,-0.513,0.311,-0.986,-0.178,0.07,-6.774,-4.325,-1.49,-0.941,0.322,-0.095,6.133,-3.341,-0.106,-0.991,-0.167,-0.169,5.008,-0.007,0.762
160.0,-1.013,0.02,0.036,3.248,-0.067,-0.865,-0.994,0.105,0.227,-5.132,-0.296,0.28,-0.987,-0.17,0.078,-1.367,-3.453,-1.335,-0.946,0.33,-0.091,5.403,-2.643,-1.032,-0.993,-0.156,-0.168,6.266,-0.343,0.77
180.0,-1.009,0.015,0.029,2.186,-0.579,-0.917,-0.981,0.105,0.217,-3.979,-0.073,-0.528,-0.988,-0.153,0.077,-0.56,-2.66,-1.54,-0.95,0.333,-0.09,3.213,-2.429,-2.243,-0.99,-0.14,-0.168,5.813,-0.957,0.256
200.0,-1.007,0.02,0.031,1.434,0.009,-1.096,-1.021,0.115,0.227,-4.372,-1.724,-0.042,-0.988,-0.149,0.072,0.107,-2.117,-1.473,-0.943,0.338,-0.09,0.974,-1.655,-2.924,-0.993,-0.131,-0.172,3.843,-1.551,-0.622
220.0,-1.014,0.021,0.039,-0.097,0.347,-1.12,-0.998,0.104,0.233,-4.542,-0.219,0.985,-0.994,-0.147,0.068,-0.086,-2.1,-1.864,-0.946,0.341,-0.088,-0.499,-1.065,-3.497,-0.996,-0.128,-0.17,2.599,-1.857,-0.949
240.0,-1.019,0.018,0.034,-1.408,0.045,-1.227,-0.997,0.107,0.225,-4.266,-1.06,1.313,-1.002,-0.137,0.068,-0.494,-2.807,-1.754,-0.943,0.335,-0.085,-1.584,-0.846,-3.015,-0.997,-0.121,-0.171,1.057,-1.89,-0.98
260.0,-1.02,0.015,0.031,-2.06,-0.237,-1.476,-1.002,0.104,0.23,-2.765,-0.712,1.536,-0.987,-0.153,0.072,-2.199,-3.206,-1.75,-0.949,0.345,-0.087,-2.706,-0.84,-2.632,-0.998,-0.114,-0.175,-1.032,-2.251,-1.561
280.0,-1.019,0.01,0.032,-2.763,-0.433,-1.54,-0.989,0.105,0.229,-2.798,-1.08,1.336,-0.996,-0.16,0.069,-1.97,-3.285,-1.514,-0.948,0.348,-0.094,-5.467,-0.893,-2.422,-0.999,-0.113,-0.172,-5.139,-3.069,-2.749
300.0,-1.016,0.005,0.036,-3.488,-0.49,-1.629,-0.997,0.111,0.229,-2.76,-1.435,1.389,-0.986,-0.157,0.072,-1.192,-2.714,-1.47,-0.946,0.335,-0.098,-8.06,-1.308,-1.829,-0.999,-0.121,-0.166,-9.615,-3.464,-3.908
320.0,-1.013,0.003,0.036,-3.787,-0.512,-1.686,-0.996,0.11,0.225,-2.226,-1.409,1.352,-0.988,-0.154,0.072,-0.771,-2.175,-1.346,-0.945,0.32,-0.104,-8.139,-1.235,-0.92,-0.999,-0.138,-0.162,-11.721,-3.594,-4.583
340.0,-1.011,0.004,0.034,-3.934,-0.627,-1.61,-0.995,0.109,0.225,-1.111,-1.689,1.194,-0.983,-0.155,0.073,-0.544,-1.153,-0.961,-0.946,0.308,-0.107,-7.339,-0.944,-0.27,-0.998,-0.154,-0.162,-12.019,-4.104,-4.97
360.0,-1.011,0.007,0.034,-3.939,-0.729,-1.513,-0.994,0.11,0.227,0.171,-1.88,1.032,-1.0,-0.155,0.071,-0.143,-1.258,-0.84,-0.947,0.307,-0.111,-6.955,-0.91,0.104,-0.993,-0.161,-0.161,-11.528,-4.442,-4.913
380.0,-1.013,0.008,0.035,-3.934,-0.821,-1.161,-0.994,0.112,0.226,0.044,-1.846,0.737,-0.994,-0.152,0.068,-0.202,-0.825,-0.95,-0.951,0.303,-0.114,-6.562,-0.988,0.389,-0.99,-0.165,-0.158,-9.889,-4.353,-4.391
400.0,-1.014,0.005,0.031,-4.178,-1.041,-0.933,-1.0,0.111,0.226,0.105,-2.087,0.665,-0.996,-0.15,0.069,-0.21,-0.875,-1.036,-0.949,0.297,-0.114,-5.987,-1.164,0.769,-0.989,-0.167,-0.159,-8.024,-4.012,-3.645
420.0,-1.012,0.007,0.028,-4.086,-1.151,-0.84,-0.998,0.11,0.224,-0.525,-2.918,-0.14,-0.988,-0.151,0.074,-0.154,-1.375,-1.163,-0.949,0.295,-0.116,-5.143,-1.341,0.894,-0.992,-0.165,-0.16,-6.252,-3.772,-3.01
440.0,-1.012,0.004,0.03,-4.2,-0.797,-0.823,-1.011,0.116,0.226,-0.893,-3.136,-0.078,-0.994,-0.148,0.068,-0.026,-1.062,-1.457,-0.95,0.294,-0.117,-4.413,-1.3,0.684,-0.995,-0.162,-0.156,-4.996,-3.716,-2.558
460.0,-1.014,0.003,0.036,-4.166,-0.657,-0.77,-1.031,0.117,0.23,-0.703,-2.717,1.024,-0.988,-0.151,0.068,0.235,-0.275,-1.303,-0.948,0.29,-0.116,-3.919,-1.046,0.287,-0.996,-0.158,-0.153,-4.243,-3.99,-2.27
480.0,-1.014,0.005,0.037,-3.764,-0.956,-0.77,-0.994,0.099,0.221,-1.909,-2.229,0.914,-0.996,-0.149,0.067,0.28,-0.501,-1.535,-0.949,0.289,-0.119,-3.679,-1.013,-0.035,-0.997,-0.149,-0.153,-3.922,-3.992,-2.53
