Millis	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ
0	-0.993	0.029	-0.084	3.15	-3.64	-6.51
22	-0.992	0.007	-0.092	3.5	-3.64	-5.88
43	-1.001	-0.003	-0.093	3.64	-4.55	-5.6
66	-1.009	0.034	-0.083	1.68	-4.34	-5.6
87	-1.02	0.025	-0.088	0.07	-4.69	-5.04
106	-1.018	0.031	-0.082	-1.33	-4.2	-5.39
127	-1.0	0.012	-0.076	-2.8	-3.64	-4.55
147	-1.01	-0.027	-0.086	-2.8	-4.06	-4.9
166	-1.006	-0.008	-0.099	1.75	-5.25	-4.06
186	-0.993	0.003	-0.093	3.64	-6.79	-3.78
211	-1.004	-0.006	-0.096	5.18	-7.42	-4.27
235	-1.018	0.013	-0.092	5.88	-9.66	-5.18
252	-1.014	0.039	-0.094	5.81	-10.78	-5.67
271	-1.008	0.04	-0.091	2.24	-12.32	-7.35
296	-1.014	-0.001	-0.076	2.45	-14.28	-7.98
316	-1.014	-0.014	-0.074	1.12	-14.7	-8.96
340	-1.005	0.017	-0.046	0.98	-13.79	-7.63
360	-0.982	-0.031	-0.059	3.36	-12.67	-7.35
377	-0.996	-0.044	-0.052	3.85	-12.39	-6.86
396	-1.013	-0.009	-0.046	0.77	-11.48	-6.3
422	-1.019	-0.066	-0.054	2.59	-11.13	-6.16
441	-1.005	-0.016	-0.047	2.17	-10.85	-6.02
459	-1.0	-0.006	-0.04	1.89	-10.99	-5.53
479	-0.987	-0.017	-0.021	-1.4	-9.31	-5.46
500	-0.995	-0.043	-0.036	2.03	-7.7	-4.27
522	-1.002	-0.008	-0.018	-0.07	-6.65	-4.62
545	-0.999	-0.032	-0.022	0.84	-5.67	-3.29
566	-0.998	-0.038	-0.011	-0.56	-3.36	-2.59
586	-0.997	-0.041	-0.025	0.0	-2.59	-2.03
606	-1.0	-0.02	-0.02	0.14	-1.54	-1.12
630	-0.983	-0.025	-0.019	-0.84	0.98	-0.07
649	-0.989	-0.031	-0.019	-1.05	2.66	0.84
665	-0.993	-0.027	-0.027	-0.98	3.85	1.82
690	-0.996	-0.027	-0.033	-1.33	5.46	2.94
709	-0.999	-0.026	-0.029	-1.82	6.3	3.5
733	-1.005	-0.034	-0.037	-0.7	6.09	3.5
748	-1.014	-0.0	-0.06	0.42	5.88	3.57
773	-1.018	0.006	-0.063	-0.56	4.13	2.38
789	-1.012	0.019	-0.057	-2.45	3.36	1.26
809	-1.006	-0.003	-0.057	-1.19	2.73	0.98
832	-1.003	-0.019	-0.054	0.14	2.73	0.77
852	-1.007	-0.022	-0.069	1.19	2.45	0.63
869	-1.01	-0.004	-0.07	2.17	1.68	0.28
893	-1.006	0.015	-0.058	0.42	1.82	0.63
913	-1.002	-0.0	-0.061	-0.63	2.31	0.7
933	-1.004	-0.018	-0.061	0.49	2.59	0.91
952	-1.001	-0.007	-0.069	0.56	3.22	0.91
975	-1.001	0.004	-0.072	1.4	3.29	0.84
994	-1.009	0.007	-0.074	-0.14	3.57	1.19
1016	-1.001	0.006	-0.076	-0.35	3.57	1.05
1037	-0.989	-0.016	-0.074	-0.63	3.99	1.47
1058	-0.999	-0.021	-0.08	-0.21	4.48	1.82
1081	-1.002	-0.013	-0.089	1.33	4.62	1.61
1100	-0.997	0.011	-0.083	-0.56	4.55	1.26
1123	-1.001	0.025	-0.085	0.0	3.64	1.54
1143	-1.002	0.017	-0.096	0.49	3.99	1.26
1167	-1.0	0.021	-0.085	-1.47	3.99	1.33
1184	-1.004	-0.015	-0.108	3.08	3.15	0.49
1204	-1.011	0.008	-0.106	1.54	2.1	0.35
1228	-1.003	0.01	-0.111	1.19	1.33	-0.21
1245	-0.992	0.027	-0.115	0.63	1.12	0.35
1269	-1.004	0.022	-0.107	0.35	-0.49	-0.91
1289	-1.009	0.006	-0.108	1.68	-1.61	-1.89
1308	-1.011	0.017	-0.117	2.24	-2.52	-1.96
1332	-1.008	0.017	-0.11	1.33	-3.71	-2.8
1352	-1.006	0.019	-0.113	1.75	-4.41	-3.36
1372	-1.009	0.013	-0.102	1.75	-5.74	-3.64
1397	-1.011	0.007	-0.11	1.89	-6.72	-3.99
1416	-1.005	0.02	-0.1	2.66	-7.63	-4.06
1440	-1.009	0.017	-0.101	1.68	-8.26	-4.62
1460	-1.005	0.015	-0.097	1.33	-8.68	-4.83
1479	-0.996	0.0	-0.095	1.75	-8.47	-4.69
1500	-0.998	-0.003	-0.091	2.17	-8.54	-4.48
1520	-1.0	-0.002	-0.078	1.75	-8.19	-4.27
1535	-1.001	-0.01	-0.083	1.12	-8.05	-4.27
1560	-1.002	-0.0	-0.079	1.96	-7.42	-3.92
1577	-0.996	-0.003	-0.076	2.03	-6.37	-3.71
1600	-0.999	-0.004	-0.074	2.17	-5.53	-3.5
1621	-1.0	0.008	-0.075	2.17	-4.97	-2.94
1636	-1.0	0.001	-0.076	1.54	-4.62	-2.66
1661	-0.997	-0.011	-0.069	1.05	-3.36	-1.96
1680	-0.999	-0.0	-0.073	0.49	-2.73	-1.61
1699	-1.006	0.002	-0.075	0.35	-2.73	-1.4
1723	-1.006	-0.0	-0.077	0.14	-2.1	-1.19
1743	-1.006	0.004	-0.076	0.21	-1.68	-1.19
1763	-0.998	0.002	-0.078	-0.49	-1.05	-1.26
1783	-1.002	-0.009	-0.076	-0.77	-1.26	-1.12
1807	-1.001	-0.009	-0.092	0.0	-2.17	-0.98
1827	-1.007	0.004	-0.086	-0.14	-3.01	-1.12
1845	-1.005	0.008	-0.088	-0.49	-3.36	-1.33
1869	-1.008	0.008	-0.082	-0.42	-4.13	-1.82
1889	-1.003	0.003	-0.081	-0.14	-4.06	-2.17
1908	-0.997	-0.003	-0.079	0.07	-3.64	-2.17
1926	-1.002	-0.005	-0.075	0.42	-3.5	-2.24
1945	-0.998	-0.017	-0.075	0.35	-3.36	-2.17
1965	-0.997	-0.006	-0.075	0.91	-2.38	-1.89
1986	-1.006	0.0	-0.075	0.28	-1.89	-1.96
2006	-1.015	0.01	-0.08	0.14	-1.75	-2.17
2029	-1.005	0.009	-0.079	0.0	-1.33	-2.52
2050	-1.003	0.001	-0.079	-0.77	-1.12	-2.52
2068	-1.005	-0.005	-0.082	0.21	-1.12	-2.31
2089	-1.002	-0.008	-0.081	0.42	-1.05	-2.45
2113	-1.017	-0.002	-0.093	0.98	-1.82	-2.38
2137	-1.017	0.015	-0.093	0.91	-3.43	-3.15
