Millis,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
8862719,-1.003,0.127,0.131,-4.620,2.660,-7.700
8862739,-1.013,0.134,0.134,-4.480,1.400,-6.790
8862763,-1.017,0.131,0.130,-4.060,-0.280,-5.250
8862781,-1.010,0.141,0.119,-4.550,-1.750,-4.270
8862799,-1.010,0.136,0.128,-4.690,-3.500,-3.080
8862819,-1.005,0.123,0.139,-4.690,-3.850,-2.100
8862842,-1.009,0.116,0.146,-3.780,-4.130,-1.330
8862860,-1.006,0.117,0.143,-1.890,-4.480,-0.630
8862884,-1.002,0.137,0.141,-1.540,-4.340,-0.280
8862904,-1.005,0.137,0.140,-1.610,-4.480,0.070
8862924,-1.124,0.136,0.140,-1.540,-4.550,0.210
8862944,-1.000,0.134,0.148,-1.260,-4.340,0.490
8862968,-1.002,0.124,0.158,-0.490,-3.500,0.700
8862988,-1.014,0.123,0.139,-0.280,-4.200,1.470
8863006,-1.007,0.114,0.139,1.050,-5.320,2.450
8863027,-0.998,0.134,0.138,1.260,-6.090,3.010
8863051,-0.994,0.133,0.141,0.840,-6.300,3.080
8863068,-1.001,0.136,0.152,0.770,-6.300,2.940
8863091,-1.015,0.115,0.156,2.030,-7.840,3.430
8863111,-1.012,0.125,0.142,3.570,-9.100,3.850
8863135,-0.997,0.165,0.153,3.780,-9.240,4.130
8863155,-1.010,0.150,0.154,2.030,-9.800,4.760
8863175,-1.016,0.136,0.163,2.170,-10.500,5.530
8863193,-0.989,0.141,0.168,2.870,-10.220,5.740
8863215,-1.000,0.150,0.166,2.870,-10.080,5.390
8863239,-0.975,0.144,0.170,3.010,-9.240,4.830
8863257,-0.992,0.163,0.181,4.410,-9.100,4.060
8863274,-0.994,0.167,0.190,4.060,-7.770,2.590
8863295,-0.976,0.160,0.195,4.410,-4.900,1.120
8863319,-0.979,0.186,0.200,3.010,-1.680,-0.350
8863339,-0.978,0.169,0.181,2.030,0.070,-0.840
8863358,-0.992,0.158,0.179,1.050,0.070,-1.260
8863378,-0.988,0.147,0.179,0.490,1.190,-2.030
8863401,-0.991,0.141,0.179,2.100,2.380,-3.080
8863422,-0.993,0.176,0.172,2.660,3.360,-3.640
8863441,-0.996,0.158,0.173,1.260,3.850,-3.920
8863464,-1.001,0.137,0.168,1.890,3.920,-4.200
8863483,-0.999,0.146,0.162,3.360,3.710,-4.340
8863502,-0.998,0.152,0.158,3.640,3.850,-4.480
8863527,-1.006,0.144,0.161,3.640,3.570,-4.200
8863547,-1.003,0.142,0.161,2.940,4.060,-4.060
8863571,-1.004,0.130,0.155,3.010,3.290,-3.920
8863591,-1.005,0.127,0.148,4.410,3.080,-3.850
8863612,-1.002,0.133,0.139,4.900,2.800,-3.920
8863630,-0.996,0.147,0.151,3.640,2.870,-3.780
8863651,-1.006,0.124,0.145,0.840,3.150,-3.360
8863670,-1.009,0.123,0.148,1.260,3.290,-3.360
8863689,-1.017,0.124,0.141,2.660,2.590,-3.220
8863709,-1.012,0.119,0.137,3.080,1.960,-2.800
8863729,-1.010,0.129,0.131,0.700,2.170,-2.100
8863753,-1.015,0.118,0.127,0.840,1.610,-1.610
8863774,-1.005,0.119,0.138,0.840,1.120,-1.470
8863789,-1.021,0.109,0.128,1.750,0.280,-1.260
