Millis	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ
0	-0.956	-0.023	-0.184	-4.69	-4.2	-3.08
19	-0.977	-0.035	-0.161	-3.64	-4.97	-4.06
39	-0.989	-0.043	-0.146	-1.4	-7.56	-5.11
63	-0.987	-0.028	-0.172	-0.28	-7.77	-5.39
82	-0.995	-0.021	-0.203	0.42	-4.34	-5.95
105	-1.0	0.007	-0.195	2.45	1.05	-5.95
126	-1.004	0.015	-0.176	3.29	3.01	-4.97
146	-1.02	0.018	-0.163	3.36	3.15	-3.36
168	-1.042	0.001	-0.148	4.06	2.38	-2.59
188	-1.027	-0.011	-0.156	3.15	-0.77	-3.57
207	-0.99	-0.016	-0.212	0.91	-1.19	-4.9
232	-1.012	-0.019	-0.248	1.12	10.71	-7.84
251	-1.072	0.019	-0.175	-0.42	12.81	-6.79
267	-1.058	-0.036	-0.1	-0.21	6.23	-7.63
287	-0.984	-0.02	-0.092	2.17	-1.54	-7.56
312	-0.979	-0.014	-0.126	4.62	-8.75	-2.73
332	-0.983	-0.035	-0.179	5.88	-11.13	-0.98
351	-0.977	-0.047	-0.185	4.97	-11.48	-1.96
375	-0.938	-0.03	-0.176	3.57	-14.56	-2.94
394	-0.931	-0.015	-0.186	4.13	-15.4	-2.31
412	-0.965	-0.006	-0.196	4.76	-11.34	-1.05
432	-1.005	-0.026	-0.174	4.9	-7.28	-1.19
453	-0.999	-0.015	-0.144	4.13	-5.39	-2.52
471	-0.964	-0.01	-0.136	3.22	-6.51	-1.89
492	-0.95	-0.021	-0.14	3.08	-9.66	-2.17
512	-0.95	-0.012	-0.163	2.66	-8.54	-1.89
536	-0.996	-0.023	-0.155	2.73	-5.32	-1.33
556	-1.007	-0.032	-0.141	3.5	-3.5	-2.17
577	-0.989	-0.023	-0.131	3.99	-3.36	-2.59
594	-0.989	-0.011	-0.138	3.71	-2.8	-1.89
612	-0.995	-0.011	-0.151	3.71	-2.52	-1.47
635	-0.981	-0.006	-0.166	3.29	-0.77	-0.98
659	-0.963	-0.006	-0.165	3.29	2.24	-0.7
679	-0.976	-0.008	-0.147	3.64	4.2	-0.28
699	-0.99	-0.02	-0.118	3.92	2.31	0.07
719	-1.0	-0.022	-0.117	3.15	-1.33	-0.21
735	-0.996	-0.022	-0.135	2.52	-3.71	-0.84
759	-0.991	-0.013	-0.14	1.12	-5.04	-1.61
780	-0.997	-0.007	-0.114	1.05	-7.35	-1.68
799	-1.01	-0.006	-0.122	2.24	-10.08	-1.19
823	-1.004	-0.005	-0.142	4.06	-10.92	-0.7
843	-0.995	-0.012	-0.155	3.36	-12.32	-0.21
863	-0.986	-0.024	-0.143	2.52	-12.25	-0.14
884	-0.999	-0.017	-0.092	4.41	-13.16	-0.35
900	-1.012	-0.016	-0.105	5.11	-15.75	-0.28
920	-0.997	-0.019	-0.134	4.55	-15.96	-0.56
940	-1.006	-0.015	-0.155	3.85	-10.92	-0.49
963	-1.015	-0.015	-0.123	4.48	-8.47	-0.21
984	-1.017	-0.015	-0.108	4.48	-7.77	-0.35
1004	-1.023	-0.016	-0.114	2.87	-7.0	-0.56
1028	-1.01	-0.013	-0.125	2.66	-4.69	-1.26
1047	-0.998	-0.008	-0.122	3.5	-3.78	-1.19
1068	-0.992	-0.008	-0.107	4.27	-3.57	-1.12
1088	-0.998	-0.016	-0.108	4.34	-3.15	-1.19
1108	-0.999	-0.017	-0.118	3.85	-2.45	-1.4
1128	-0.995	-0.018	-0.115	2.59	-1.96	-1.54
1147	-0.989	-0.018	-0.112	2.31	-1.68	-1.75
1168	-1.002	-0.013	-0.1	2.52	-1.54	-1.54
1189	-1.006	-0.014	-0.096	2.73	-2.24	-0.98
1212	-1.0	-0.019	-0.101	2.94	-2.17	-0.63
1234	-0.993	-0.02	-0.1	2.24	-2.73	-0.56
1253	-0.987	-0.014	-0.098	1.82	-3.22	-0.42
1274	-0.985	-0.011	-0.101	1.05	-3.08	-0.07
1295	-0.997	-0.015	-0.101	0.35	-2.66	-0.14
1317	-1.008	-0.017	-0.098	0.56	-2.03	-0.28
1339	-1.014	-0.018	-0.091	1.33	-1.47	-0.28
1357	-1.01	-0.017	-0.087	0.98	-1.47	-0.56
1379	-1.009	-0.016	-0.085	0.21	-1.19	-0.49
1403	-1.007	-0.019	-0.089	0.14	-1.05	-0.49
1427	-1.006	-0.017	-0.096	-0.28	-0.49	-0.49
1447	-1.0	-0.017	-0.105	-0.07	1.33	-0.49
1467	-0.997	-0.006	-0.11	0.49	2.1	-0.35
1485	-0.995	-0.013	-0.108	-0.49	2.45	-0.14
1507	-1.006	-0.018	-0.073	-0.91	4.55	-0.14
1527	-1.018	-0.009	-0.065	0.0	1.96	0.07
1547	-1.004	-0.016	-0.103	0.77	-1.05	0.35
1567	-1.001	-0.019	-0.123	0.56	0.56	-0.21
1591	-1.001	-0.016	-0.117	1.33	3.71	-0.28
1611	-1.003	-0.013	-0.095	2.03	4.76	-0.14
1632	-1.006	-0.013	-0.084	1.75	3.71	-0.21
1650	-0.998	-0.021	-0.091	1.26	2.31	-0.56
1669	-0.997	-0.02	-0.104	0.63	1.19	-0.7
1689	-1.0	-0.017	-0.105	-0.21	-0.07	-1.19
1711	-1.0	-0.014	-0.109	0.14	-0.63	-1.33
1734	-0.996	-0.016	-0.1	2.03	-1.12	-1.05
1754	-0.999	-0.013	-0.093	1.61	-2.1	-0.42
1773	-0.989	-0.02	-0.096	0.77	-3.85	-1.12
1793	-1.025	-0.011	-0.103	0.28	-5.74	-2.52
1813	-1.057	-0.014	-0.094	-2.31	-10.29	-2.87
1839	-1.015	-0.001	-0.13	-4.83	-12.04	-3.22
1858	-1.012	0.023	-0.144	-5.11	-12.18	-3.5
1875	-1.041	0.047	-0.139	-5.46	-12.95	-2.24
1896	-1.06	0.037	-0.097	-3.43	-14.77	-0.28
1921	-1.043	0.016	-0.075	-0.84	-16.73	1.61
1940	-1.038	-0.012	-0.056	-0.98	-18.2	1.89
1960	-1.014	-0.051	-0.045	-3.08	-20.93	0.84
1977	-0.996	-0.035	-0.047	-4.13	-21.28	-0.35
2000	-0.966	-0.021	-0.051	-3.64	-20.23	-0.56
2021	-0.961	-0.007	-0.028	-2.31	-20.37	0.14
2041	-0.974	-0.016	-0.048	0.63	-17.71	0.0
2059	-1.011	-0.02	-0.045	2.73	-12.6	-0.28
2079	-1.053	-0.028	0.005	2.73	-8.82	0.56
2103	-1.072	-0.028	0.045	3.99	-9.1	1.82
2122	-1.059	-0.003	0.019	3.08	-10.15	3.29
2143	-1.035	0.006	-0.011	-0.28	-5.39	3.78
2163	-1.04	-0.001	0.064	-1.89	3.01	3.43
2186	-1.065	0.034	0.12	0.07	-1.19	3.57
2210	-1.022	0.055	0.063	0.56	-0.49	7.63
2231	-1.013	-0.034	0.086	-0.14	7.91	8.26
2249	-1.093	-0.003	0.145	-1.19	0.98	6.02
2268	-1.099	0.052	0.072	-2.1	-11.06	6.3
2288	-1.044	0.064	-0.008	-1.61	-11.41	7.49
2307	-1.031	0.114	-0.064	-0.77	-15.05	13.44
2332	-0.996	0.006	-0.157	2.8	-15.47	14.0
2353	-0.935	-0.075	-0.183	-1.96	-9.31	8.82
2369	-0.874	-0.057	-0.164	-4.69	-0.98	0.7
2393	-0.897	0.062	-0.069	-8.05	0.91	-8.68
2413	-0.946	0.104	-0.053	-12.18	-2.1	-11.34
2432	-0.953	0.124	-0.005	-17.36	-6.16	-10.08
2457	-0.965	0.04	-0.008	-18.69	-14.28	-9.24
2473	-0.968	0.043	-0.016	-16.17	-15.75	-6.09
2495	-1.005	-0.025	-0.031	-11.76	-14.0	0.42
2517	-1.036	-0.06	-0.062	-6.23	-9.87	3.85
2538	-1.035	-0.082	-0.009	-2.73	-4.41	3.78
2558	-1.073	-0.034	0.056	0.35	-3.78	1.96
2582	-1.098	0.001	0.047	3.99	-7.7	-0.49
2602	-1.057	0.03	0.038	3.99	-6.93	-1.68
2621	-1.014	0.047	0.043	1.82	-7.63	-2.66
2638	-1.003	0.058	0.017	-0.56	-9.17	-3.01
2658	-0.99	0.1	0.009	-2.45	-4.9	-1.89
2678	-1.013	0.081	0.032	-1.68	-2.94	0.84
2703	-1.01	-0.012	0.027	-1.68	-2.38	2.66
2721	-1.026	-0.039	0.045	-1.05	-2.03	2.1
2738	-1.025	-0.006	0.056	1.54	-3.71	0.84
2762	-0.99	0.027	0.026	3.15	-5.25	-0.35
2782	-0.964	0.013	0.009	-3.15	-4.2	-0.84
2800	-0.958	0.018	0.017	-6.37	-0.91	-1.12
2820	-1.002	0.059	0.026	-5.11	-1.33	-0.91
2844	-1.018	0.045	0.02	-2.45	-2.31	1.4
2868	-0.99	-0.013	0.015	-1.61	-0.91	1.54
2883	-0.989	-0.015	0.005	-1.54	1.61	0.63
2909	-1.013	0.007	0.005	-1.05	4.62	-0.42
2928	-1.037	0.022	0.008	-1.05	4.06	-0.63
2950	-1.03	0.025	-0.003	-0.21	3.5	-0.91
2974	-1.003	0.01	-0.012	0.42	6.02	-1.19
2992	-0.99	-0.003	-0.015	1.89	7.35	-1.89
3017	-0.997	0.026	-0.033	5.95	5.11	-2.45
3036	-0.98	0.039	-0.031	9.66	9.45	-1.12
3056	-0.996	0.012	0.002	11.2	12.67	-0.14
3076	-1.024	0.001	-0.043	8.96	13.93	-0.42
3096	-1.052	0.021	-0.03	6.65	14.77	-1.47
3114	-1.042	0.038	0.002	8.12	6.79	-2.52
3136	-0.987	0.035	-0.001	8.75	3.92	-2.17
3154	-0.974	0.022	0.024	11.48	6.09	-1.26
3174	-1.002	0.011	0.036	14.56	6.23	-0.91
3193	-0.989	-0.007	0.02	14.63	8.61	-1.68
3218	-0.969	-0.009	0.08	10.29	14.14	-3.78
3238	-0.965	-0.002	0.084	9.1	19.67	-5.11
3256	-1.003	0.003	0.081	8.61	19.67	-6.65
3280	-1.031	0.036	0.038	6.51	16.38	-8.89
3301	-0.972	0.075	-0.075	-1.33	25.9	-9.73
3318	-0.968	0.122	-0.084	-6.65	34.58	-11.2
3338	-0.96	0.163	-0.061	-7.56	43.12	-8.4
