Millis	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ
0	-0.968	0.234	-0.036	4.55	0.28	-2.59
24	-0.968	0.231	-0.035	6.02	0.91	-2.87
43	-0.979	0.242	-0.034	7.28	0.77	-3.15
64	-0.982	0.262	-0.026	6.72	0.42	-3.71
83	-0.979	0.267	-0.028	4.9	0.28	-4.06
104	-0.968	0.265	-0.028	2.17	0.49	-4.27
128	-0.969	0.276	-0.029	0.14	0.98	-5.04
148	-0.976	0.28	-0.031	-1.96	2.03	-5.46
164	-0.985	0.274	-0.036	-3.5	0.77	-5.18
188	-0.977	0.28	-0.038	-5.53	0.91	-3.71
208	-0.984	0.268	-0.021	-7.98	0.7	-1.96
227	-0.981	0.263	-0.01	-8.19	0.84	-0.63
251	-0.982	0.237	-0.017	-6.58	-0.21	0.7
269	-0.98	0.224	-0.017	-2.8	-0.98	1.4
290	-0.982	0.23	-0.007	0.49	-2.17	1.68
310	-0.982	0.232	-0.008	1.75	-2.8	1.61
334	-0.979	0.23	-0.011	2.24	-3.08	1.05
354	-0.977	0.234	-0.012	1.47	-3.01	0.49
372	-0.974	0.24	-0.013	0.07	-2.73	-0.07
392	-0.975	0.243	-0.018	-1.26	-2.17	-0.49
412	-0.977	0.244	-0.018	-2.87	-3.22	-0.84
436	-0.972	0.236	-0.025	-3.15	-2.24	-0.7
456	-0.983	0.226	-0.039	-0.84	-3.71	-0.42
480	-0.973	0.239	-0.039	1.89	-3.78	-0.35
500	-0.976	0.246	-0.041	2.38	-3.64	-0.63
520	-0.972	0.259	-0.037	1.89	-3.99	-0.56
540	-0.968	0.262	-0.045	-0.35	-3.85	-0.28
560	-0.963	0.26	-0.048	-1.68	-3.36	0.28
579	-0.968	0.261	-0.047	-2.94	-2.59	0.7
602	-0.973	0.259	-0.049	-3.92	-2.17	0.84
618	-0.974	0.263	-0.049	-4.97	-2.03	0.91
643	-0.973	0.256	-0.048	-6.51	-1.4	1.4
663	-0.976	0.243	-0.053	-6.44	-1.47	1.82
683	-0.972	0.237	-0.048	-5.32	-1.26	1.96
703	-0.974	0.238	-0.042	-4.2	-0.63	1.75
723	-0.975	0.244	-0.031	-4.34	-0.63	1.47
747	-0.979	0.245	-0.025	-5.95	-0.98	1.4
768	-0.985	0.235	-0.015	-6.44	-1.47	1.47
787	-0.998	0.222	0.001	-4.97	-2.87	1.96
811	-1.003	0.215	0.028	-1.26	-4.48	3.29
831	-1.005	0.215	0.042	2.45	-6.51	4.06
855	-1.003	0.228	0.054	5.81	-10.15	4.69
870	-0.996	0.252	0.079	5.6	-10.29	4.34
890	-1.016	0.264	0.108	4.06	-14.21	3.5
910	-1.02	0.261	0.107	2.45	-17.08	3.22
935	-1.022	0.258	0.083	1.19	-24.92	2.38
954	-0.984	0.224	0.042	5.39	-28.28	1.33
974	-0.984	0.205	0.027	13.65	-30.8	1.82
992	-0.976	0.207	0.019	21.98	-29.96	1.89
1012	-0.999	0.218	-0.01	27.72	-29.75	2.59
1035	-0.992	0.25	-0.012	30.31	-30.8	3.71
1055	-0.977	0.243	0.017	32.76	-28.63	4.76
1075	-0.98	0.259	0.012	33.67	-25.13	6.37
1099	-0.971	0.245	0.016	32.27	-23.31	8.26
1116	-0.955	0.22	-0.016	35.21	-20.93	9.1
1140	-0.952	0.236	-0.042	35.91	-19.32	9.73
1160	-0.948	0.241	-0.036	35.0	-19.95	9.1
1178	-0.936	0.26	-0.021	32.9	-19.25	8.12
1201	-0.927	0.279	-0.009	24.43	-17.5	5.11
1221	-0.917	0.284	0.005	15.96	-14.56	1.68
1238	-0.924	0.292	0.0	10.36	-11.97	-1.12
1262	-0.934	0.289	-0.001	5.11	-9.38	-4.41
1282	-0.939	0.293	0.004	-0.77	-6.16	-6.16
1301	-0.946	0.292	0.015	-4.06	-4.62	-6.44
1320	-0.953	0.294	0.027	-6.44	-3.71	-6.16
1343	-0.943	0.279	0.021	-5.74	-2.59	-4.69
1367	-0.954	0.285	0.016	-3.99	-1.19	-2.94
1386	-0.962	0.277	0.03	-2.8	-0.77	-1.33
1411	-0.967	0.277	0.045	-0.28	0.42	0.77
1431	-0.966	0.273	0.04	2.03	1.33	2.1
1450	-0.965	0.282	0.045	2.87	1.75	2.8
1469	-0.966	0.281	0.047	1.96	2.52	2.8
1490	-0.97	0.291	0.046	-0.56	3.01	2.38
1514	-0.974	0.285	0.064	-3.92	2.66	1.19
1534	-0.969	0.278	0.077	-5.46	1.96	0.63
1554	-0.97	0.275	0.075	-6.37	4.06	0.7
1573	-0.986	0.271	0.082	-7.35	2.73	0.63
1593	-0.973	0.268	0.083	-8.19	2.8	0.49
1617	-0.971	0.264	0.074	-7.21	2.94	-0.21
1637	-0.973	0.264	0.072	-7.07	1.75	-0.91
1657	-0.974	0.26	0.085	-5.81	1.05	-1.12
1677	-0.977	0.259	0.08	-4.76	-0.28	-0.56
1695	-0.975	0.251	0.071	-3.29	-1.26	-0.07
1717	-0.967	0.245	0.064	-0.91	-1.26	-0.07
1741	-0.974	0.258	0.059	0.07	-1.89	-0.7
1765	-0.964	0.256	0.052	0.0	-2.17	-1.82
1785	-0.975	0.255	0.042	-0.56	-2.38	-2.66
1808	-0.974	0.242	0.02	-1.26	-2.31	-3.71
1832	-0.966	0.241	-0.013	-0.49	-1.75	-4.62
1848	-0.953	0.221	-0.02	1.33	-1.96	-4.9
1867	-0.932	0.22	-0.024	3.78	-1.19	-4.34
1893	-0.919	0.208	-0.049	7.0	-0.07	-2.52
1912	-0.908	0.2	-0.083	9.52	-0.14	-1.05
1936	-0.9	0.19	-0.143	12.81	-2.1	-1.26
1954	-0.891	0.192	-0.163	14.42	-2.03	-3.71
1972	-0.925	0.181	-0.161	15.19	-3.08	-6.37
1996	-0.91	0.187	-0.142	19.25	3.22	-7.7
2018	-0.906	0.18	-0.093	20.58	12.39	-9.8
2040	-0.876	0.241	-0.011	6.09	28.84	-12.88
2064	-0.911	0.259	-0.023	-24.08	50.33	-18.83
2083	-0.924	0.188	-0.066	-32.83	62.02	-23.8
2103	-0.937	0.147	-0.098	-27.16	78.82	-23.94
2127	-0.98	0.137	-0.019	-11.97	92.05	-21.56
2146	-1.024	0.162	0.129	3.22	104.51	-17.22
2166	-1.177	0.049	0.263	-6.02	92.89	-9.38
2187	-1.202	-0.29	0.447	181.79	69.51	26.6
2207	-1.366	0.577	0.368	178.22	27.02	38.64
2227	-1.149	0.789	0.247	80.29	-45.22	23.31
2250	-0.79	0.355	0.247	9.8	-24.78	7.63
2272	-0.973	0.213	0.148	8.61	-19.32	-4.97
2294	-0.933	0.059	0.171	22.96	-18.9	-14.49
2314	-0.94	0.119	0.139	29.61	-25.97	-20.58
2330	-0.932	0.091	0.03	44.1	-31.36	-23.17
2354	-0.906	0.12	-0.04	54.04	-43.05	-26.67
2372	-0.838	0.084	-0.067	53.9	-47.18	-28.98
2396	-0.849	0.046	-0.055	57.05	-51.17	-29.47
2416	-0.806	0.072	-0.025	70.42	-46.62	-27.86
2436	-0.766	0.122	-0.081	80.36	-34.65	-26.95
2460	-0.756	0.122	-0.161	78.54	-32.69	-28.56
2480	-0.702	0.124	-0.207	68.6	-24.78	-29.82
2500	-0.733	0.146	-0.253	60.13	-22.75	-31.78
2519	-0.74	0.085	-0.301	47.39	-19.04	-33.25
2540	-0.76	0.043	-0.332	44.73	-15.47	-32.06
2558	-0.786	0.002	-0.37	42.77	-11.83	-31.29
2581	-0.758	-0.06	-0.385	45.43	-10.29	-30.38
2602	-0.735	-0.101	-0.399	59.08	-3.71	-29.89
2617	-0.778	-0.03	-0.379	62.16	0.07	-31.36
2641	-0.793	-0.017	-0.378	59.36	4.06	-30.8
2665	-0.778	-0.045	-0.353	51.87	10.71	-29.47
2685	-0.815	-0.061	-0.353	43.4	13.09	-27.65
2705	-0.811	-0.068	-0.349	31.29	17.92	-27.72
2722	-0.893	-0.011	-0.33	16.87	18.9	-30.87
2741	-0.971	-0.03	-0.268	-2.94	15.89	-33.25
2760	-0.937	-0.156	-0.274	-11.55	13.93	-32.41
2785	-0.902	-0.233	-0.241	-4.27	20.86	-29.82
2803	-0.995	-0.199	-0.211	-4.27	28.49	-29.75
2827	-1.074	-0.167	-0.255	-8.26	22.68	-32.06
2843	-1.075	-0.142	-0.278	-10.99	19.11	-32.69
2866	-1.052	-0.259	-0.3	-11.2	15.26	-32.97
2885	-1.052	-0.281	-0.268	0.77	15.33	-29.89
