Millis,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
158114237,-0.886,-0.259,-0.373,-0.490,-2.380,3.850
158114257,-0.892,-0.261,-0.383,-0.070,-3.010,4.620
158114277,-0.885,-0.270,-0.394,0.700,-2.730,5.670
158114295,-0.883,-0.277,-0.398,3.710,-0.350,7.350
158114314,-0.891,-0.260,-0.407,4.690,0.630,7.840
158114338,-0.879,-0.260,-0.403,3.220,2.590,7.420
158114353,-0.878,-0.271,-0.390,3.710,4.620,7.560
158114378,-0.895,-0.271,-0.401,3.780,6.090,6.160
158114398,-0.895,-0.282,-0.406,3.290,7.350,4.550
158114415,-0.889,-0.291,-0.396,5.740,8.890,3.780
158114435,-0.882,-0.274,-0.379,7.490,11.270,1.890
158114459,-0.904,-0.274,-0.374,10.640,11.690,0.840
158114475,-0.929,-0.269,-0.359,12.740,10.080,0.910
158114499,-0.936,-0.266,-0.333,14.770,7.350,0.840
158114518,-0.950,-0.244,-0.320,13.230,4.690,0.560
158114538,-0.947,-0.242,-0.308,9.940,1.680,0.350
158114557,-0.947,-0.243,-0.309,6.860,-0.350,-0.140
158114577,-0.951,-0.245,-0.316,4.970,-2.940,-0.420
158114598,-0.956,-0.251,-0.320,3.220,-5.530,-0.490
158114619,-0.931,-0.240,-0.340,1.540,-6.650,-1.120
158114638,-0.928,-0.232,-0.361,-1.750,-7.420,-2.310
158114660,-0.911,-0.248,-0.365,-3.500,-7.700,-3.150
158114682,-0.911,-0.258,-0.372,-4.130,-7.980,-3.920
158114706,-0.905,-0.247,-0.380,-4.340,-8.190,-4.200
158114721,-0.890,-0.252,-0.382,-6.300,-8.190,-4.480
158114744,-0.885,-0.254,-0.387,-6.440,-7.840,-4.270
158114765,-0.878,-0.259,-0.387,-7.210,-7.280,-4.620
158114789,-0.883,-0.264,-0.392,-6.160,-6.370,-4.970
158114808,-0.880,-0.267,-0.392,-5.880,-5.670,-5.180
158114829,-0.884,-0.278,-0.396,-3.360,-5.040,-4.270
158114849,-0.887,-0.268,-0.396,-2.450,-4.970,-3.990
158114869,-0.884,-0.266,-0.400,-3.150,-3.990,-4.060
158114889,-0.887,-0.265,-0.397,-3.640,-3.150,-4.270
158114909,-0.889,-0.273,-0.390,-3.010,-2.520,-4.760
158114927,-0.904,-0.270,-0.385,-1.960,-2.940,-5.180
158114951,-0.909,-0.262,-0.377,-2.730,-2.870,-6.440
158114966,-0.917,-0.274,-0.354,-3.220,-3.710,-7.490
158114991,-0.917,-0.263,-0.333,-4.410,-5.250,-9.240
158115007,-0.948,-0.247,-0.312,-7.700,-6.860,-12.040
158115026,-0.935,-0.243,-0.304,-14.210,-10.430,-15.470
158115051,-0.922,-0.251,-0.317,-19.320,-11.900,-17.780
158115070,-0.931,-0.282,-0.317,-22.050,-14.770,-16.940
158115090,-0.937,-0.291,-0.333,-20.300,-17.570,-15.680
158115114,-0.941,-0.294,-0.362,-20.580,-23.800,-14.980
158115134,-0.928,-0.290,-0.354,-14.210,-28.980,-10.850
158115152,-0.905,-0.274,-0.305,-12.040,-31.290,-7.770
158115173,-0.920,-0.251,-0.309,-16.590,-36.190,-8.260
158115192,-0.905,-0.275,-0.324,-23.870,-33.530,-9.030
158115211,-0.941,-0.335,-0.298,-23.310,-36.540,-9.030
158115231,-0.957,-0.306,-0.260,-23.800,-39.410,-10.080
158115256,-0.932,-0.235,-0.219,-36.330,-34.230,-14.840
158115275,-0.955,-0.241,-0.227,-49.560,-33.110,-22.820
158115295,-0.942,-0.246,-0.267,-63.630,-32.620,-30.240
158115320,-0.939,-0.266,-0.298,-73.290,-33.670,-36.890
158115338,-0.942,-0.306,-0.289,-77.910,-34.440,-41.510
158115358,-0.934,-0.359,-0.303,-70.280,-33.320,-40.530
158115382,-0.916,-0.338,-0.309,-57.960,-27.020,-36.330
158115402,-0.907,-0.375,-0.321,-39.060,-21.350,-27.720
158115420,-0.908,-0.355,-0.345,-25.970,-18.270,-22.610
158115442,-0.895,-0.361,-0.371,-8.050,-14.840,-13.930
158115461,-0.907,-0.325,-0.352,5.040,-14.560,-8.050
158115484,-0.886,-0.282,-0.330,11.060,-11.410,-3.220
158115504,-0.888,-0.272,-0.322,10.570,-8.680,-1.680
158115528,-0.885,-0.280,-0.330,7.840,-6.090,-0.840
158115547,-0.878,-0.297,-0.340,7.910,-4.690,0.420
158115566,-0.893,-0.295,-0.317,7.980,-5.250,1.540
158115586,-0.890,-0.275,-0.296,6.580,-5.880,2.380
158115606,-0.891,-0.270,-0.289,2.730,-5.110,2.030
158115629,-0.897,-0.287,-0.277,-2.800,-3.360,0.630
158115650,-0.895,-0.300,-0.288,-8.680,-1.120,-0.560
158115670,-0.903,-0.327,-0.306,-10.290,-0.140,-0.700
158115690,-0.910,-0.351,-0.305,-6.440,-0.420,0.770
158115710,-0.920,-0.349,-0.279,-2.730,-1.190,2.590
158115730,-0.920,-0.340,-0.263,1.050,-0.280,3.640
158115750,-0.929,-0.350,-0.266,2.100,0.840,3.640
158115770,-0.927,-0.353,-0.247,3.850,1.610,3.360
158115790,-0.934,-0.344,-0.244,5.250,1.750,2.450
158115814,-0.934,-0.341,-0.245,5.110,1.330,1.610
158115838,-0.944,-0.353,-0.242,6.440,-0.070,1.190
158115858,-0.943,-0.346,-0.242,7.140,-1.120,0.840
158115882,-0.938,-0.337,-0.241,6.860,-1.470,-0.350
158115902,-0.945,-0.323,-0.236,5.040,-1.890,-1.260
158115919,-0.936,-0.324,-0.244,3.990,-1.400,-1.680
158115942,-0.934,-0.330,-0.248,5.530,-1.610,-1.050
158115963,-0.928,-0.325,-0.256,6.720,-1.400,-1.050
158115983,-0.911,-0.296,-0.285,6.230,0.000,-1.050
158116003,-0.906,-0.281,-0.319,5.670,2.380,-1.120
158116023,-0.899,-0.266,-0.356,4.620,5.530,-0.910
158116043,-0.893,-0.243,-0.408,3.150,8.540,-0.630
158116058,-0.867,-0.216,-0.429,1.260,11.200,-0.210
158116083,-0.852,-0.220,-0.452,1.680,16.240,3.570
158116103,-0.849,-0.235,-0.442,5.670,18.690,9.870
158116123,-0.846,-0.272,-0.450,12.040,20.160,15.470
158116141,-0.803,-0.234,-0.481,18.410,28.980,22.400
158116160,-0.821,-0.259,-0.521,23.940,35.140,29.540
158116185,-0.847,-0.289,-0.482,46.550,42.630,47.950
158116205,-0.890,-0.270,-0.424,53.690,52.150,57.890
158116225,-0.875,-0.270,-0.405,60.060,63.840,63.490
158116245,-0.848,-0.179,-0.421,57.400,71.820,65.380
158116265,-0.843,-0.238,-0.332,42.210,83.090,64.960
158116285,-1.526,-0.149,0.563,14.350,104.580,40.880
158116309,-1.967,-0.074,0.143,-82.810,-36.540,-19.040
158116329,-0.973,-0.926,-0.164,-33.670,-60.340,3.920
158116348,-0.963,-0.612,-0.449,43.610,-20.510,46.480
158116369,-0.955,-0.233,-0.474,58.100,-20.930,42.420
158116389,-0.927,-0.297,-0.481,69.300,-3.080,41.860
158116404,-0.978,-0.245,-0.484,78.610,3.290,45.500
158116429,-1.026,-0.148,-0.517,67.970,-9.310,32.690
158116446,-0.952,-0.157,-0.488,61.250,-13.370,28.350
158116469,-0.938,-0.073,-0.489,38.920,-20.020,24.640
158116489,-0.916,-0.083,-0.460,18.760,-25.130,23.590
158116511,-0.950,-0.110,-0.448,9.030,-26.740,25.130
158116530,-0.943,-0.155,-0.396,9.520,-30.590,31.710
158116551,-0.923,-0.099,-0.381,-0.630,-27.860,28.980
158116574,-0.900,-0.094,-0.412,-21.140,-25.130,22.890
158116595,-0.878,-0.155,-0.433,-17.010,-24.710,30.730
158116615,-0.889,-0.148,-0.451,3.920,-26.180,42.770
158116635,-0.871,-0.049,-0.427,3.850,-22.890,48.510
158116655,-0.858,-0.004,-0.387,-7.420,-20.440,49.420
158116674,-0.897,-0.072,-0.358,-1.400,-18.410,53.900
158116695,-0.918,-0.023,-0.358,4.060,-17.010,56.140
158116714,-0.935,-0.003,-0.387,2.660,-17.920,56.490
158116735,-0.969,-0.001,-0.381,4.690,-19.320,58.940
158116754,-1.024,-0.182,-0.253,27.720,-33.040,69.440
158116776,-1.037,0.227,0.015,30.310,-39.410,73.220
158116798,-1.105,0.163,0.153,4.970,-44.100,61.180
158116821,-1.177,0.056,0.041,-9.660,-42.560,63.140
158116839,-1.178,0.144,-0.081,-23.660,-36.890,60.620
158116863,-1.133,0.200,-0.171,-51.450,-34.720,46.760
158116882,-1.036,0.066,-0.142,-48.160,-41.790,44.450
158116907,-0.979,0.117,-0.084,-29.050,-43.120,50.680
158116926,-1.006,0.089,-0.117,-20.720,-43.610,51.520
158116945,-1.062,0.109,-0.166,-15.890,-45.500,45.010
158116965,-0.990,0.140,-0.201,-23.730,-57.400,38.850
158116989,-0.929,0.204,-0.199,-34.230,-61.670,37.660
158117008,-0.815,0.281,-0.133,-40.740,-64.540,39.270
158117029,-0.769,0.259,-0.089,-48.370,-55.300,40.250
158117048,-0.779,0.249,-0.108,-51.450,-46.130,37.800
158117064,-0.815,0.238,-0.103,-47.040,-44.310,42.000
158117089,-0.770,0.219,-0.062,-33.250,-40.740,55.300
158117108,-0.773,0.224,-0.080,-12.600,-26.460,66.080
158117128,-0.846,0.305,-0.102,-9.240,-18.340,71.190
158117152,-0.869,0.303,-0.057,-6.440,-16.170,73.220
158117170,-0.839,0.371,0.003,1.330,-13.160,77.490
158117192,-0.791,0.479,0.028,-8.960,-1.540,71.610
158117212,-0.858,0.377,-0.044,-20.160,11.690,67.060
158117230,-0.892,0.263,-0.056,-7.350,11.130,73.570
158117250,-0.886,0.264,-0.008,15.890,12.880,78.050
158117274,-0.900,0.446,0.146,32.620,13.510,78.400
158117294,-0.898,0.586,0.234,15.890,13.720,67.480
158117312,-0.920,0.670,0.300,-19.600,16.170,51.030
158117332,-1.034,0.484,0.317,-50.400,2.100,29.470
158117356,-1.064,0.191,0.313,7.560,-26.460,47.880
158117376,-0.820,0.443,0.187,38.220,-12.670,54.320
158117395,-0.781,0.668,0.079,32.620,-1.470,49.700
158117416,-0.802,0.724,0.040,0.210,3.290,34.720
158117435,-0.818,0.657,0.012,-12.320,3.080,24.080
158117460,-0.789,0.596,0.044,-3.360,-2.940,21.840
158117479,-0.711,0.636,0.057,13.720,-0.420,24.500
158117499,-0.707,0.727,0.026,13.580,0.280,21.350
158117518,-0.707,0.731,0.007,2.870,-1.120,14.210
158117543,-0.717,0.684,0.009,-6.860,3.850,3.220
158117563,-0.758,0.656,0.020,-6.020,4.200,-2.590
158117583,-0.790,0.621,0.013,1.820,4.900,-5.040
158117603,-0.832,0.672,-0.000,13.230,6.650,-4.830
158117623,-0.858,0.721,0.017,11.970,6.230,-8.190
158117641,-0.865,0.724,0.026,8.050,6.650,-13.090
158117660,-0.894,0.698,0.022,7.140,7.910,-18.200
158117685,-0.899,0.710,0.033,9.450,7.910,-23.170
158117709,-0.889,0.700,0.033,11.270,8.750,-28.350
158117729,-0.899,0.685,-0.006,13.090,10.570,-33.740
158117748,-0.891,0.675,-0.059,10.500,12.320,-41.300
158117769,-0.918,0.571,-0.081,10.710,16.520,-49.490
158117789,-0.920,0.495,-0.066,19.390,17.920,-54.250
158117808,-0.928,0.471,-0.005,30.940,18.060,-55.790
158117830,-0.863,0.482,0.048,38.360,19.180,-58.450
158117852,-0.839,0.525,0.040,41.300,21.140,-60.900
158117873,-0.833,0.497,-0.021,33.180,23.590,-66.500
158117894,-0.823,0.413,-0.069,31.710,25.620,-70.210
158117913,-0.883,0.402,-0.026,36.260,23.870,-70.560
158117937,-0.899,0.343,-0.090,35.350,25.200,-74.340
158117957,-0.916,0.319,-0.127,33.320,22.540,-74.270
158117978,-0.903,0.263,-0.149,23.170,18.340,-78.260
158118002,-0.882,0.194,-0.100,26.320,19.390,-79.660
158118022,-0.866,0.159,-0.097,33.390,22.820,-79.170
158118042,-0.940,0.155,-0.155,44.310,21.910,-75.320
158118057,-0.993,0.188,-0.182,47.040,16.380,-76.020
158118082,-0.963,0.188,-0.176,36.050,8.960,-79.170
158118101,-0.900,0.160,-0.188,25.690,9.590,-79.380
158118122,-0.849,0.152,-0.229,19.180,13.160,-80.640
158118142,-0.890,0.134,-0.274,12.040,16.170,-83.160
158118162,-0.927,0.063,-0.318,13.440,17.430,-84.280
158118182,-0.942,0.107,-0.329,12.810,12.460,-82.810
158118202,-0.913,0.065,-0.337,10.080,13.790,-80.010
158118222,-0.932,0.023,-0.370,19.880,12.320,-71.120
158118240,-0.965,-0.019,-0.367,24.500,11.690,-66.990
158118259,-1.007,0.004,-0.354,28.280,8.260,-57.260
158118284,-1.020,0.009,-0.294,17.290,7.210,-60.690
158118302,-1.017,-0.045,-0.285,8.260,9.730,-63.420
158118326,-1.021,-0.029,-0.288,1.330,10.010,-63.210
158118346,-1.008,-0.033,-0.305,-5.670,8.330,-61.670
158118365,-1.002,-0.070,-0.291,-4.690,7.280,-56.630
158118388,-1.052,-0.092,-0.292,9.240,8.330,-46.620
158118407,-1.103,-0.125,-0.317,21.770,6.860,-39.690
158118432,-1.104,-0.130,-0.301,37.240,2.100,-31.080
158118456,-1.079,-0.067,-0.298,31.850,2.590,-28.700
158118475,-1.064,-0.066,-0.289,18.900,1.260,-28.280
158118495,-1.035,-0.101,-0.284,9.590,0.140,-23.590
158118519,-0.998,-0.136,-0.274,4.690,3.080,-13.860
158118539,-0.976,-0.182,-0.287,9.240,4.760,-0.910
158118554,-0.994,-0.197,-0.291,14.630,4.480,7.210
158118578,-1.003,-0.155,-0.306,14.980,1.750,16.730
158118597,-0.994,-0.143,-0.324,6.160,0.770,17.920
158118621,-0.976,-0.173,-0.346,-0.980,-0.630,19.460
158118640,-0.961,-0.188,-0.374,-4.060,-0.770,22.470
158118661,-0.983,-0.207,-0.396,-5.460,-1.960,25.200
158118677,-1.003,-0.219,-0.387,-4.200,-4.760,26.040
158118700,-0.996,-0.214,-0.341,-0.490,-7.490,27.440
158118720,-1.009,-0.172,-0.307,2.800,-8.050,29.820
158118739,-1.084,-0.059,-0.284,0.280,-9.450,32.060
158118764,-1.152,0.037,-0.305,-20.790,-13.650,29.610
158118784,-1.211,0.004,-0.322,-36.610,-18.410,25.130
