Millis	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ
0	-0.996	0.215	-0.003	-0.28	-2.1	0.84
16	-0.999	0.219	-0.003	-0.49	-2.03	0.84
40	-0.995	0.213	-0.004	-0.35	-2.38	0.98
60	-0.998	0.214	-0.002	-0.07	-2.31	0.98
79	-0.992	0.216	0.0	-0.21	-2.24	0.84
99	-0.996	0.217	-0.002	-0.42	-2.24	0.91
117	-0.996	0.212	-0.005	-0.07	-2.31	0.98
137	-0.997	0.216	-0.001	-0.07	-2.31	1.05
156	-0.997	0.217	-0.003	-0.14	-2.59	1.05
181	-0.995	0.214	-0.001	0.0	-2.59	1.12
200	-0.997	0.216	-0.003	0.0	-2.73	1.19
221	-0.996	0.214	-0.004	0.07	-2.8	1.26
244	-0.992	0.214	-0.004	0.07	-2.8	1.26
264	-0.998	0.214	-0.003	0.35	-3.08	1.19
288	-0.995	0.221	0.0	0.21	-2.73	1.33
307	-0.996	0.216	0.002	-0.35	-2.8	1.4
328	-0.997	0.215	0.001	-0.28	-2.8	1.47
348	-0.994	0.215	-0.001	-0.28	-2.8	1.47
368	-0.995	0.218	-0.0	-0.35	-2.66	1.33
388	-0.996	0.219	-0.001	-0.49	-2.66	1.33
408	-0.996	0.213	-0.0	-0.28	-2.8	1.4
428	-0.995	0.218	-0.002	-0.14	-2.66	1.4
448	-0.996	0.216	-0.001	-0.28	-3.08	1.4
468	-0.996	0.216	0.0	-0.07	-3.08	1.33
492	-0.992	0.215	-0.123	0.07	-2.87	1.47
509	-0.994	0.216	0.0	-0.14	-2.94	1.47
528	-0.993	0.219	0.004	-0.07	-2.94	1.19
548	-0.994	0.216	0.0	-0.35	-2.73	1.33
573	-0.994	0.216	0.003	-0.42	-2.66	1.19
593	-0.993	0.218	0.004	-0.56	-2.38	1.05
610	-0.998	0.217	0.004	-0.49	-2.38	1.05
633	-0.992	0.216	0.002	-0.42	-2.38	1.05
654	-0.995	0.215	0.0	-0.35	-2.38	1.19
673	-0.996	0.218	0.002	-0.21	-2.66	1.12
693	-0.995	0.219	0.003	-0.49	-2.31	1.19
717	-0.996	0.215	0.001	-0.21	-2.24	1.12
732	-0.994	0.215	0.007	-0.14	-2.17	1.19
752	-0.998	0.218	0.004	-0.07	-2.1	1.05
772	-0.994	0.215	0.001	0.0	-2.03	0.98
797	-0.999	0.215	0.001	0.0	-2.17	1.19
816	-0.993	0.214	0.003	0.0	-2.03	1.19
835	-0.996	0.218	0.0	-0.07	-2.24	1.19
857	-0.994	0.215	0.004	-0.07	-2.24	1.26
877	-0.995	0.22	0.005	-0.21	-2.24	1.33
897	-0.995	0.216	0.001	-0.14	-2.17	1.26
921	-0.994	0.221	0.004	0.0	-2.24	1.19
941	-0.995	0.218	0.004	-0.28	-1.96	1.19
960	-0.994	0.221	0.002	-0.28	-1.96	1.05
981	-0.993	0.218	0.004	-0.07	-1.68	0.98
1000	-0.994	0.219	0.002	-0.35	-1.75	0.98
1020	-0.998	0.215	0.003	-0.42	-1.68	0.98
1044	-0.992	0.217	-0.001	-0.21	-1.75	0.98
1064	-0.993	0.218	0.001	-0.35	-1.61	0.91
1080	-0.996	0.216	-0.002	0.0	-1.61	0.77
1104	-0.994	0.213	-0.001	0.14	-1.68	0.84
1124	-1.003	0.219	0.0	0.56	-1.82	1.05
1143	-0.999	0.217	0.002	0.63	-1.96	0.98
1167	-0.992	0.215	0.003	0.56	-1.61	0.77
1187	-0.994	0.21	-0.002	0.28	-1.47	0.84
1206	-0.991	0.214	-0.007	0.0	-1.68	0.98
1226	-0.995	0.214	-0.006	-0.07	-2.1	1.33
1242	-1.001	0.217	-0.005	-0.63	-2.45	1.54
1262	-0.996	0.217	0.001	-0.77	-2.73	1.61
1285	-0.996	0.221	0.001	-0.63	-2.38	1.47
1307	-0.995	0.221	0.001	-0.49	-2.31	1.26
1327	-0.996	0.216	0.001	0.0	-2.24	1.33
1347	-0.992	0.217	-0.002	-0.07	-2.17	1.12
1367	-0.995	0.216	-0.003	0.28	-2.03	0.98
1385	-0.993	0.219	0.003	0.21	-1.75	0.98
1409	-0.995	0.217	0.005	-0.07	-1.47	0.98
1429	-0.995	0.219	-0.004	-0.14	-1.26	0.77
1449	-0.996	0.217	-0.0	-0.14	-1.4	0.77
1466	-0.992	0.217	-0.0	0.0	-1.33	0.7
1489	-0.994	0.217	-0.005	-0.28	-0.98	0.7
1513	-0.995	0.214	-0.004	-0.28	-1.33	0.63
1533	-0.996	0.215	-0.003	-0.21	-1.26	0.77
