Millis	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ
0	-0.921	-0.093	0.483	1.54	-2.24	-1.05
19	-0.914	-0.09	0.48	0.77	-2.73	-0.84
39	-0.916	-0.087	0.475	-0.98	-2.73	0.21
59	-0.918	-0.081	0.482	-1.33	-1.26	2.8
83	-0.932	-0.075	0.489	-1.33	-2.31	6.51
103	-0.908	-0.063	0.484	-4.62	-2.66	7.42
118	-0.908	-0.079	0.492	-3.99	-3.43	6.37
143	-0.927	-0.063	0.486	-1.54	-3.15	3.85
159	-0.927	-0.095	0.491	0.35	-3.64	2.24
179	-0.927	-0.08	0.486	3.64	-3.15	1.19
198	-0.923	-0.084	0.472	2.52	-3.64	0.14
223	-0.913	-0.091	0.467	3.29	-3.36	0.07
243	-0.913	-0.094	0.468	3.01	-3.29	0.35
262	-0.912	-0.092	0.47	2.52	-2.45	0.63
282	-0.915	-0.102	0.465	0.63	-1.96	0.7
306	-0.91	-0.103	0.468	2.73	-1.75	0.49
326	-0.921	-0.064	0.477	1.12	-2.59	-0.63
344	-0.917	-0.087	0.477	-0.84	-2.59	-1.75
366	-0.919	-0.084	0.472	0.14	-2.1	-2.73
386	-0.923	-0.072	0.462	0.07	-1.47	-3.22
404	-0.919	-0.073	0.468	0.28	-1.05	-2.87
424	-0.916	-0.085	0.475	2.87	0.0	-2.1
444	-0.913	-0.063	0.488	3.57	0.77	-1.47
464	-0.918	-0.069	0.479	2.31	0.77	-1.12
487	-0.92	-0.07	0.479	0.28	0.28	-0.21
507	-0.924	-0.08	0.49	1.26	0.0	0.35
527	-0.926	-0.083	0.493	2.31	-0.14	0.35
547	-0.923	-0.065	0.489	0.7	-0.49	0.49
571	-0.921	-0.085	0.479	1.4	-1.19	1.33
591	-0.919	-0.085	0.487	2.59	-0.84	0.7
611	-0.923	-0.078	0.484	2.1	-1.19	-0.07
631	-0.917	-0.072	0.474	1.4	-1.68	-0.07
651	-0.913	-0.082	0.476	2.03	-1.68	0.35
670	-0.915	-0.073	0.482	1.54	-1.68	0.35
690	-0.912	-0.079	0.475	1.33	-1.75	0.07
709	-0.919	-0.078	0.461	0.35	-2.03	-0.49
730	-0.919	-0.086	0.464	-0.63	-2.1	-0.91
751	-0.921	-0.084	0.468	1.61	-1.54	-0.84
772	-0.925	-0.078	0.468	1.19	-1.4	-1.12
794	-0.919	-0.08	0.475	17.85	-1.33	-2.03
815	-0.92	-0.073	0.471	0.14	-1.33	-3.36
838	-0.915	-0.065	0.46	0.0	-1.33	-2.59
855	-0.912	-0.076	0.475	1.61	-1.12	-1.68
876	-0.911	-0.073	0.48	-0.56	-1.47	-1.47
900	-0.922	-0.074	0.477	-2.38	-1.89	-3.22
920	-0.934	-0.096	0.474	-4.27	-1.54	-3.22
940	-0.935	-0.107	0.497	-2.17	-1.82	-1.54
959	-0.937	-0.084	0.507	-2.59	-2.59	-0.63
983	-0.924	-0.057	0.493	-12.6	-5.04	-1.68
1002	-0.916	-0.073	0.477	-14.21	-6.37	-2.31
1019	-0.917	-0.086	0.471	-15.05	-7.35	-2.24
1039	-0.905	-0.094	0.437	-0.14	-8.68	-3.5
1059	-0.876	-0.145	0.452	-7.63	-5.32	-4.83
1079	-0.892	-0.133	0.452	6.79	-1.89	-6.37
1103	-0.892	-0.088	0.44	9.52	-0.49	-6.3
1121	-0.914	-0.077	0.447	5.11	-0.91	-6.02
1145	-0.925	-0.116	0.45	11.2	1.54	-6.16
1163	-0.932	-0.108	0.426	17.36	3.36	-7.84
1183	-0.889	-0.137	0.465	40.39	9.8	-11.27
1207	-0.941	-0.05	0.458	56.07	12.46	-11.62
1227	-0.964	0.013	0.452	50.33	11.27	-7.84
1247	-0.956	0.041	0.48	26.46	6.65	-3.64
1266	-0.939	-0.014	0.492	9.17	4.13	0.7
1287	-0.925	-0.036	0.47	-2.31	1.54	4.2
1305	-0.93	-0.062	0.463	-8.47	0.42	5.46
1328	-0.932	-0.099	0.452	-10.43	-0.77	6.65
1349	-0.933	-0.111	0.458	-11.27	-0.77	6.02
1369	-0.93	-0.105	0.451	-11.69	-0.91	4.2
1389	-0.928	-0.091	0.437	-14.56	-2.1	2.59
1409	-0.92	-0.106	0.43	-15.47	-2.17	0.98
1433	-0.92	-0.117	0.418	-11.34	-1.12	0.35
1453	-0.915	-0.12	0.43	-3.22	1.75	0.28
1469	-0.928	-0.104	0.441	1.47	3.5	0.21
1492	-0.922	-0.09	0.43	0.63	3.99	-0.63
1513	-0.917	-0.142	0.444	12.04	7.7	-1.47
1529	-0.923	-0.11	0.448	21.56	9.45	-2.24
1549	-0.929	-0.084	0.45	29.12	9.45	-3.15
1568	-0.944	-0.028	0.462	25.13	7.35	-3.43
1590	-0.953	-0.025	0.464	10.43	3.71	-3.57
1613	-0.954	-0.04	0.451	1.12	0.49	-3.01
1633	-0.952	-0.056	0.443	-6.58	-2.03	-2.38
1653	-0.946	-0.084	0.428	-9.73	-2.59	-1.75
1673	-0.935	-0.097	0.427	-7.84	-2.38	-1.96
1690	-0.941	-0.086	0.42	-7.35	-1.47	-2.59
1710	-0.941	-0.078	0.416	-11.06	-1.47	-3.15
1730	-0.937	-0.083	0.408	-13.02	-1.26	-3.01
1751	-0.931	-0.125	0.415	-7.21	-0.42	-3.01
1772	-0.938	-0.092	0.408	-2.1	2.1	-2.87
1791	-0.937	-0.082	0.416	-2.73	2.73	-2.24
1816	-0.94	-0.061	0.412	-9.17	2.1	-0.84
1831	-0.947	-0.056	0.407	-15.47	1.33	0.21
1851	-0.941	-0.078	0.402	-21.77	0.98	0.91
1873	-0.938	-0.115	0.408	-17.85	3.08	0.91
1894	-0.946	-0.102	0.418	-15.61	4.69	-0.42
1914	-0.957	-0.064	0.427	-19.18	4.76	-1.05
1938	-0.967	-0.038	0.434	-34.65	2.94	-0.14
1958	-0.979	-0.053	0.447	-57.4	-0.07	0.56
1979	-0.983	-0.078	0.415	-70.84	-3.08	3.5
2000	-0.983	-0.074	0.395	-90.86	-5.95	6.23
2024	-0.983	-0.084	0.364	-108.85	-11.9	6.37
2043	-0.954	-0.14	0.35	-124.39	-16.52	4.69
2063	-0.947	-0.168	0.352	-131.6	-16.94	1.68
2084	-0.96	-0.156	0.347	-141.05	-19.32	-1.96
2104	-0.965	-0.186	0.321	-146.44	-19.74	-5.04
2123	-0.975	-0.188	0.284	-153.72	-21.7	-8.61
