Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1743902744.269103,0.076,-0.075,1.027,0.350,-2.310,-0.770
1743902744.289103,0.074,-0.073,1.030,0.210,-2.380,-0.700
1743902744.309103,0.072,-0.075,1.031,0.560,-2.590,-0.700
1743902744.329103,0.071,-0.075,1.031,0.350,-2.520,-0.770
1743902744.349103,0.075,-0.074,1.026,0.560,-2.520,-0.770
1743902744.369103,0.073,-0.073,1.029,0.560,-2.590,-0.770
1743902744.340179,0.075,-0.072,1.031,0.560,-2.520,-0.700
1743902744.360179,0.073,-0.072,1.029,0.420,-2.520,-0.700
1743902744.380179,0.075,-0.073,1.030,0.490,-2.380,-0.770
1743902744.400179,0.074,-0.074,1.031,0.420,-2.450,-0.770
1743902744.420179,0.073,-0.073,1.032,0.280,-2.380,-0.770
1743902744.4401789,0.077,-0.074,1.030,0.420,-2.520,-0.770
1743902744.356482,0.075,-0.074,1.028,0.280,-2.450,-0.770
1743902744.376482,0.074,-0.072,1.030,0.280,-2.520,-0.840
1743902744.396482,0.075,-0.075,1.030,0.280,-2.380,-0.770
1743902744.416482,0.074,-0.074,1.033,0.350,-2.520,-0.770
1743902744.436482,0.074,-0.074,1.030,0.210,-2.380,-0.700
1743902744.456482,0.075,-0.073,1.032,0.420,-2.380,-0.700
1743902744.4017682,0.073,-0.076,1.034,0.350,-2.380,-0.770
1743902744.4217682,0.074,-0.074,1.031,0.420,-2.520,-0.630
1743902744.4417682,0.075,-0.075,1.030,0.420,-2.450,-0.630
1743902744.4617682,0.074,-0.074,1.031,0.280,-2.380,-0.700
1743902744.4817681,0.074,-0.073,1.030,0.350,-2.380,-0.770
1743902744.501768,0.074,-0.075,1.030,0.700,-2.590,-0.770
1743902744.4476032,0.074,-0.074,1.031,0.490,-2.450,-0.770
1743902744.4676032,0.076,-0.075,1.034,0.350,-2.310,-0.700
1743902744.4876032,0.074,-0.073,1.032,0.280,-2.520,-0.700
1743902744.5076032,0.075,-0.073,1.030,0.280,-2.380,-0.700
1743902744.5276031,0.074,-0.073,1.029,0.420,-2.520,-0.770
1743902744.5476031,0.071,-0.073,1.029,0.350,-2.520,-0.840
1743902744.4764962,0.076,-0.073,1.032,0.420,-2.450,-0.700
1743902744.4964962,0.074,-0.073,1.030,0.280,-2.380,-0.700
1743902744.5164962,0.076,-0.072,1.029,0.420,-2.590,-0.700
1743902744.5364962,0.072,-0.074,1.029,0.210,-2.590,-0.700
1743902744.5564961,0.075,-0.074,1.030,0.210,-2.240,-0.770
1743902744.5764961,0.076,-0.072,1.030,0.210,-2.520,-0.770
1743902744.5227401,0.076,-0.073,1.030,0.210,-2.590,-0.700
1743902744.54274,0.075,-0.075,1.029,0.350,-2.520,-0.770
1743902744.56274,0.076,-0.075,1.029,0.350,-2.380,-0.840
1743902744.58274,0.075,-0.074,1.031,0.350,-2.520,-0.770
1743902744.60274,0.074,-0.074,1.028,0.490,-2.450,-0.700
1743902744.62274,0.075,-0.073,1.031,0.350,-2.520,-0.630
1743902744.566673,0.074,-0.076,1.032,0.350,-2.450,-0.770
1743902744.586673,0.073,-0.075,1.033,0.350,-2.450,-0.770
1743902744.606673,0.073,-0.074,1.028,0.420,-2.380,-0.700
1743902744.626673,0.076,-0.076,1.032,0.280,-2.380,-0.770
1743902744.646673,0.071,-0.074,1.033,0.420,-2.380,-0.770
1743902744.666673,0.077,-0.075,1.033,0.350,-2.590,-0.700
1743902744.640144,0.076,-0.073,1.027,0.280,-2.380,-0.770
1743902744.660144,0.075,-0.072,1.032,0.420,-2.240,-0.700
1743902744.680144,0.073,-0.074,1.033,0.140,-2.520,-0.770
1743902744.700144,0.072,-0.075,1.030,0.560,-2.520,-0.630
1743902744.720144,0.076,-0.073,1.032,0.490,-2.520,-0.700
1743902744.740144,0.071,-0.072,1.031,0.000,-2.450,-0.700
1743902744.65692,0.075,-0.076,1.030,0.420,-2.310,-0.700
1743902744.67692,0.076,-0.074,1.031,0.630,-2.380,-0.700
1743902744.69692,0.075,-0.075,1.030,0.000,-2.660,-0.770
1743902744.71692,0.076,-0.076,1.028,0.210,-2.520,-0.770
1743902744.7369199,0.073,-0.075,1.032,0.490,-2.170,-0.770
1743902744.7569199,0.074,-0.074,1.031,0.140,-2.660,-0.770
1743902744.70316,0.074,-0.073,1.028,0.490,-2.310,-0.770
1743902744.72316,0.076,-0.075,1.030,0.350,-2.660,-0.840
1743902744.74316,0.074,-0.076,1.029,0.210,-2.450,-0.630
1743902744.76316,0.076,-0.075,1.033,0.280,-2.380,-0.700
1743902744.78316,0.075,-0.074,1.029,0.490,-2.660,-0.840
1743902744.80316,0.078,-0.075,1.031,0.420,-2.310,-0.770
1743902744.748015,0.076,-0.073,1.029,0.280,-2.590,-0.770
1743902744.768015,0.077,-0.073,1.032,0.490,-2.590,-0.700
1743902744.788015,0.075,-0.073,1.031,0.280,-2.240,-0.770
1743902744.8080149,0.072,-0.075,1.029,0.280,-2.590,-0.700
1743902744.8280149,0.073,-0.075,1.029,0.560,-2.380,-0.700
1743902744.8480148,0.074,-0.073,1.032,0.350,-2.310,-0.770
1743902744.792069,0.072,-0.074,1.032,0.350,-2.450,-0.630
1743902744.812069,0.073,-0.074,1.029,0.350,-2.590,-0.700
1743902744.832069,0.073,-0.074,1.029,0.630,-2.310,-0.770
1743902744.852069,0.074,-0.073,1.032,0.350,-2.590,-0.700
1743902744.872069,0.073,-0.072,1.032,0.420,-2.660,-0.840
1743902744.8920689,0.075,-0.075,1.027,0.350,-2.310,-0.700
1743902744.823785,0.076,-0.073,1.028,0.350,-2.520,-0.700
1743902744.843785,0.076,-0.075,1.031,0.350,-2.520,-0.630
1743902744.863785,0.073,-0.075,1.030,0.490,-2.520,-0.770
1743902744.883785,0.076,-0.073,1.029,0.280,-2.310,-0.700
1743902744.903785,0.074,-0.075,1.029,0.070,-2.520,-0.770
1743902744.923785,0.074,-0.074,1.033,0.420,-2.520,-0.770
1743902744.869188,0.074,-0.075,1.030,0.420,-2.520,-0.700
1743902744.889188,0.075,-0.073,1.030,0.490,-2.520,-0.770
1743902744.909188,0.073,-0.073,1.030,0.490,-2.450,-0.700
1743902744.929188,0.075,-0.074,1.030,0.140,-2.380,-0.770
1743902744.949188,0.075,-0.075,1.031,0.420,-2.450,-0.700
1743902744.969188,0.074,-0.074,1.029,0.350,-2.450,-0.700
1743902744.9416091,0.074,-0.074,1.033,0.350,-2.520,-0.630
1743902744.9616091,0.076,-0.075,1.032,0.350,-2.450,-0.700
