Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1743434736.658644,0.103,-0.411,0.936,0.49,-2.45,-0.56
1743434736.678644,0.106,-0.407,0.932,0.63,-2.31,-0.42
1743434736.698644,0.103,-0.409,0.935,0.21,-2.45,-0.49
1743434736.718644,0.104,-0.411,0.935,0.35,-2.52,-0.56
1743434736.738644,0.103,-0.407,0.934,0.21,-2.66,-0.49
1743434736.7178812,0.108,-0.409,0.934,0.98,-2.45,-0.35
1743434736.7378812,0.098,-0.412,0.936,0.49,-2.31,-0.42
1743434736.7578812,0.101,-0.407,0.934,-0.28,-2.52,-0.42
1743434736.7778811,0.103,-0.41,0.935,-0.07,-2.59,-0.42
1743434736.7978811,0.102,-0.412,0.931,0.28,-2.52,-0.28
1743434736.748243,0.104,-0.413,0.933,0.77,-2.45,-0.56
1743434736.768243,0.106,-0.408,0.934,1.47,-2.52,-0.56
1743434736.788243,0.105,-0.406,0.936,0.35,-2.31,-0.35
1743434736.808243,0.105,-0.409,0.935,-0.35,-2.59,-0.28
1743434736.828243,0.102,-0.409,0.933,-0.21,-2.59,-0.49
1743434736.865622,0.107,-0.409,0.932,0.7,-2.31,-0.49
1743434736.885622,0.102,-0.411,0.932,1.19,-2.38,-0.49
1743434736.905622,0.103,-0.409,0.935,0.98,-2.31,-0.49
1743434736.925622,0.105,-0.407,0.938,0.42,-2.45,-0.42
1743434736.945622,0.104,-0.407,0.932,-0.63,-2.52,-0.21
1743434736.868358,0.103,-0.414,0.933,0.63,-2.59,-0.49
1743434736.888358,0.104,-0.411,0.935,0.63,-2.38,-0.42
1743434736.908358,0.103,-0.411,0.934,0.77,-2.45,-0.42
1743434736.9283578,0.103,-0.409,0.933,0.7,-2.66,-0.49
1743434736.9483578,0.106,-0.409,0.935,0.0,-2.31,-0.42
1743434736.9142122,0.102,-0.414,0.934,0.21,-2.45,-0.49
1743434736.9342122,0.108,-0.41,0.933,0.98,-2.45,-0.42
1743434736.9542122,0.104,-0.41,0.933,0.56,-2.45,-0.49
1743434736.9742122,0.105,-0.412,0.936,0.63,-2.45,-0.42
1743434736.9942122,0.104,-0.406,0.932,0.0,-2.45,-0.42
1743434736.959226,0.104,-0.41,0.934,0.0,-2.45,-0.35
1743434736.979226,0.103,-0.41,0.933,0.77,-2.59,-0.49
1743434736.999226,0.104,-0.41,0.933,0.98,-2.31,-0.42
1743434737.019226,0.104,-0.405,0.937,0.14,-2.45,-0.35
1743434737.039226,0.103,-0.41,0.935,0.14,-2.45,-0.42
1743434737.002779,0.105,-0.41,0.932,0.21,-2.38,-0.28
1743434737.022779,0.105,-0.411,0.934,0.21,-2.45,-0.42
1743434737.042779,0.103,-0.411,0.933,0.91,-2.45,-0.42
1743434737.062779,0.106,-0.407,0.934,0.63,-2.24,-0.42
1743434737.082779,0.103,-0.409,0.936,0.35,-2.38,-0.42
1743434737.0640051,0.105,-0.412,0.936,0.28,-2.38,-0.28
1743434737.084005,0.105,-0.409,0.936,0.14,-2.52,-0.42
1743434737.104005,0.107,-0.411,0.934,0.49,-2.38,-0.49
1743434737.124005,0.105,-0.408,0.934,0.77,-2.45,-0.56
1743434737.144005,0.104,-0.408,0.934,0.49,-2.38,-0.42
1743434737.1095,0.105,-0.408,0.936,0.42,-2.38,-0.35
1743434737.1295,0.106,-0.411,0.935,0.56,-2.45,-0.49
1743434737.1495,0.107,-0.41,0.934,0.14,-2.52,-0.35
1743434737.1695,0.102,-0.412,0.935,0.49,-2.52,-0.49
1743434737.1895,0.103,-0.408,0.934,0.7,-2.45,-0.49
1743434737.15237,0.103,-0.407,0.937,0.42,-2.45,-0.35
1743434737.17237,0.105,-0.41,0.935,0.56,-2.45,-0.42
1743434737.19237,0.106,-0.411,0.935,0.35,-2.45,-0.35
1743434737.21237,0.104,-0.411,0.935,0.42,-2.31,-0.42
1743434737.23237,0.106,-0.41,0.935,0.91,-2.45,-0.42
1743434737.19766,0.104,-0.407,0.936,0.49,-2.31,-0.35
1743434737.21766,0.104,-0.409,0.936,0.35,-2.45,-0.42
1743434737.23766,0.106,-0.41,0.935,0.63,-2.38,-0.35
1743434737.25766,0.103,-0.409,0.932,0.28,-2.38,-0.35
1743434737.27766,0.104,-0.411,0.935,0.7,-2.38,-0.42
1743434737.272597,0.104,-0.409,0.935,0.7,-2.38,-0.42
1743434737.292597,0.104,-0.412,0.935,0.49,-2.38,-0.28
1743434737.312597,0.105,-0.411,0.935,0.63,-2.45,-0.35
1743434737.332597,0.106,-0.407,0.935,0.42,-2.31,-0.35
1743434737.352597,0.102,-0.412,0.935,0.28,-2.38,-0.28
1743434737.3032851,0.105,-0.41,0.935,0.63,-2.38,-0.35
1743434737.323285,0.103,-0.409,0.936,0.56,-2.45,-0.35
1743434737.343285,0.104,-0.408,0.935,0.56,-2.38,-0.42
1743434737.363285,0.103,-0.409,0.936,0.63,-2.45,-0.49
1743434737.383285,0.102,-0.407,0.935,0.28,-2.24,-0.42
1743434737.36191,0.105,-0.413,0.933,0.56,-2.38,-0.49
1743434737.38191,0.106,-0.408,0.935,0.63,-2.31,-0.35
