Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
179.271733,-0.054,-0.050,1.052,0.770,-2.590,-0.840
179.280656,-0.057,-0.055,1.055,0.560,-1.890,-0.840
179.287656,-0.061,-0.065,1.037,5.390,-3.080,-0.490
179.296635,-0.078,-0.047,1.068,-0.560,-5.390,-1.190
179.305653,-0.016,-0.021,1.032,-7.420,-3.360,-0.560
179.316923,-0.075,-0.070,1.077,1.120,-3.780,-0.980
179.325755,-0.078,-0.040,1.038,-2.310,-4.340,-0.700
179.32965,-0.058,-0.054,1.031,2.800,-3.150,-0.770
179.338643,-0.041,-0.044,1.070,-1.750,-2.940,-1.050
179.346663,-0.039,-0.065,1.053,3.500,-1.190,-0.910
179.356392,-0.062,-0.026,1.045,-0.910,-2.660,-0.700
179.365255,-0.064,-0.062,1.060,0.980,-2.730,-0.770
179.374036,-0.053,-0.062,1.053,1.400,-2.520,-0.910
179.38301,-0.057,-0.040,1.040,-0.070,-3.290,-0.770
179.391079,-0.056,-0.055,1.068,2.590,-2.310,-0.700
179.398472,-0.058,-0.038,1.046,-0.770,-2.310,-0.700
179.407373,-0.060,-0.055,1.042,0.420,-2.590,-0.840
179.411332,-0.054,-0.050,1.051,1.120,-2.100,-0.840
179.41833,-0.058,-0.051,1.055,0.490,-2.660,-0.840
179.427359,-0.055,-0.054,1.046,1.260,-2.100,-0.770
179.438645,-0.056,-0.053,1.054,0.910,-2.520,-0.840
179.447597,-0.056,-0.053,1.053,1.610,-2.030,-0.770
179.456405,-0.054,-0.046,1.048,0.700,-2.590,-0.840
179.465346,-0.056,-0.054,1.053,1.260,-2.730,-0.770
179.469286,-0.056,-0.048,1.052,0.910,-2.170,-0.910
179.482767,-0.060,-0.051,1.046,1.050,-2.730,-0.840
179.486724,-0.056,-0.047,1.052,1.050,-2.100,-0.910
179.495633,-0.060,-0.052,1.052,0.770,-2.590,-0.840
179.504602,-0.057,-0.053,1.053,1.120,-2.450,-0.630
179.513408,-0.057,-0.047,1.056,0.420,-2.800,-0.840
179.524675,-0.054,-0.053,1.055,1.190,-2.590,-0.840
179.532777,-0.059,-0.050,1.052,0.700,-2.800,-0.770
179.539723,-0.056,-0.051,1.048,0.840,-2.730,-0.770
179.543642,-0.055,-0.050,1.051,1.120,-2.450,-0.770
179.551683,-0.058,-0.049,1.051,0.840,-2.590,-0.770
179.562389,-0.059,-0.051,1.052,0.700,-2.450,-0.770
179.566344,-0.059,-0.054,1.050,0.910,-2.660,-0.700
179.575273,-0.058,-0.051,1.052,1.050,-2.380,-0.700
179.583322,-0.056,-0.050,1.051,0.910,-2.380,-0.840
179.591421,-0.056,-0.051,1.053,0.910,-2.380,-0.840
179.598839,-0.053,-0.054,1.050,0.980,-2.170,-0.770
179.607738,-0.057,-0.053,1.048,1.120,-2.380,-0.840
179.614737,-0.055,-0.050,1.051,1.120,-2.310,-0.910
179.618645,-0.057,-0.049,1.051,0.840,-2.240,-0.910
179.627629,-0.057,-0.049,1.051,1.050,-2.310,-0.700
179.643085,-0.058,-0.051,1.051,0.980,-2.240,-0.630
179.647002,-0.060,-0.048,1.054,0.980,-2.660,-0.840
179.655191,-0.058,-0.050,1.051,0.770,-2.520,-0.770
179.664045,-0.057,-0.051,1.052,0.910,-2.870,-0.840
179.670067,-0.053,-0.052,1.053,0.910,-2.660,-0.770
179.67744,-0.056,-0.051,1.051,1.050,-2.590,-0.910
179.686331,-0.055,-0.051,1.051,1.190,-2.520,-0.840
179.695322,-0.059,-0.044,1.053,0.910,-2.590,-0.700
179.699245,-0.057,-0.055,1.047,0.070,-2.730,-0.910
179.707412,-0.056,-0.054,1.052,1.330,-2.380,-0.700
179.720997,-0.057,-0.046,1.053,0.840,-2.450,-0.840
179.724991,-0.056,-0.047,1.054,0.700,-2.380,-0.700
179.733991,-0.055,-0.049,1.050,0.700,-2.310,-0.700
179.742993,-0.054,-0.051,1.053,0.980,-2.450,-0.840
179.751997,-0.056,-0.048,1.054,0.840,-2.380,-0.840
179.763328,-0.055,-0.050,1.052,0.980,-2.310,-0.840
179.770396,-0.058,-0.050,1.051,0.910,-2.380,-0.840
179.779382,-0.056,-0.051,1.053,0.980,-2.240,-0.770
179.78329,-0.058,-0.049,1.049,0.770,-2.450,-0.840
179.791513,-0.057,-0.051,1.054,0.840,-2.380,-0.840
179.804001,-0.058,-0.052,1.053,0.840,-2.310,-0.770
179.807979,-0.059,-0.047,1.051,0.910,-2.660,-0.840
179.816078,-0.057,-0.049,1.053,0.700,-2.450,-0.840
179.824994,-0.057,-0.050,1.049,0.910,-2.730,-0.770
179.832096,-0.058,-0.051,1.050,0.910,-2.590,-0.840
179.839488,-0.055,-0.051,1.052,0.910,-2.170,-0.770
179.848397,-0.057,-0.047,1.051,1.120,-2.310,-0.700
179.85735,-0.057,-0.048,1.054,0.560,-2.520,-0.840
179.861289,-0.058,-0.051,1.050,0.770,-2.310,-0.770
179.868318,-0.059,-0.052,1.053,0.980,-2.730,-0.910
179.875771,-0.054,-0.051,1.055,1.120,-2.520,-0.840
179.880833,-0.054,-0.050,1.052,0.980,-2.380,-0.910
179.889725,-0.058,-0.048,1.051,0.980,-2.800,-0.770
179.898646,-0.057,-0.050,1.052,0.770,-2.170,-0.840
179.905752,-0.058,-0.052,1.049,0.910,-2.240,-0.770
179.913197,-0.058,-0.049,1.055,0.770,-2.450,-0.770
179.922036,-0.056,-0.048,1.052,0.630,-2.310,-0.770
179.930984,-0.058,-0.049,1.048,0.980,-2.380,-0.770
179.934924,-0.056,-0.051,1.053,0.700,-2.310,-0.840
179.943913,-0.056,-0.050,1.050,0.910,-2.310,-0.840
179.955348,-0.056,-0.050,1.053,0.700,-2.380,-0.840
179.964277,-0.056,-0.052,1.053,0.910,-2.520,-0.840
179.972479,-0.056,-0.050,1.049,0.630,-2.450,-0.700
179.981396,-0.059,-0.054,1.057,3.640,-2.240,-0.560
179.98941,-0.061,-0.034,1.043,-1.680,-2.590,-0.630
179.997865,-0.050,-0.070,1.047,2.100,-1.750,-0.700
180.004824,-0.056,-0.051,1.056,2.030,-1.540,-0.700
180.00872,-0.062,-0.041,1.057,-0.420,-2.520,-0.630
180.01763,-0.055,-0.057,1.051,0.560,-2.590,-0.700
180.026602,-0.052,-0.056,1.049,1.260,-2.590,-0.910
180.037918,-0.050,-0.047,1.058,1.120,-2.380,-0.700
