Millis,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
11224479,-1.001,0.112,0.002,1.610,3.150,-1.890
11224502,-1.004,0.120,0.001,2.170,2.730,-2.100
11224523,-1.002,0.122,0.001,1.750,2.240,-2.030
11224541,-1.000,0.119,0.004,1.470,2.170,-2.170
11224563,-1.004,0.109,-0.002,1.960,2.100,-2.170
11224579,-1.003,0.118,0.003,2.170,1.960,-2.170
11224603,-1.002,0.124,-0.006,1.960,1.190,-2.520
11224624,-1.000,0.124,-0.008,1.400,0.840,-3.010
11224645,-1.001,0.115,0.123,1.470,0.490,-3.220
11224669,-1.004,0.106,-0.006,1.470,0.280,-2.800
11224689,-1.004,0.113,-0.005,1.400,0.770,-2.310
11224709,-1.003,0.108,-0.005,1.750,1.330,-1.890
11224724,-0.998,0.112,-0.007,1.890,1.260,-1.820
11224749,-1.004,0.114,-0.017,1.610,0.840,-1.820
11224768,-1.004,0.120,-0.017,1.120,0.210,-1.890
11224787,-1.002,0.116,-0.013,1.190,-0.210,-1.960
11224809,-1.002,0.117,-0.016,1.260,-0.420,-2.240
11224829,-1.004,0.114,-0.020,1.260,-0.840,-2.240
11224848,-0.999,0.113,-0.019,1.050,-0.770,-2.100
11224872,-0.998,0.110,-0.019,1.330,-0.700,-1.820
11224890,-0.999,0.112,-0.016,1.050,-0.630,-1.680
11224908,-0.998,0.109,-0.016,1.190,-0.350,-1.890
11224932,-0.998,0.118,-0.021,0.840,-0.280,-1.750
11224953,-1.000,0.119,-0.023,0.980,-0.490,-1.750
11224975,-1.002,0.113,-0.026,0.770,-0.840,-1.890
11224995,-0.999,0.119,-0.028,0.630,-1.260,-1.960
11225014,-1.002,0.113,-0.023,0.910,-1.540,-2.100
11225038,-1.006,0.110,-0.025,0.840,-2.030,-1.820
11225058,-0.999,0.110,-0.028,0.770,-2.590,-1.540
11225077,-0.994,0.114,-0.022,0.630,-2.450,-1.470
11225098,-1.000,0.113,-0.020,0.840,-2.240,-1.750
11225122,-1.001,0.117,-0.023,0.840,-2.310,-2.030
11225141,-0.999,0.112,-0.029,0.840,-2.590,-1.890
11225165,-1.001,0.113,-0.020,0.560,-2.520,-1.890
11225189,-1.003,0.112,-0.026,0.700,-2.870,-2.100
11225209,-1.006,0.113,-0.027,0.630,-3.080,-2.100
11225229,-1.005,0.114,-0.031,0.350,-3.780,-2.100
11225249,-1.001,0.115,-0.029,0.210,-4.550,-2.030
11225269,-1.004,0.113,-0.021,0.350,-5.180,-2.170
11225289,-1.005,0.119,-0.022,0.350,-5.390,-2.310
11225309,-0.997,0.111,-0.023,0.420,-5.530,-2.380
11225328,-1.001,0.108,-0.019,0.560,-5.740,-2.100
11225353,-0.998,0.112,-0.016,0.210,-5.460,-2.100
11225377,-1.005,0.108,-0.009,0.350,-5.320,-2.240
11225396,-1.004,0.113,-0.016,0.350,-5.390,-2.100
11225417,-1.000,0.109,-0.017,0.280,-5.810,-2.100
11225436,-0.998,0.113,-0.015,-0.140,-5.670,-2.100
11225460,-0.998,0.108,-0.009,-0.140,-5.600,-2.170
11225477,-1.003,0.109,-0.011,-0.210,-5.600,-2.100
11225498,-0.999,0.106,-0.005,-0.070,-5.320,-1.890
11225521,-0.999,0.111,-0.011,-0.490,-5.180,-1.680
11225542,-0.996,0.108,-0.004,-0.350,-4.690,-1.400
11225562,-0.997,0.104,0.003,0.000,-4.200,-1.610
11225579,-1.005,0.112,-0.010,0.070,-4.060,-1.680
11225603,-1.008,0.114,-0.015,-0.140,-4.900,-1.680
11225623,-1.004,0.116,-0.009,-0.980,-5.390,-1.960
11225641,-0.997,0.113,-0.011,-0.910,-5.670,-1.960
11225664,-0.997,0.106,0.001,-0.630,-5.460,-2.380
11225683,-1.003,0.111,-0.001,0.350,-5.460,-2.660
11225707,-0.999,0.115,-0.001,0.490,-5.250,-2.800
11225722,-0.998,0.105,0.010,1.050,-4.480,-3.290
11225747,-0.995,0.099,0.009,1.470,-3.290,-3.010
11225765,-0.992,0.102,0.021,0.980,-1.890,-2.590
11225787,-0.996,0.102,0.004,1.190,-0.700,-2.520
11225807,-1.007,0.110,-0.004,0.910,-1.050,-2.380
11225827,-1.007,0.114,-0.008,0.840,-1.610,-2.870
11225851,-1.002,0.106,-0.001,0.210,-2.030,-3.010
11225870,-1.004,0.108,-0.013,0.210,-2.590,-2.940
11225889,-1.006,0.108,-0.005,0.210,-3.430,-3.430
11225911,-0.997,0.110,0.001,0.350,-3.150,-4.270
11225931,-1.001,0.105,-0.005,1.120,-3.640,-4.550
11225950,-1.007,0.121,-0.007,0.770,-3.500,-6.090
11225971,-1.005,0.090,-0.002,2.240,-4.060,-6.160
11225990,-1.012,0.089,0.006,3.080,-3.850,-5.390
11226010,-1.003,0.082,0.004,2.450,-3.710,-4.620
11226030,-0.997,0.128,0.008,0.490,-3.430,-6.230
11226054,-1.003,0.093,-0.001,1.470,-3.290,-7.210
11226074,-1.008,0.098,-0.004,1.680,-3.500,-6.930
11226092,-1.006,0.095,-0.003,0.490,-4.200,-6.860
11226115,-1.004,0.084,0.001,-0.070,-5.040,-6.440
11226136,-0.998,0.082,0.008,-0.350,-4.970,-6.300
11226153,-1.002,0.082,0.007,0.420,-4.760,-6.300
