Millis,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
159734872,-0.989,0.017,0.219,10.220,-3.710,14.420
159734891,-0.993,0.020,0.224,12.390,-4.270,14.560
159734910,-0.982,0.024,0.219,15.050,-3.710,13.860
159734935,-0.961,0.013,0.209,17.430,-2.100,13.090
159734955,-0.963,0.022,0.215,22.680,-0.630,10.990
159734972,-0.977,0.054,0.214,19.880,-0.280,8.470
159734995,-0.978,0.038,0.207,16.310,-0.140,6.510
159735016,-0.972,0.029,0.194,16.520,0.350,3.990
159735040,-0.980,0.031,0.199,19.530,0.070,0.560
159735057,-0.971,0.071,0.209,16.450,-0.490,-1.400
159735076,-0.983,0.095,0.208,9.730,-2.800,-4.690
159735101,-0.977,0.129,0.211,-12.040,-6.230,-8.190
159735117,-1.006,0.163,0.212,-29.610,-13.020,-10.990
159735141,-0.978,0.180,0.218,-69.370,-15.260,-14.210
159735161,-0.972,0.054,0.231,-73.220,-13.860,-14.070
159735180,-0.976,0.045,0.280,-62.230,-13.650,-14.070
159735205,-0.961,0.068,0.313,-55.650,-11.900,-10.710
159735223,-0.992,0.119,0.305,-52.010,-14.350,-7.210
159735240,-1.001,0.181,0.308,-57.890,-16.310,-4.410
159735265,-1.005,0.180,0.358,-75.460,-23.730,-1.050
159735284,-0.995,0.204,0.382,-85.050,-28.490,1.750
159735305,-1.025,0.199,0.355,-99.470,-35.490,6.580
159735324,-1.008,0.115,0.351,-93.450,-37.660,12.390
159735344,-1.043,0.192,0.331,-92.470,-47.040,16.590
159735367,-1.010,0.105,0.329,-113.540,-53.410,17.920
159735387,-0.984,-0.042,0.318,-106.750,-54.530,18.270
159735411,-0.979,-0.017,0.372,-89.670,-58.310,20.300
159735431,-0.927,-0.023,0.345,-78.400,-55.160,23.310
159735450,-0.949,-0.016,0.294,-75.250,-54.250,21.280
159735474,-0.980,-0.035,0.322,-91.630,-56.840,18.410
159735496,-0.939,-0.208,0.331,-90.720,-55.300,12.040
159735516,-0.854,-0.273,0.242,-33.740,-48.090,5.110
159735537,-0.831,-0.026,0.266,-13.160,-42.840,3.850
159735558,-0.862,-0.003,0.433,-63.630,-37.940,2.660
159735577,-0.870,-0.207,0.430,-65.870,-28.350,6.230
159735598,-0.890,-0.131,0.423,-40.740,-23.730,5.600
159735621,-0.899,-0.070,0.436,-36.960,-24.220,2.450
159735641,-0.858,-0.111,0.487,-44.870,-21.490,1.400
159735662,-0.866,-0.141,0.480,-41.160,-18.480,5.460
159735685,-0.860,-0.078,0.480,-38.360,-16.800,6.650
159735703,-0.867,-0.092,0.457,-38.080,-20.020,4.200
159735723,-0.845,-0.145,0.513,-38.990,-16.730,0.560
159735747,-0.858,-0.149,0.561,-29.190,-7.210,-0.280
159735766,-0.755,-0.099,0.540,-26.600,-10.570,3.080
159735786,-0.832,-0.083,0.526,-23.590,-2.870,3.010
159735806,-0.849,-0.091,0.530,-24.080,-0.560,3.290
159735828,-0.852,-0.126,0.521,-18.900,1.610,4.480
159735848,-0.844,-0.133,0.504,-12.390,2.380,5.390
159735872,-0.838,-0.128,0.488,-1.050,6.580,6.370
