Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1743420266.9678059,-0.177,0.979,-0.137,0.980,-3.990,-0.140
1743420267.028089,-0.175,0.984,-0.132,0.000,-2.940,-1.120
1743420267.0290382,-0.170,0.976,-0.133,-0.280,-2.100,-2.940
1743420267.043707,-0.183,0.998,-0.139,2.100,-2.240,-0.980
1743420267.087905,-0.174,0.979,-0.129,1.890,-1.750,2.310
1743420267.10262,-0.165,0.972,-0.129,0.910,-1.610,-2.800
1743420267.147999,-0.176,0.994,-0.130,0.630,-1.680,-2.240
1743420267.148465,-0.180,0.991,-0.133,1.680,-3.150,1.750
1743420267.177988,-0.174,0.976,-0.128,0.840,-4.410,2.030
1743420267.208452,-0.176,0.973,-0.135,-0.560,-5.180,-1.960
1743420267.239088,-0.186,0.989,-0.140,0.280,-2.310,-1.960
1743420267.268409,-0.172,0.977,-0.131,0.700,0.350,-2.590
1743420267.333756,-0.163,0.984,-0.129,0.420,-0.840,-4.340
1743420267.34381,-0.176,1.003,-0.129,1.120,-2.520,0.000
1743420267.3789241,-0.178,0.989,-0.131,2.100,-3.920,4.410
1743420267.38015,-0.172,0.966,-0.132,1.120,-4.550,1.400
1743420267.4023948,-0.183,0.975,-0.136,0.420,-3.010,-2.730
1743420267.431701,-0.184,0.986,-0.134,1.050,-0.210,-2.380
1743420267.462728,-0.168,0.980,-0.128,0.770,-0.070,-2.870
1743420267.493462,-0.169,0.991,-0.127,0.210,-2.870,-2.520
1743420267.5228841,-0.179,0.995,-0.133,1.470,-4.060,2.240
1743420267.537555,-0.171,0.973,-0.133,1.190,-3.570,2.030
1743420267.568534,-0.174,0.972,-0.134,0.350,-3.080,-1.820
1743420267.628148,-0.184,0.988,-0.135,0.420,-2.170,-2.100
1743420267.628576,-0.178,0.984,-0.133,0.840,-1.820,-0.350
1743420267.659132,-0.168,0.976,-0.129,0.420,-2.870,-1.400
1743420267.688241,-0.176,0.988,-0.133,0.350,-3.080,-1.750
1743420267.718252,-0.176,0.984,-0.135,1.610,-1.190,0.210
1743420267.748957,-0.166,0.976,-0.125,1.400,-1.190,-1.260
1743420267.7779882,-0.175,0.989,-0.132,0.980,-2.800,-1.190
1743420267.8085551,-0.183,0.987,-0.132,1.330,-3.570,1.960
1743420267.8382258,-0.175,0.973,-0.129,0.770,-3.850,0.560
1743420267.927402,-0.179,0.977,-0.133,0.070,-2.590,-3.150
1743420267.929968,-0.179,0.988,-0.131,0.700,-0.490,-2.800
1743420267.93072,-0.166,0.985,-0.125,1.050,-0.420,-1.820
1743420267.9430668,-0.165,0.986,-0.123,0.770,-3.010,-0.910
1743420267.972702,-0.179,0.992,-0.132,1.050,-4.830,1.750
1743420268.0025501,-0.181,0.976,-0.135,1.330,-4.200,2.590
1743420268.032325,-0.176,0.969,-0.132,0.350,-2.450,-2.170
1743420268.062382,-0.180,0.986,-0.135,0.490,-0.630,-4.060
1743420268.092454,-0.173,0.990,-0.126,1.260,-0.490,-1.680
1743420268.122707,-0.165,0.983,-0.124,0.910,-2.310,-0.700
1743420268.137791,-0.176,0.987,-0.127,1.050,-4.270,0.630
1743420268.167885,-0.181,0.982,-0.132,1.400,-3.500,1.890
1743420268.2273889,-0.174,0.971,-0.131,0.910,-2.380,-0.420
1743420268.227933,-0.174,0.978,-0.131,0.280,-2.100,-3.080
1743420268.258967,-0.181,0.989,-0.132,0.560,-2.170,-1.400
1743420268.28839,-0.175,0.982,-0.128,0.910,-2.590,-0.280
1743420268.318631,-0.170,0.979,-0.128,0.560,-3.220,-1.470
1743420268.332843,-0.175,0.987,-0.130,1.050,-2.310,-0.910
1743420268.377918,-0.177,0.982,-0.132,1.260,-1.680,-0.140
1743420268.392868,-0.172,0.978,-0.127,0.910,-2.450,-0.770
1743420268.42349,-0.177,0.984,-0.129,0.700,-3.570,-0.630
1743420268.438082,-0.182,0.983,-0.131,0.980,-3.500,0.630
1743420268.467834,-0.175,0.974,-0.133,0.910,-2.520,-0.420
1743420268.528836,-0.173,0.977,-0.130,0.630,-1.330,-3.220
1743420268.5294452,-0.174,0.990,-0.128,0.980,-0.840,-2.380
1743420268.55934,-0.170,0.987,-0.125,1.260,-2.030,0.140
1743420268.5878,-0.171,0.981,-0.127,0.910,-4.060,0.630
1743420268.617643,-0.180,0.983,-0.132,0.770,-4.480,0.980
1743420268.648109,-0.179,0.976,-0.134,0.910,-2.730,-0.490
1743420268.676945,-0.172,0.974,-0.130,0.350,-1.190,-3.500
1743420268.708436,-0.174,0.991,-0.129,0.630,-1.050,-3.080
1743420268.723762,-0.173,0.990,-0.127,1.190,-1.960,-0.280
1743420268.752863,-0.172,0.984,-0.127,1.120,-3.360,1.050
1743420268.8286998,-0.176,0.981,-0.129,0.910,-4.130,0.560
1743420268.829365,-0.181,0.981,-0.132,0.980,-3.080,-0.070
1743420268.82974,-0.177,0.977,-0.131,0.910,-1.680,-1.190
1743420268.858907,-0.174,0.979,-0.128,0.490,-1.540,-2.590
1743420268.916085,-0.176,0.989,-0.130,0.700,-2.310,-1.680
1743420268.917585,-0.177,0.986,-0.128,1.050,-2.660,0.280
1743420268.948687,-0.175,0.979,-0.128,0.910,-2.940,-0.210
1743420268.977843,-0.175,0.983,-0.132,0.840,-2.520,-1.190
1743420269.0071511,-0.176,0.984,-0.130,1.050,-1.960,-0.560
1743420269.039103,-0.175,0.980,-0.129,0.770,-2.660,-0.490
1743420269.0528011,-0.175,0.982,-0.130,0.560,-3.360,-0.910
1743420269.082143,-0.177,0.983,-0.132,0.700,-3.010,-0.490
1743420269.114698,-0.176,0.980,-0.132,0.980,-1.960,-0.980
1743420269.143094,-0.172,0.980,-0.128,0.770,-1.330,-2.450
1743420269.218462,-0.172,0.989,-0.128,0.980,-1.960,-1.260
1743420269.219446,-0.174,0.986,-0.127,1.260,-3.010,0.700
1743420269.22083,-0.173,0.979,-0.129,0.910,-3.990,0.700
1743420269.2628548,-0.177,0.978,-0.135,0.630,-3.500,-0.560
