Millis,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
16679087,-0.974,-0.158,0.247,-4.340,-0.910,-11.060
16679110,-0.981,-0.165,0.253,-3.780,-1.680,-10.990
16679131,-0.983,-0.164,0.262,-3.990,-3.570,-10.780
16679151,-0.978,-0.163,0.256,-4.690,-5.670,-10.640
16679166,-0.971,-0.177,0.250,-4.480,-6.370,-10.500
16679187,-0.971,-0.185,0.244,-4.130,-5.250,-9.870
16679211,-0.980,-0.188,0.253,-4.760,-4.340,-9.100
16679230,-0.976,-0.185,0.244,-6.090,-5.390,-8.680
16679252,-0.971,-0.195,0.248,-4.620,-4.970,-8.120
16679276,-0.973,-0.204,0.240,-3.290,-3.920,-7.070
16679296,-0.970,-0.203,0.250,-3.500,-3.430,-6.440
16679311,-0.973,-0.206,0.257,-4.130,-3.780,-5.740
16679336,-0.970,-0.204,0.259,-5.040,-5.810,-5.390
16679359,-0.965,-0.192,0.254,-4.970,-6.510,-4.970
16679381,-0.959,-0.189,0.248,-3.920,-5.460,-3.780
16679400,-0.957,-0.195,0.248,-3.920,-4.760,-3.360
16679419,-0.967,-0.205,0.254,-3.850,-4.900,-2.450
16679443,-0.972,-0.212,0.258,-3.990,-6.510,-1.680
16679463,-0.976,-0.220,0.261,-3.920,-6.650,-1.330
16679483,-0.977,-0.224,0.258,-3.640,-6.300,-0.840
16679501,-0.968,-0.227,0.264,-2.940,-5.810,-0.490
16679524,-0.955,-0.225,0.275,-2.240,-5.810,0.000
16679540,-0.955,-0.218,0.278,-1.260,-5.810,0.000
16679559,-0.957,-0.220,0.274,-0.140,-6.300,0.420
16679584,-0.959,-0.223,0.266,0.840,-6.930,1.190
16679605,-0.959,-0.212,0.258,1.400,-5.950,1.820
16679621,-0.957,-0.209,0.255,1.190,-4.760,2.030
16679645,-0.956,-0.211,0.255,0.700,-2.450,2.660
16679665,-0.952,-0.209,0.242,-0.140,-2.660,2.870
16679684,-0.955,-0.203,0.248,-0.980,-0.490,2.940
16679707,-0.955,-0.203,0.252,-0.490,1.330,2.800
16679726,-0.956,-0.206,0.255,-0.070,1.680,3.080
16679746,-0.959,-0.203,0.247,-1.680,1.540,3.290
