time,right ankle,left ankle,right knee,left knee,right hip,left hip,right shoulder,left shoulder,right elbow,left elbow,right foot,left foot,right shank,left shank,right thigh,left thigh,pelvis,trunk,shoulders,head,right arm,left arm,right forearm,left forearm
0.0,-56.2077327212337,-83.50991465883338,-0.3404545710679189,1.5784858976661822,1.6553975783256663,3.4677705179526885,8.391642154932,7.057809444334032,-3.609232982142055,-12.212896868764357,-54.68361254117771,-82.09236200788449,-88.47587981994393,-88.58244734905102,-88.81633439101184,-87.00396145138481,0.8970864507321847,87.38622749551988,-2.444804898885157,87.15410134116652,-82.08008981440551,-83.41392252500349,-85.68932279654757,-95.62681939376782
0.02,-58.33710662620263,-78.15697102897555,-0.2531801969325408,1.8495406549925162,2.2091273420772324,3.6753547538200046,8.851377508700434,7.2701367300303605,-4.141911056983258,-11.955566521158953,-56.57749732609541,-77.03385516905058,-88.24039069989267,-88.87688414007496,-88.49357089682519,-87.02734348508243,0.37374686405473234,87.61719376510894,-2.4386047185312165,87.11816343552802,-81.85132073020202,-83.4325615088721,-85.99323178718528,-95.38812803003104
0.04,-60.13560848092577,-74.87378114673056,-0.1436227429483191,2.0150536600426148,2.598811272572745,3.7804207946974264,9.250302026935122,7.362261750330638,-4.6641575622434726,-11.71778454690715,-58.2422023357016,-73.95744188237259,-88.10659385477571,-89.08366073564196,-88.250216597724,-87.06860707559935,-0.16407725800511064,87.7635233965837,-2.433869598796992,87.02877156839575,-81.59872584336165,-83.48676611996615,-86.26288340560515,-95.2045506668733
0.06,-61.29813804688824,-73.90219688854187,-0.014216094531172754,2.018533110304941,2.7744420066990476,3.751185338096171,9.562190325559692,7.336702376077853,-5.158079020726393,-11.58556612311463,-59.39893426067772,-73.05899897577031,-88.10079621378937,-89.15680208722834,-88.11501230832052,-87.13826897692341,-0.7206159273623438,87.8039498414644,-2.4315225972788332,86.88512553027138,-81.32726398945988,-83.55275193894175,-86.48534301018631,-95.13831806205637
0.08,-61.83908010396196,-73.8627866921147,0.08766595985280616,1.8827750684271272,2.7971664523192916,3.644438414575201,9.77401045258107,7.296691250470658,-5.557514313856727,-11.629136139087635,-59.99847845773943,-72.97002219221056,-88.15939835377735,-89.10723550009574,-88.07173239392452,-87.22446043166865,-1.27600827914707,87.78339437290354,-2.43127338758434,86.75500374956343,-81.09488839366276,-83.5722075957732,-86.65240270751953,-95.20134373486083
0.1,-62.069443058966286,-73.62908316858832,0.10417752175477703,1.6894295338122363,2.762442581133699,3.550029977421592,9.861947670011896,7.331591710359352,-5.770748546339909,-11.807335557198275,-60.25804889676266,-72.61535362215427,-88.18860583779626,-88.98627045356581,-88.08442831604147,-87.2968409197536,-1.769903073872984,87.76136642398788,-2.4315838541361052,86.7137488811665,-80.98492322716329,-83.51527918681583,-86.75567177350322,-95.32261474401413
0.12,-62.06408683112095,-73.33538269678641,0.03876405173054166,1.539794917151926,2.74145750267787,3.5302858004213036,9.825878100297329,7.444288531114161,-5.77131966171525,-12.002794571618463,-60.21570729370769,-72.19920572705112,-88.15162046258666,-88.8638230302646,-88.1128564108561,-87.32402811311269,-2.093268065400859,87.7688094401609,-2.4308844788523363,86.77773566146298,-81.02843581323665,-83.4100253824198,-86.79975547495191,-95.4128199540383
0.14,-61.661250009699906,-73.32292226766232,-0.05508624146547274,1.514393916903658,2.755611262254379,3.5974442641457154,9.71120193469002,7.559537671388868,-5.637027094540648,-12.093844077003654,-59.737776902916636,-72.12709631735686,-88.07652689321668,-88.80417404969445,-88.13161313468211,-87.2897801327908,-2.113139226183457,87.8017199225984,-2.4289122335604043,86.89999835229023,-81.1760224622465,-83.32768672554762,-86.81304955678713,-95.4215308025513
0.16,-61.0591297940949,-73.16265609532861,-0.1536791629569096,1.6363114978352917,2.7814688015798548,3.7182704044496053,9.566396679362544,7.592594435164563,-5.490455296039794,-12.003956674805828,-59.044859236254645,-72.00157459541082,-87.9857294421597,-88.83891850008214,-88.13940860511657,-87.20260700224684,-1.7674016354420827,87.83537293016579,-2.426534049500602,87.00106296081998,-81.35448072733391,-83.32828297153186,-86.84493602337368,-95.3322396463377
0.18,-60.82948876901745,-72.51429360350386,-0.2580932434066925,1.8555360239526537,2.7964848213561995,3.847169736318872,9.42816311271414,7.525497379135114,-5.419269843388995,-11.752225615525925,-58.71243270890187,-71.46018189578496,-87.88294393988437,-88.94588829228104,-88.14103718329105,-87.09035226832837,-1.1769658444449793,87.85201752469678,-2.4245209237091356,87.02149305646718,-81.50935889193312,-83.41202462551213,-86.9286287353221,-95.16425024103803
