Millis	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ
0	-0.957	0.367	-0.022	7.77	-16.31	13.02
21	-0.965	0.383	-0.023	1.61	-18.13	14.14
39	-0.971	0.38	-0.03	-3.43	-18.48	14.98
63	-1.0	0.364	-0.052	-8.05	-20.09	16.73
83	-1.012	0.343	-0.073	-8.12	-21.98	18.69
100	-1.011	0.331	-0.085	-6.65	-22.82	20.37
121	-1.001	0.324	-0.094	-3.71	-24.22	22.47
145	-0.985	0.326	-0.09	-1.89	-24.15	23.8
165	-0.958	0.328	-0.089	-1.96	-23.45	23.31
185	-0.94	0.337	-0.083	-4.06	-21.07	21.28
205	-0.915	0.349	-0.061	-8.68	-18.69	18.69
229	-0.905	0.353	-0.045	-14.21	-13.65	13.72
247	-0.914	0.352	-0.031	-21.42	-11.41	9.66
266	-0.917	0.339	-0.031	-26.11	-10.36	6.16
290	-0.942	0.32	-0.049	-26.25	-11.55	3.5
310	-0.954	0.305	-0.058	-23.17	-14.91	3.29
334	-0.955	0.285	-0.075	-15.26	-19.39	5.81
353	-0.941	0.27	-0.085	-4.83	-23.24	10.01
374	-0.94	0.274	-0.094	8.26	-24.57	14.14
394	-0.932	0.312	-0.094	16.66	-23.94	15.89
414	-0.925	0.337	-0.098	17.57	-21.91	15.61
437	-0.917	0.361	-0.086	12.32	-16.73	13.02
458	-0.904	0.371	-0.08	5.53	-12.95	9.03
476	-0.892	0.365	-0.075	-2.66	-7.14	5.46
498	-0.885	0.346	-0.066	-9.17	-1.54	1.82
518	-0.906	0.32	-0.065	-10.99	1.89	-1.33
538	-0.903	0.309	-0.064	-9.73	3.64	-4.41
555	-0.904	0.306	-0.057	-7.14	5.11	-6.65
575	-0.92	0.315	-0.051	-4.27	6.02	-9.1
599	-0.923	0.321	-0.038	-2.59	6.23	-12.18
614	-0.915	0.322	-0.034	-0.56	6.16	-13.23
634	-0.914	0.325	-0.037	1.89	6.3	-14.14
658	-0.918	0.326	-0.04	6.09	6.16	-14.7
679	-0.928	0.335	-0.032	9.03	5.95	-15.4
697	-0.942	0.346	-0.033	10.71	6.16	-16.17
716	-0.945	0.361	-0.022	10.85	6.37	-17.36
737	-0.948	0.369	-0.022	9.73	5.88	-18.27
756	-0.946	0.374	-0.021	8.68	5.74	-18.34
779	-0.947	0.374	-0.018	7.63	5.11	-17.43
799	-0.953	0.371	-0.02	7.56	4.55	-15.89
818	-0.953	0.371	-0.018	7.91	3.5	-14.07
842	-0.952	0.374	-0.015	8.12	2.1	-11.83
863	-0.952	0.382	-0.01	7.84	1.26	-9.52
883	-0.962	0.381	-0.02	7.56	-0.35	-7.21
903	-0.969	0.377	-0.023	8.05	-2.24	-5.32
923	-0.966	0.38	-0.024	8.4	-3.43	-3.5
938	-0.971	0.38	-0.024	8.68	-4.13	-2.31
962	-0.968	0.388	-0.019	7.91	-4.97	-0.42
983	-0.967	0.394	-0.019	6.37	-5.39	1.05
1002	-0.959	0.392	-0.019	3.01	-6.23	2.45
1023	-0.958	0.38	-0.019	1.12	-6.93	4.13
1041	-0.957	0.378	-0.023	0.14	-7.63	5.53
1061	-0.951	0.368	-0.022	-0.56	-8.05	6.79
1081	-0.949	0.364	-0.026	-0.91	-8.4	7.98
1104	-0.941	0.359	-0.03	-1.82	-8.61	9.03
1124	-0.935	0.351	-0.036	-2.38	-8.75	9.38
1148	-0.935	0.347	-0.041	-2.52	-8.4	9.94
1168	-0.93	0.345	-0.043	-2.8	-7.91	10.01
1188	-0.924	0.344	-0.046	-3.36	-7.0	10.01
1206	-0.919	0.342	-0.051	-3.57	-6.51	9.8
1225	-0.917	0.338	-0.054	-3.85	-5.53	9.38
1250	-0.929	0.335	-0.061	-3.64	-4.69	8.61
1269	-0.932	0.328	-0.065	-3.08	-3.64	7.84
1289	-0.937	0.326	-0.065	-1.82	-3.08	6.65
1309	-0.933	0.329	-0.062	-1.33	-1.89	5.04
1329	-0.933	0.333	-0.061	-1.12	-0.77	3.43
1352	-0.93	0.331	-0.056	-1.05	1.4	1.82
1372	-0.934	0.336	-0.055	-1.26	1.75	0.77
1395	-0.935	0.332	-0.057	-0.91	2.66	0.07
1419	-0.936	0.333	-0.054	0.14	2.8	-0.35
1437	-0.933	0.333	-0.049	1.19	3.22	-0.63
1456	-0.945	0.34	-0.05	1.54	3.22	-1.19
1480	-0.938	0.352	-0.037	1.47	3.85	-2.1
1498	-0.938	0.366	-0.032	0.56	4.06	-2.94
1522	-0.954	0.405	-0.034	-3.64	3.92	-4.76
1542	-0.947	0.4	-0.028	-10.71	3.78	-5.53
1562	-0.955	0.414	-0.02	-12.46	3.5	-5.11
1585	-0.941	0.443	-0.02	-17.57	2.31	-3.15
1601	-0.941	0.415	-0.041	-17.5	2.38	0.91
1625	-0.913	0.413	-0.023	-13.23	1.47	6.72
1645	-0.928	0.468	0.011	-12.67	1.75	10.36
1664	-0.94	0.422	0.06	-14.63	0.7	16.94
1686	-1.001	0.427	0.141	-12.46	-2.1	26.11
1706	-1.091	0.476	0.294	-19.95	-15.33	33.32
1730	-1.16	0.522	0.454	-32.2	-37.17	31.5
1750	-1.237	0.556	0.621	-38.01	-54.67	32.48
1769	-1.335	0.639	0.743	-58.59	-78.96	28.42
1789	-1.49	0.544	0.878	-68.25	-104.3	31.43
1808	-1.636	0.427	1.028	-59.92	-136.29	45.57
1833	-1.7	0.644	1.153	-31.99	-149.31	70.14
1849	-1.934	0.63	0.985	-63.77	-193.76	61.18
1868	-1.907	0.836	1.076	-74.13	-239.19	69.23
1893	-2.074	0.792	1.089	-100.73	-284.2	64.68
1913	-2.065	0.754	1.039	-116.34	-313.18	69.44
1932	-2.068	0.827	0.988	-132.44	-342.58	69.3
1951	-1.986	0.767	0.843	-121.45	-367.29	72.87
1975	-1.758	0.861	0.763	-102.55	-406.07	92.96
1995	-1.472	0.995	0.901	-67.76	-407.33	117.11
2015	-1.155	1.152	0.87	-71.54	-386.26	128.24
2035	-1.08	1.419	0.631	-133.07	-401.1	125.02
2055	-0.885	1.177	0.575	-206.78	-392.56	99.26
2077	-0.696	1.015	0.591	-224.07	-370.58	82.25
2098	-1.018	1.217	0.391	-264.32	-408.87	69.02
2121	-0.865	1.018	0.171	-266.91	-398.09	54.74
2142	-0.61	0.761	0.106	-189.91	-393.54	61.46
2162	-0.453	0.549	0.14	-111.65	-362.6	71.47
2180	-0.581	0.946	-0.079	-97.02	-344.75	67.69
2202	-0.49	0.781	-0.287	-138.32	-330.26	70.42
2223	-0.066	-0.062	-0.6	-129.22	-297.36	77.77
2246	0.118	-0.43	-0.686	-75.88	-257.6	85.89
2265	0.221	-0.428	-0.807	-37.24	-180.67	87.15
2285	0.351	-0.417	-0.892	-52.99	-131.6	80.5
2305	0.498	-0.433	-0.936	-82.18	-88.62	69.16
2325	0.63	-0.534	-0.87	-100.38	-40.11	54.11
2349	0.635	-0.578	-0.677	-88.27	1.47	42.35
2369	0.612	-0.422	-0.491	-68.53	39.9	38.08
2389	0.62	-0.423	-0.33	-51.87	52.71	43.05
2408	0.657	-0.327	-0.203	-46.06	45.85	52.36
2427	0.743	-0.486	-0.113	12.25	37.24	50.4
2446	0.778	-0.501	0.044	18.13	28.63	69.37
2467	0.947	-0.549	0.07	47.25	10.01	40.81
2486	0.937	-0.538	0.069	39.55	7.91	22.12
2511	0.932	-0.521	0.164	32.27	-0.56	1.68
2529	0.987	-0.56	0.125	24.01	-7.28	-4.62
2551	1.057	-0.581	0.153	36.26	-17.5	-10.57
2575	0.97	-0.382	0.233	31.15	-19.32	-11.62
2593	1.041	-0.402	0.248	13.02	-14.42	-9.24
2617	0.977	-0.488	0.146	5.25	-6.93	-5.39
2637	0.924	-0.558	0.04	4.9	-7.84	-3.43
2661	0.954	-0.595	0.076	10.43	-1.33	-4.69
2680	0.892	-0.457	0.142	25.41	8.89	-8.54
2699	0.848	-0.336	0.247	22.19	9.94	-6.44
2717	0.846	-0.364	0.253	21.84	7.91	-0.07
2741	0.846	-0.392	0.222	23.24	2.94	10.15
2761	0.838	-0.409	0.182	21.84	-3.5	12.04
2779	0.869	-0.441	0.151	22.61	-4.83	10.15
2796	0.922	-0.501	0.123	23.45	-3.71	7.0
2821	0.946	-0.518	0.094	28.49	1.68	4.48
2837	0.966	-0.486	0.041	25.69	5.74	1.96
2856	0.978	-0.481	-0.061	29.19	11.9	-0.91
2876	0.995	-0.468	-0.192	42.98	19.53	-1.12
2901	0.999	-0.391	-0.377	60.9	35.42	-0.49
2920	0.988	-0.336	-0.372	77.7	65.17	2.66
2941	0.918	-0.205	-0.402	77.63	97.65	5.18
2957	0.824	-0.166	-0.39	73.08	139.58	8.61
2980	0.638	-0.158	-0.436	75.04	169.82	12.88
2999	0.447	-0.18	-0.478	85.05	199.08	20.16
3024	0.264	-0.143	-0.407	110.04	229.74	20.79
