Millis	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ
0	-0.978	0.001	0.294	0.07	-0.42	-0.42
24	-0.984	-0.002	0.302	0.56	-0.7	-0.28
47	-0.981	-0.002	0.297	0.7	-0.98	-0.42
68	-0.986	0.001	0.3	0.21	-1.47	-0.7
88	-0.99	0.003	0.292	0.56	-2.24	-0.91
107	-0.981	-0.004	0.296	0.91	-2.17	-0.84
127	-0.98	-0.008	0.299	0.91	-1.96	-0.7
151	-0.978	-0.007	0.292	0.49	-1.19	-0.56
170	-0.984	-0.006	0.29	0.77	-0.7	-0.7
188	-0.981	-0.005	0.294	1.05	-0.35	-0.56
207	-0.977	-0.002	0.296	0.84	0.07	-0.49
231	-0.98	0.0	0.299	0.49	0.21	-0.42
248	-0.977	0.0	0.302	0.63	0.42	-0.63
272	-0.985	-0.002	0.298	0.98	0.7	-0.77
291	-0.986	-0.001	0.303	0.98	0.35	-0.84
310	-0.98	0.007	0.303	0.77	-0.91	-0.98
330	-0.966	0.009	0.297	0.28	-1.61	-1.12
355	-0.975	0.001	0.291	0.28	-0.84	-1.19
375	-0.978	0.0	0.293	0.21	0.14	-1.19
394	-0.98	-0.004	0.297	-0.07	1.19	-1.12
413	-0.977	-0.006	0.303	0.56	1.54	-1.05
432	-0.975	-0.006	0.298	0.84	2.03	-0.84
455	-0.974	-0.003	0.293	0.7	3.15	-0.7
475	-0.976	-0.004	0.297	1.54	4.69	-0.77
499	-0.987	-0.004	0.294	2.03	3.71	-0.42
519	-0.981	-0.008	0.289	0.56	2.52	-0.14
537	-0.977	0.002	0.289	0.49	3.57	-0.21
556	-0.986	0.007	0.309	1.4	3.5	-0.14
581	-0.988	-0.001	0.289	1.12	0.84	0.63
601	-0.976	-0.002	0.269	0.49	1.82	0.42
621	-0.981	0.006	0.281	0.91	3.5	0.21
641	-0.991	0.003	0.288	0.84	2.87	0.21
661	-0.985	0.002	0.294	0.63	2.1	0.07
676	-0.987	0.002	0.288	0.28	1.26	0.14
701	-0.984	0.003	0.279	0.35	0.35	-0.07
721	-0.983	0.005	0.277	0.42	0.21	-0.21
737	-0.984	0.004	0.277	0.35	0.35	-0.35
756	-0.983	0.003	0.274	0.14	0.84	-0.49
779	-0.985	0.007	0.279	-0.07	1.12	-0.56
800	-0.99	0.005	0.287	-0.49	0.35	-0.7
820	-0.979	0.003	0.276	-0.49	-0.56	-0.84
840	-0.981	0.003	0.276	-0.35	-0.7	-0.91
863	-0.987	0.008	0.274	0.28	-0.77	-1.19
882	-0.986	0.004	0.271	0.49	-0.35	-1.26
906	-0.989	0.0	0.275	0.7	-0.21	-0.98
926	-0.991	0.001	0.274	0.35	-0.49	-1.12
944	-0.992	0.009	0.278	0.63	-0.7	-1.19
967	-0.992	0.006	0.276	0.98	-0.42	-0.98
987	-0.983	0.0	0.275	0.42	0.14	-0.7
