Millis	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ
0	-0.997	0.149	-0.118	0.28	-3.36	0.21
19	-0.996	0.146	-0.119	0.42	-3.57	0.14
43	-0.996	0.148	-0.119	0.28	-3.36	0.28
63	-0.995	0.147	-0.119	0.0	-3.36	0.35
82	-0.995	0.146	-0.117	-0.21	-3.01	0.42
107	-0.876	0.141	-0.121	0.21	-3.36	0.77
127	-0.995	0.144	-0.116	-0.07	-3.08	0.77
143	-0.999	0.148	-0.12	0.21	-3.36	0.84
162	-0.996	0.147	-0.118	-0.14	-2.94	0.42
182	-0.996	0.148	-0.116	-0.35	-3.01	0.35
207	-0.993	0.144	-0.117	-0.14	-3.01	0.63
227	-0.998	0.142	-0.116	0.14	-3.01	0.77
251	-0.995	0.147	-0.111	-0.07	-2.94	0.63
271	-0.996	0.145	-0.114	-0.28	-2.73	0.56
291	-0.996	0.141	-0.114	0.07	-2.94	0.84
311	-0.998	0.14	-0.114	0.14	-2.94	1.26
329	-0.996	0.146	-0.114	-0.28	-2.73	1.33
353	-0.997	0.145	-0.117	-0.35	-2.73	1.4
373	-0.995	0.142	-0.114	-0.14	-2.94	1.54
392	-0.998	0.145	-0.112	-0.21	-2.87	1.54
412	-0.996	0.145	-0.114	-0.07	-2.94	1.75
431	-0.996	0.144	-0.113	-0.21	-2.8	1.82
456	-0.997	0.143	-0.114	0.07	-3.01	2.03
476	-0.994	0.145	-0.115	0.14	-2.8	2.1
496	-0.999	0.146	-0.113	-0.14	-2.8	2.31
515	-0.996	0.148	-0.115	-0.21	-2.94	2.38
534	-0.996	0.144	-0.115	-0.14	-2.87	2.45
556	-0.997	0.142	-0.112	-0.14	-2.87	2.45
580	-0.995	0.15	-0.113	-0.49	-2.66	2.52
600	-0.999	0.15	-0.114	-0.42	-3.01	2.38
620	-0.996	0.152	-0.11	-0.14	-3.01	2.52
639	-0.996	0.153	-0.11	-0.49	-2.87	2.38
