Millis	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ
0	-1.002	0.031	-0.058	39.9	-19.53	-2.94
25	-0.992	0.001	-0.034	37.66	-17.99	-3.5
44	-0.99	0.039	-0.006	36.26	-16.24	-1.96
64	-0.988	0.066	-0.027	30.73	-14.98	-2.8
88	-0.998	0.049	-0.039	22.96	-11.76	-3.01
108	-0.998	0.061	-0.032	20.44	-12.74	-2.03
128	-1.021	0.047	-0.044	16.87	-11.76	-1.96
147	-1.017	0.033	-0.022	18.34	-12.11	-1.33
171	-0.985	0.05	-0.033	19.18	-8.75	-0.28
188	-1.007	0.033	-0.045	18.48	-6.09	-1.61
209	-1.015	0.034	-0.0	22.12	-8.19	-2.03
233	-1.018	0.035	-0.0	22.61	-6.23	-0.42
253	-1.027	-0.002	0.024	24.92	-4.41	-1.89
272	-1.016	0.041	0.054	21.35	-6.44	-1.05
293	-1.017	0.038	0.069	14.35	-4.62	-0.98
312	-1.014	0.028	0.066	5.11	-4.34	-3.01
331	-1.031	0.011	0.063	-2.87	-4.9	-5.18
351	-1.008	0.046	0.058	-6.58	-8.82	-4.55
371	-0.976	0.052	0.061	-13.58	-7.84	-2.38
396	-0.975	0.065	0.036	-15.68	-8.89	0.84
414	-1.014	0.061	-0.008	-17.57	-6.86	1.33
433	-1.02	0.094	-0.002	-19.88	-8.4	2.17
453	-0.983	0.076	-0.057	-24.36	-3.01	1.4
473	-1.002	0.019	-0.082	-20.16	2.52	-0.21
498	-1.014	0.014	-0.09	-10.99	9.8	-1.47
518	-1.042	0.027	-0.102	-5.11	14.21	-3.15
538	-1.013	0.018	-0.095	-6.37	20.23	-4.13
558	-1.01	0.014	-0.068	-8.75	18.06	-5.39
582	-0.98	0.009	-0.11	-13.79	25.97	-4.97
600	-1.005	-0.029	-0.082	-17.78	24.57	-4.13
621	-0.979	-0.012	-0.061	-19.32	22.75	-3.22
641	-1.003	-0.064	-0.023	-19.88	19.74	-3.92
662	-1.001	-0.069	0.012	-13.72	9.59	-2.87
686	-0.982	-0.098	0.052	-0.28	3.71	-1.89
705	-0.976	-0.105	0.115	8.4	-3.71	-1.26
726	-0.969	0.019	0.18	14.63	-17.57	1.68
750	-1.026	0.024	0.209	0.49	-27.16	1.61
768	-1.049	0.003	0.22	-4.48	-39.62	3.15
787	-1.065	-0.038	0.216	-15.33	-39.34	4.27
812	-1.02	0.078	0.188	-7.77	-41.16	0.7
832	-0.816	-0.124	-0.042	12.04	-20.3	6.44
851	-1.071	0.178	0.06	14.84	-26.39	5.53
871	-0.982	0.183	-0.075	12.74	-24.99	4.48
892	-0.999	0.096	-0.097	23.1	-20.79	-4.97
911	-0.98	0.183	-0.023	24.01	-19.81	-2.8
930	-0.95	0.34	0.09	8.47	-15.26	3.08
