Millis	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ
0	-0.981	-0.16	-0.091	4.27	-15.05	-6.72
25	-0.972	-0.173	-0.092	-1.47	-11.69	3.92
45	-0.984	-0.145	-0.075	-2.38	-10.08	10.5
64	-0.994	-0.101	-0.033	-14.7	-6.79	16.52
84	-1.021	-0.121	-0.014	-37.45	-7.35	22.68
105	-0.996	-0.183	-0.006	-48.65	-6.58	33.18
124	-0.972	-0.222	-0.02	-49.28	-6.93	42.98
149	-0.946	-0.263	-0.039	-45.36	-5.04	56.77
169	-0.935	-0.266	-0.047	-39.41	-4.34	66.15
189	-0.946	-0.26	-0.039	-38.78	-3.92	70.35
208	-0.966	-0.329	-0.034	-34.86	-3.99	73.78
232	-0.986	-0.354	-0.04	-26.04	-2.24	78.47
376	-0.994	-0.348	-0.06	39.13	-0.49	24.57
395	-0.979	-0.35	-0.073	46.27	0.98	16.24
413	-0.976	-0.336	-0.078	56.77	0.77	8.89
432	-0.963	-0.313	-0.086	66.78	1.75	2.24
457	-0.968	-0.288	-0.091	75.04	2.52	-5.18
477	-0.971	-0.272	-0.107	82.6	3.29	-9.52
617	-1.003	-0.09	-0.227	102.9	11.62	-30.17
641	-1.013	-0.101	-0.18	87.99	8.19	-35.63
660	-0.962	-0.135	-0.203	90.93	15.54	-31.64
684	-0.983	-0.185	-0.257	105.21	20.58	-27.23
703	-0.941	-0.084	-0.163	102.2	27.37	-23.17
724	-1.008	-0.122	-0.178	107.8	24.85	-18.48
747	-0.987	-0.051	-0.146	95.62	28.49	-12.95
771	-0.998	-0.049	-0.152	96.53	26.74	-5.53
791	-1.007	0.026	-0.193	65.52	28.7	-4.76
810	-0.984	-0.043	-0.101	71.96	25.55	7.7
830	-1.041	0.037	-0.122	53.2	23.17	10.85
854	-1.026	0.028	-0.11	27.23	16.66	11.76
997	-1.028	-0.174	-0.152	-55.37	-15.75	8.96
1017	-1.013	-0.202	-0.15	-61.81	-19.74	4.62
1037	-0.966	-0.215	-0.144	-64.33	-16.1	1.47
1055	-1.02	-0.209	-0.18	-51.1	-26.18	-3.22
1079	-0.984	-0.23	-0.15	-70.0	-20.44	-8.89
1096	-0.957	-0.239	-0.134	-64.68	-19.39	-9.03
1118	-0.991	-0.228	-0.125	-56.91	-18.27	-9.73
1139	-1.0	-0.248	-0.111	-56.63	-16.45	-9.66
1162	-0.984	-0.216	-0.099	-55.86	-17.71	-12.25
1183	-0.956	-0.214	-0.099	-54.04	-16.1	-12.81
1203	-0.959	-0.239	-0.104	-48.23	-15.19	-13.02
1227	-0.963	-0.244	-0.104	-41.44	-14.77	-12.18
1244	-0.959	-0.258	-0.127	-31.64	-13.37	-10.64
1268	-0.961	-0.247	-0.149	-20.3	-10.71	-7.07
1287	-0.978	-0.238	-0.172	-10.92	-8.47	-5.53
1307	-0.984	-0.201	-0.165	-8.12	-7.7	-6.86
1326	-0.968	-0.176	-0.159	-10.85	-7.35	-10.71
1345	-0.952	-0.149	-0.154	-20.58	-4.69	-14.84
1370	-0.95	-0.158	-0.157	-34.72	-3.15	-21.21
1388	-0.952	-0.156	-0.146	-41.16	-1.26	-23.73
1407	-0.992	-0.183	-0.127	-47.11	-1.19	-24.78
1427	-1.002	-0.204	-0.095	-50.47	-0.77	-22.19
1452	-1.029	-0.233	-0.082	-49.56	-1.19	-18.2
1472	-1.022	-0.256	-0.065	-51.1	-4.34	-14.98
1492	-1.005	-0.283	-0.08	-41.86	-10.92	-10.29
1515	-0.972	-0.296	-0.072	-28.91	-2.17	-5.39
1534	-0.956	-0.232	-0.045	-42.7	-6.72	-4.97
1554	-0.998	-0.24	-0.041	-46.62	-18.55	-6.44
1578	-0.876	-0.276	-0.067	-45.71	-21.98	-6.65
1598	-1.002	-0.294	-0.079	-42.49	-24.57	-5.81
1618	-0.997	-0.28	-0.069	-42.91	-23.8	-5.74
1637	-1.013	-0.311	-0.074	-38.71	-29.75	-6.3
1658	-1.003	-0.327	-0.057	-40.95	-29.54	-8.19
1678	-0.982	-0.337	-0.08	-41.02	-28.14	-10.29
1698	-0.964	-0.298	-0.065	-41.37	-25.9	-14.77
1719	-0.945	-0.342	-0.085	-39.41	-25.06	-16.73
1742	-0.998	-0.306	-0.124	-35.49	-27.93	-23.03
1761	-0.963	-0.329	-0.117	-33.46	-28.0	-26.25
1783	-0.957	-0.325	-0.134	-24.78	-25.55	-27.72
1807	-0.956	-0.33	-0.142	-18.27	-21.84	-27.3
1827	-0.947	-0.294	-0.142	-13.37	-19.39	-27.65
1847	-0.937	-0.29	-0.147	-11.34	-15.82	-26.6
1864	-0.939	-0.303	-0.148	-8.47	-12.46	-23.94
1887	-0.933	-0.297	-0.142	-5.53	-7.77	-19.04
1907	-0.947	-0.3	-0.142	-0.91	-2.87	-12.95
1925	-0.949	-0.279	-0.139	-0.14	-1.19	-8.75
1945	-0.932	-0.281	-0.139	0.91	2.17	-4.06
1967	-0.933	-0.269	-0.123	-0.49	5.95	1.26
1987	-0.975	-0.251	-0.125	-2.1	7.14	3.92
2009	-0.981	-0.252	-0.109	-7.56	7.42	4.97
2032	-1.036	-0.264	-0.102	-6.86	10.64	7.0
2053	-1.097	-0.209	-0.09	-11.06	7.98	7.7
2072	-1.099	-0.176	-0.09	-18.34	6.93	8.68
2096	-1.122	-0.162	-0.078	-26.67	3.01	11.2
2113	-1.211	-0.132	-0.099	-29.12	1.26	13.3
2137	-1.213	-0.041	-0.141	-46.41	-9.59	11.06
2157	-1.16	-0.088	-0.141	-55.72	-11.06	15.05
2172	-1.188	-0.086	-0.15	-52.71	-12.32	21.98
2195	-1.201	-0.026	-0.165	-56.42	-16.52	28.84
2219	-1.141	-0.072	-0.18	-51.38	-15.68	46.76
2239	-1.18	-0.134	-0.206	-36.4	-23.52	60.41
2258	-1.135	-0.139	-0.209	-15.47	-11.97	83.44
2279	-1.179	-0.101	-0.244	5.74	-10.29	99.68
2297	-1.177	-0.13	-0.222	14.84	-8.12	116.48
2320	-1.163	-0.019	-0.229	30.87	5.18	132.3
2340	-1.167	0.025	-0.227	26.46	12.46	141.89
2358	-1.204	0.006	-0.242	25.97	18.9	149.45
2378	-1.226	0.061	-0.278	27.23	25.27	155.47
2398	-1.217	0.055	-0.275	24.22	30.38	156.94
2422	-1.16	0.075	-0.267	30.94	39.41	161.63
2440	-1.098	0.197	-0.231	22.4	45.71	165.41
2462	-1.142	0.153	-0.192	18.13	52.43	171.85
2486	-1.194	0.143	-0.174	10.57	52.08	177.8
2506	-1.12	0.241	-0.178	-12.74	47.6	177.94
2526	-0.975	0.308	-0.139	-37.38	46.48	175.98
2546	-0.927	0.317	-0.107	-63.7	42.98	175.7
2564	-0.953	0.246	-0.118	-73.5	31.78	175.84
2585	-0.92	0.283	-0.146	-83.93	21.07	172.27
2730	-0.402	0.37	0.092	-89.04	-12.53	143.01
