Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
0.0,-0.978,0.001,0.294,0.07,-0.42,-0.42,-0.996,0.215,-0.003,-0.28,-2.1,0.84,-0.863,-0.03,0.531,2.24,-1.4,-2.59,-0.921,-0.093,0.483,1.54,-2.24,-1.05
20.0,-0.984,-0.002,0.302,0.513,-0.652,-0.284,-0.999,0.219,-0.003,-0.484,-2.056,0.85,-0.856,-0.031,0.536,2.31,-0.997,-2.59,-0.914,-0.09,0.48,0.709,-2.73,-0.82
40.0,-0.982,-0.002,0.298,0.683,-0.881,-0.361,-0.995,0.213,-0.004,-0.35,-2.38,0.98,-0.86,-0.023,0.538,1.269,-0.701,-2.656,-0.916,-0.087,0.475,-1.009,-2.719,0.29
60.0,-0.984,-0.0,0.299,0.369,-1.252,-0.589,-0.998,0.214,-0.002,-0.07,-2.31,0.98,-0.872,-0.009,0.553,-1.26,-0.98,-2.73,-0.918,-0.081,0.482,-1.33,-1.264,2.945
80.0,-0.989,0.003,0.295,0.385,-2.025,-0.859,-0.992,0.216,-0.0,-0.219,-2.24,0.84,-0.869,-0.02,0.552,-2.45,-1.26,-2.31,-0.931,-0.076,0.489,-1.33,-2.208,6.238
100.0,-0.984,-0.001,0.294,0.832,-2.207,-0.875,-0.996,0.217,-0.002,-0.417,-2.241,0.914,-0.866,-0.032,0.56,-1.249,-2.542,-2.038,-0.909,-0.064,0.484,-4.42,-2.59,7.391
120.0,-0.98,-0.007,0.298,0.91,-2.057,-0.751,-0.996,0.212,-0.005,-0.07,-2.31,0.992,-0.86,-0.017,0.562,-2.912,-3.582,-2.093,-0.908,-0.079,0.492,-3.865,-3.425,6.201
140.0,-0.979,-0.008,0.296,0.674,-1.576,-0.604,-0.997,0.216,-0.001,-0.075,-2.329,1.05,-0.857,-0.008,0.563,-6.468,-4.608,-1.642,-0.926,-0.064,0.486,-1.87,-3.161,4.158
160.0,-0.981,-0.007,0.291,0.585,-0.943,-0.624,-0.997,0.217,-0.003,-0.13,-2.59,1.053,-0.851,-0.007,0.562,-9.163,-5.84,-0.583,-0.927,-0.095,0.491,0.497,-3.636,2.172
180.0,-0.983,-0.006,0.292,0.963,-0.503,-0.631,-0.995,0.214,-0.001,-0.001,-2.59,1.117,-0.851,-0.032,0.547,-7.014,-6.283,0.304,-0.927,-0.08,0.486,3.631,-3.154,1.134
200.0,-0.978,-0.003,0.295,0.939,-0.052,-0.512,-0.997,0.216,-0.003,0.0,-2.73,1.19,-0.844,-0.054,0.547,-1.955,-5.837,0.749,-0.922,-0.085,0.471,2.534,-3.636,0.129
220.0,-0.979,-0.001,0.298,0.609,0.148,-0.442,-0.996,0.214,-0.004,0.07,-2.8,1.26,-0.85,-0.041,0.549,1.447,-5.542,0.456,-0.913,-0.09,0.467,3.259,-3.383,0.071
240.0,-0.978,0.0,0.301,0.543,0.313,-0.516,-0.992,0.214,-0.004,0.07,-2.8,1.26,-0.854,-0.019,0.546,0.387,-5.704,0.42,-0.913,-0.094,0.468,3.066,-3.306,0.302
260.0,-0.981,-0.001,0.3,0.836,0.596,-0.711,-0.997,0.214,-0.003,0.321,-3.051,1.197,-0.855,-0.021,0.541,-1.107,-5.937,0.764,-0.912,-0.092,0.47,2.596,-2.525,0.615
280.0,-0.986,-0.002,0.3,0.98,0.622,-0.799,-0.996,0.219,-0.001,0.282,-2.821,1.278,-0.861,-0.032,0.541,-0.95,-5.189,1.015,-0.915,-0.102,0.465,0.676,-1.989,0.699
300.0,-0.984,0.003,0.303,0.917,-0.199,-0.901,-0.996,0.218,0.002,-0.194,-2.778,1.376,-0.858,-0.041,0.539,0.518,-4.775,1.181,-0.911,-0.103,0.467,2.402,-1.768,0.575
320.0,-0.972,0.008,0.301,0.487,-1.375,-1.058,-0.997,0.215,0.002,-0.303,-2.8,1.454,-0.865,-0.027,0.545,1.286,-5.06,0.683,-0.919,-0.072,0.475,1.741,-2.409,-0.234
340.0,-0.969,0.006,0.294,0.28,-1.431,-1.159,-0.995,0.215,-0.0,-0.28,-2.8,1.47,-0.86,-0.026,0.545,0.963,-5.554,0.431,-0.918,-0.084,0.477,-0.657,-2.59,-1.523
360.0,-0.976,0.001,0.291,0.274,-0.628,-1.19,-0.995,0.217,-0.0,-0.312,-2.709,1.379,-0.849,-0.027,0.538,0.678,-5.368,0.827,-0.918,-0.085,0.474,-0.039,-2.272,-2.513
380.0,-0.979,-0.001,0.294,0.147,0.434,-1.182,-0.996,0.219,-0.001,-0.45,-2.66,1.33,-0.839,-0.031,0.538,-0.209,-4.9,1.488,-0.922,-0.074,0.464,0.085,-1.652,-3.154
400.0,-0.979,-0.005,0.299,0.052,1.322,-1.1,-0.996,0.215,-0.0,-0.378,-2.751,1.375,-0.836,-0.031,0.54,-1.098,-4.406,1.863,-0.92,-0.073,0.466,0.202,-1.162,-2.976
420.0,-0.976,-0.006,0.302,0.703,1.696,-0.983,-0.995,0.216,-0.001,-0.173,-2.709,1.4,-0.838,-0.028,0.54,-0.953,-3.66,2.072,-0.917,-0.084,0.473,2.473,-0.202,-2.252
440.0,-0.975,-0.005,0.296,0.801,2.347,-0.774,-0.996,0.217,-0.001,-0.231,-2.932,1.4,-0.845,-0.035,0.537,-0.609,-2.883,2.145,-0.913,-0.065,0.487,3.532,0.718,-1.571
460.0,-0.974,-0.003,0.294,0.805,3.559,-0.711,-0.996,0.216,-0.0,-0.166,-3.08,1.355,-0.851,-0.038,0.534,0.191,-2.535,2.157,-0.917,-0.068,0.48,2.629,0.77,-1.204
480.0,-0.978,-0.004,0.297,1.682,4.62,-0.743,-0.994,0.216,-0.062,0.023,-2.975,1.4,-0.853,-0.031,0.536,1.13,-2.001,2.24,-0.919,-0.07,0.479,0.621,0.445,-0.487
500.0,-0.987,-0.004,0.294,2.02,3.657,-0.405,-0.993,0.215,-0.068,-0.026,-2.902,1.47,-0.852,-0.028,0.542,-0.67,-1.612,2.432,-0.923,-0.077,0.486,0.834,0.08,0.244
520.0,-0.981,-0.008,0.289,0.553,2.529,-0.141,-0.993,0.218,0.003,-0.097,-2.94,1.297,-0.856,-0.032,0.544,-1.247,-1.433,2.887,-0.926,-0.083,0.493,2.095,-0.086,0.35
540.0,-0.978,0.003,0.29,0.551,3.568,-0.208,-0.994,0.217,0.001,-0.238,-2.817,1.281,-0.845,-0.034,0.542,-0.723,-0.93,2.999,-0.924,-0.07,0.491,1.154,-0.343,0.417
560.0,-0.987,0.006,0.308,1.39,3.298,-0.069,-0.994,0.216,0.001,-0.386,-2.697,1.283,-0.84,-0.039,0.537,-0.537,-0.603,2.841,-0.922,-0.076,0.483,0.966,-0.943,0.994
580.0,-0.988,-0.001,0.29,1.137,0.852,0.627,-0.994,0.217,0.003,-0.471,-2.567,1.132,-0.849,-0.035,0.549,-2.139,-0.424,2.178,-0.92,-0.085,0.482,2.014,-1.041,1.139
600.0,-0.976,-0.002,0.269,0.494,1.757,0.431,-0.995,0.218,0.004,-0.54,-2.38,1.05,-0.854,-0.043,0.544,-0.394,-0.554,1.658,-0.921,-0.083,0.486,2.446,-0.943,0.278
620.0,-0.981,0.006,0.281,0.907,3.491,0.211,-0.996,0.217,0.003,-0.458,-2.38,1.05,-0.855,-0.034,0.539,0.878,-0.254,1.54,-0.921,-0.075,0.479,1.724,-1.454,-0.07
640.0,-0.991,0.003,0.288,0.845,2.906,0.21,-0.993,0.216,0.001,-0.399,-2.38,1.086,-0.861,-0.029,0.549,-0.458,-0.087,1.519,-0.915,-0.076,0.475,1.668,-1.68,0.109
660.0,-0.985,0.002,0.294,0.645,2.145,0.071,-0.995,0.216,0.0,-0.304,-2.446,1.173,-0.862,-0.037,0.547,-0.732,-0.45,1.086,-0.914,-0.078,0.479,1.838,-1.68,0.35
680.0,-0.987,0.002,0.286,0.283,1.077,0.13,-0.996,0.219,0.002,-0.289,-2.57,1.14,-0.854,-0.042,0.547,1.451,-0.603,1.057,-0.914,-0.076,0.48,1.441,-1.701,0.258
700.0,-0.984,0.003,0.279,0.347,0.363,-0.062,-0.995,0.218,0.003,-0.442,-2.283,1.176,-0.854,-0.024,0.552,2.09,-0.7,1.593,-0.916,-0.078,0.466,0.884,-1.9,-0.215
720.0,-0.983,0.005,0.277,0.42,0.21,-0.202,-0.996,0.215,0.002,-0.192,-2.228,1.127,-0.859,-0.024,0.548,1.118,-0.746,1.612,-0.919,-0.082,0.462,-0.297,-2.081,-0.775
