Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
0.0,-0.968,0.025,0.356,-2.38,8.33,-1.33,-0.997,0.149,-0.118,0.28,-3.36,0.21,-0.965,0.226,0.213,0.0,-3.64,0.28
20.0,-0.974,0.028,0.358,-0.49,6.65,-1.47,-0.996,0.146,-0.119,0.42,-3.569,0.141,-0.966,0.221,0.207,0.14,-4.18,0.678
40.0,-0.969,0.038,0.353,1.12,4.62,-1.26,-0.996,0.148,-0.119,0.305,-3.369,0.264,-0.966,0.214,0.2,0.996,-3.888,0.7
60.0,-0.971,0.03,0.347,1.023,2.097,-0.937,-0.995,0.147,-0.119,0.041,-3.36,0.34,-0.97,0.221,0.2,1.248,-3.608,0.392
80.0,-0.972,0.027,0.353,0.688,0.187,-0.969,-0.995,0.146,-0.117,-0.206,-3.021,0.409,-0.967,0.221,0.197,0.388,-3.517,0.415
100.0,-0.968,0.032,0.348,0.005,-1.464,-0.921,-0.899,0.142,-0.12,0.13,-3.293,0.711,-0.961,0.219,0.194,0.079,-2.609,0.42
120.0,-0.967,0.032,0.343,0.227,-1.61,-0.91,-0.96,0.143,-0.117,0.009,-3.159,0.77,-0.966,0.217,0.199,0.2,-2.574,0.366
140.0,-0.964,0.037,0.35,1.139,-1.304,-1.01,-0.999,0.148,-0.12,0.184,-3.334,0.834,-0.964,0.218,0.21,0.432,-2.339,0.35
160.0,-0.973,0.031,0.348,1.443,-3.127,-1.274,-0.996,0.147,-0.118,-0.108,-2.953,0.443,-0.963,0.216,0.212,0.525,-2.742,0.225
180.0,-0.97,0.031,0.34,1.441,-3.553,-1.33,-0.996,0.148,-0.116,-0.347,-3.008,0.351,-0.961,0.214,0.211,0.966,-3.08,0.173
200.0,-0.967,0.029,0.343,1.208,-3.52,-1.33,-0.994,0.145,-0.117,-0.219,-3.01,0.545,-0.96,0.212,0.208,0.385,-3.5,0.064
220.0,-0.968,0.029,0.344,1.233,-4.108,-1.435,-0.997,0.142,-0.117,0.078,-3.01,0.744,-0.963,0.214,0.209,-0.07,-3.5,-0.267
240.0,-0.964,0.029,0.344,1.776,-4.48,-1.502,-0.996,0.145,-0.113,0.053,-2.986,0.705,-0.967,0.218,0.212,0.49,-3.14,-0.394
260.0,-0.961,0.03,0.343,1.96,-3.996,-1.512,-0.995,0.146,-0.112,-0.185,-2.838,0.588,-0.97,0.217,0.209,0.817,-3.22,-0.42
280.0,-0.965,0.03,0.343,2.091,-2.876,-1.54,-0.996,0.143,-0.114,-0.144,-2.819,0.642,-0.97,0.218,0.207,1.243,-3.147,-0.42
300.0,-0.969,0.03,0.344,2.324,-2.59,-1.521,-0.997,0.14,-0.114,0.116,-2.94,1.05,-0.969,0.221,0.208,0.622,-2.918,-0.485
320.0,-0.965,0.03,0.344,2.253,-2.509,-1.449,-0.997,0.143,-0.114,-0.058,-2.835,1.302,-0.965,0.22,0.207,-0.544,-2.572,-0.56
340.0,-0.96,0.032,0.345,1.286,-1.616,-1.424,-0.996,0.146,-0.115,-0.328,-2.73,1.36,-0.964,0.217,0.207,-0.841,-2.38,-0.634
360.0,-0.962,0.033,0.343,1.061,-0.856,-1.601,-0.996,0.144,-0.116,-0.291,-2.789,1.452,-0.964,0.214,0.208,-1.199,-2.36,-0.92
380.0,-0.963,0.033,0.345,1.219,-0.602,-1.644,-0.996,0.143,-0.113,-0.162,-2.918,1.54,-0.965,0.213,0.208,-1.526,-2.286,-1.203
400.0,-0.962,0.03,0.344,1.503,-0.518,-1.595,-0.997,0.145,-0.113,-0.161,-2.895,1.603,-0.965,0.216,0.211,-1.442,-2.212,-1.389
420.0,-0.963,0.028,0.346,1.473,-0.15,-1.87,-0.996,0.145,-0.114,-0.124,-2.886,1.782,-0.963,0.218,0.212,-1.451,-2.204,-1.46
440.0,-0.96,0.027,0.342,1.217,0.801,-1.971,-0.996,0.144,-0.113,-0.138,-2.862,1.891,-0.967,0.217,0.209,-1.91,-2.448,-1.313
460.0,-0.968,0.031,0.35,1.492,1.113,-1.972,-0.997,0.143,-0.114,0.091,-2.988,2.046,-0.961,0.216,0.208,-2.039,-2.293,-1.103
