Millis,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
0.0,-0.989,-0.25,0.01,0.0,-2.1,1.54,-0.972,-0.24,-0.044,0.7,-2.59,-0.91,-0.996,0.047,-0.051,-13.58,-6.23,-1.33,-0.797,-0.447,-0.423,-7.35,2.17,-0.14
20.0,-0.984,-0.252,0.011,-0.122,-1.762,1.718,-0.975,-0.239,-0.042,0.701,-2.87,-0.631,-1.009,0.074,-0.042,-12.654,-8.077,0.058,-0.792,-0.451,-0.419,-6.227,2.173,-0.279
40.0,-0.987,-0.245,0.009,-0.19,-1.797,1.88,-0.969,-0.241,-0.045,0.821,-2.87,-0.692,-0.99,0.076,-0.096,-8.432,-8.326,1.572,-0.796,-0.45,-0.426,-4.23,2.706,-0.079
60.0,-0.989,-0.243,0.006,-0.582,-2.345,1.89,-0.981,-0.235,-0.045,1.318,-3.741,-0.828,-0.985,0.119,-0.087,-9.703,-7.385,3.721,-0.807,-0.433,-0.432,-3.994,2.045,-0.338
80.0,-0.988,-0.245,0.005,-0.766,-2.325,2.021,-0.977,-0.233,-0.052,0.69,-3.871,-0.923,-1.002,0.037,-0.047,-10.517,-10.129,3.406,-0.807,-0.419,-0.436,-6.26,0.949,-1.591
100.0,-0.985,-0.25,0.005,-0.114,-2.173,1.894,-0.971,-0.24,-0.036,1.605,-3.958,-0.976,-1.008,0.063,-0.028,-5.138,-14.811,3.78,-0.811,-0.413,-0.448,-9.712,-0.135,-3.34
120.0,-0.989,-0.247,0.004,0.12,-2.42,2.003,-0.969,-0.237,-0.035,1.38,-3.279,-0.913,-0.996,0.135,-0.004,-10.073,-15.254,3.827,-0.813,-0.423,-0.455,-9.376,-0.14,-3.495
140.0,-0.989,-0.24,0.006,-0.061,-2.635,1.845,-0.972,-0.231,-0.038,0.495,-3.15,-1.327,-0.974,0.065,-0.044,-9.771,-11.706,1.246,-0.807,-0.422,-0.459,-7.408,0.82,-2.96
160.0,-0.988,-0.245,0.011,0.162,-2.509,1.701,-0.977,-0.239,-0.04,0.942,-3.461,-0.895,-0.975,0.049,-0.045,-5.598,-6.19,-1.168,-0.812,-0.418,-0.464,-7.908,0.111,-3.579
180.0,-0.99,-0.241,0.011,-0.12,-2.503,1.637,-0.977,-0.235,-0.035,1.241,-3.128,-1.239,-0.975,0.038,-0.046,-2.199,-2.002,-3.832,-0.813,-0.425,-0.472,-5.074,-0.924,-2.656
200.0,-0.988,-0.241,0.01,-0.366,-2.434,1.47,-0.974,-0.232,-0.035,0.848,-2.843,-1.838,-0.974,0.039,-0.052,1.328,-0.958,-8.498,-0.806,-0.418,-0.448,-7.933,-0.536,-3.408
220.0,-0.988,-0.244,0.01,-0.493,-2.159,1.22,-0.974,-0.242,-0.04,0.384,-2.674,-1.842,-0.98,0.063,-0.08,-0.041,-2.496,-14.43,-0.798,-0.42,-0.441,-11.607,-2.036,-2.786
240.0,-0.988,-0.241,0.007,-0.615,-1.99,1.035,-0.972,-0.235,-0.042,0.35,-2.66,-1.751,-0.982,0.073,-0.119,-4.194,-6.93,-16.769,-0.793,-0.424,-0.449,-12.747,-2.194,-2.474
260.0,-0.985,-0.241,0.007,-0.111,-1.71,0.835,-0.977,-0.236,-0.044,0.7,-2.8,-1.82,-0.988,0.091,-0.073,-11.689,-15.943,-16.936,-0.793,-0.43,-0.46,-14.472,-2.678,-3.256
280.0,-0.987,-0.244,0.008,0.127,-1.501,0.648,-0.979,-0.239,-0.044,1.471,-3.329,-1.925,-0.988,0.058,-0.045,-16.959,-21.392,-14.353,-0.798,-0.434,-0.464,-14.054,-2.92,-4.359
300.0,-0.989,-0.241,0.008,-0.28,-1.575,0.431,-0.985,-0.235,-0.046,1.215,-4.137,-2.121,-0.987,0.044,-0.047,-8.075,-19.446,-9.967,-0.807,-0.443,-0.457,-7.972,-0.647,-3.453
320.0,-0.99,-0.244,0.004,-0.55,-1.647,0.37,-0.981,-0.23,-0.049,0.803,-4.586,-2.421,-1.012,0.083,-0.039,-7.048,-19.847,-7.347,-0.807,-0.44,-0.458,-5.176,0.049,-4.03
340.0,-0.99,-0.249,0.003,-0.092,-1.66,0.506,-0.983,-0.234,-0.052,0.801,-5.118,-2.354,-0.988,0.034,-0.033,-9.293,-16.623,-4.832,-0.808,-0.44,-0.466,-5.336,-1.562,-5.433
360.0,-0.991,-0.245,0.005,-0.21,-2.029,0.436,-0.979,-0.238,-0.049,0.951,-5.691,-2.39,-0.977,0.051,-0.019,-8.678,-10.575,-2.801,-0.803,-0.447,-0.46,-1.357,-0.847,-4.722
380.0,-0.991,-0.245,0.009,-0.001,-2.068,0.24,-0.975,-0.245,-0.05,1.658,-6.287,-2.173,-1.0,0.066,-0.053,-0.742,-10.113,-0.766,-0.794,-0.408,-0.458,-2.157,-0.243,-5.459
400.0,-0.987,-0.24,0.014,0.047,-1.75,0.21,-0.979,-0.246,-0.047,3.032,-7.453,-1.762,-0.989,0.068,-0.03,-0.71,-11.602,-1.74,-0.804,-0.398,-0.467,-5.228,-2.586,-5.534
420.0,-0.984,-0.24,0.011,-1.009,-1.639,0.241,-0.988,-0.228,-0.057,1.427,-9.781,-1.403,-0.999,0.091,0.015,-0.949,-13.098,-1.113,-0.802,-0.413,-0.47,-4.445,-4.452,-4.511
440.0,-0.984,-0.252,0.003,-0.87,-1.443,0.384,-0.985,-0.237,-0.054,-0.16,-11.695,-1.173,-0.971,0.068,0.122,-0.56,-9.31,-0.21,-0.781,-0.416,-0.464,0.064,-4.814,-3.259
460.0,-0.99,-0.242,0.0,-1.436,-1.895,0.51,-0.979,-0.239,-0.037,-0.843,-12.249,-0.675,-0.987,0.055,-0.016,-0.98,-8.68,0.56,-0.776,-0.408,-0.464,0.746,-4.13,-1.875
480.0,-0.986,-0.247,0.001,-1.084,-2.286,0.536,-0.965,-0.237,-0.009,-2.674,-12.211,-0.384,-0.971,0.071,-0.016,5.64,-3.727,3.067,-0.794,-0.402,-0.474,1.907,-4.143,0.168
500.0,-0.988,-0.248,0.005,-0.969,-2.659,0.35,-0.961,-0.241,0.002,-3.605,-11.562,-0.146,-1.016,0.142,0.036,-2.506,-6.257,3.547,-0.801,-0.397,-0.474,3.045,-4.921,1.104
520.0,-0.986,-0.248,0.002,-0.442,-2.53,0.35,-0.963,-0.243,0.0,-3.684,-9.784,0.043,-0.98,0.05,0.041,-3.15,-2.52,6.02,-0.803,-0.392,-0.481,1.473,-6.168,0.887
540.0,-0.986,-0.251,0.0,-0.076,-2.648,0.226,-0.958,-0.229,0.011,-4.0,-7.08,-0.756,-1.011,0.053,0.011,-2.115,-2.588,6.267,-0.804,-0.404,-0.477,-0.567,-7.51,0.668
560.0,-0.989,-0.245,0.002,-0.132,-2.725,0.081,-0.963,-0.226,0.013,-1.749,-5.147,-1.64,-0.995,0.075,0.016,0.44,-0.265,6.916,-0.806,-0.407,-0.48,-0.837,-7.838,0.544
580.0,-0.988,-0.244,0.008,0.214,-2.578,0.129,-0.957,-0.231,0.014,-0.374,-2.739,-2.422,-1.0,0.058,-0.012,1.745,0.975,6.444,-0.8,-0.42,-0.475,-0.215,-7.55,-0.706
600.0,-0.985,-0.247,0.006,0.057,-2.387,0.075,-0.962,-0.236,0.011,0.42,-0.838,-3.109,-1.021,0.097,0.006,0.14,-1.4,6.51,-0.795,-0.447,-0.456,0.545,-7.478,-2.099
620.0,-0.986,-0.251,0.008,-0.415,-2.602,0.219,-0.967,-0.241,0.002,1.861,0.727,-3.577,-0.981,0.041,0.048,-5.178,-2.94,6.872,-0.796,-0.439,-0.448,1.948,-6.581,-1.973
640.0,-0.987,-0.25,0.007,-0.138,-2.426,0.328,-0.972,-0.243,-0.0,2.296,1.764,-3.88,-0.968,0.041,0.049,0.078,2.121,8.647,-0.796,-0.436,-0.448,0.28,-6.73,-4.027
660.0,-0.985,-0.252,0.004,-0.079,-2.25,0.406,-0.976,-0.241,-0.018,1.767,2.442,-3.973,-0.975,0.052,0.049,0.906,6.808,8.222,-0.8,-0.444,-0.446,0.425,-6.9,-4.36
680.0,-0.986,-0.255,0.006,-0.256,-2.293,0.42,-0.977,-0.243,-0.025,1.061,2.106,-3.522,-0.985,0.045,0.042,-0.019,11.149,5.799,-0.804,-0.465,-0.445,2.534,-5.743,-3.045
700.0,-0.986,-0.251,0.007,-0.024,-2.266,0.42,-0.978,-0.246,-0.034,1.089,1.286,-3.053,-1.003,0.054,0.0,-0.954,12.27,3.043,-0.802,-0.452,-0.445,6.01,-3.516,-2.592
720.0,-0.986,-0.25,0.006,0.327,-2.24,0.338,-0.978,-0.249,-0.034,0.843,0.513,-2.711,-1.017,0.06,-0.05,0.926,9.055,1.273,-0.795,-0.426,-0.449,6.927,-2.175,-3.076
740.0,-0.987,-0.249,0.008,0.674,-2.24,0.28,-0.983,-0.241,-0.04,0.976,-0.66,-2.47,-1.018,0.072,-0.034,-2.211,0.487,-0.418,-0.795,-0.414,-0.451,5.051,-3.33,-2.609
760.0,-0.987,-0.248,0.01,0.48,-2.2,0.2,-0.981,-0.241,-0.04,-0.064,-1.649,-2.59,-0.998,0.041,-0.003,-2.909,-3.709,0.608,-0.794,-0.407,-0.441,4.283,-5.103,-2.939
780.0,-0.986,-0.251,0.008,0.141,-2.223,0.176,-0.975,-0.241,-0.024,-0.251,-1.834,-2.59,-0.979,0.032,-0.007,9.841,0.77,3.559,-0.804,-0.411,-0.457,4.955,-5.506,-2.85
800.0,-0.986,-0.253,0.006,0.032,-2.274,0.334,-0.971,-0.249,-0.02,-0.342,-1.303,-2.587,-1.005,0.1,-0.015,11.356,3.654,3.686,-0.796,-0.4,-0.447,5.29,-6.063,-2.526
820.0,-0.988,-0.252,0.01,-0.274,-2.17,0.393,-0.976,-0.247,-0.031,0.0,-1.12,-2.38,-0.992,0.08,-0.027,8.97,4.842,3.827,-0.792,-0.395,-0.446,4.135,-7.019,-2.657
840.0,-0.984,-0.248,0.01,-0.841,-2.126,0.372,-0.979,-0.245,-0.034,-0.7,-1.26,-2.17,-0.993,0.086,-0.027,8.89,7.269,4.231,-0.796,-0.4,-0.444,1.936,-7.319,-2.345
860.0,-0.984,-0.25,0.008,-1.05,-1.906,0.41,-0.981,-0.237,-0.037,-0.56,-1.82,-2.17,-0.993,0.109,-0.017,8.084,9.517,5.387,-0.803,-0.411,-0.45,1.948,-7.761,-2.061
880.0,-0.984,-0.253,0.005,-0.978,-1.57,0.36,-0.978,-0.244,-0.035,-1.002,-2.405,-1.96,-0.994,0.11,-0.024,6.141,10.526,5.114,-0.795,-0.419,-0.447,2.35,-7.704,-1.705
900.0,-0.986,-0.256,0.007,-0.475,-1.168,0.54,-0.975,-0.251,-0.033,-1.398,-2.8,-1.957,-1.003,0.106,-0.049,4.531,10.005,4.451,-0.791,-0.421,-0.444,3.34,-7.642,-0.857
920.0,-0.984,-0.259,0.002,-0.862,-1.589,0.718,-0.97,-0.247,-0.025,-1.002,-2.791,-1.54,-1.02,0.11,-0.042,0.688,5.045,2.755,-0.796,-0.42,-0.447,2.924,-6.608,-1.145
940.0,-0.988,-0.252,-0.003,-0.879,-1.81,0.782,-0.969,-0.248,-0.021,-0.373,-2.329,-1.54,-0.992,0.102,-0.04,0.93,3.598,2.227,-0.794,-0.427,-0.441,2.417,-6.852,-1.724
960.0,-0.983,-0.255,-0.003,-0.49,-2.17,0.84,-0.974,-0.251,-0.029,0.256,-2.31,-1.54,-0.993,0.109,-0.042,2.442,3.737,1.865,-0.786,-0.423,-0.436,0.91,-6.93,-2.17
980.0,-0.984,-0.254,0.005,-0.56,-2.38,0.91,-0.968,-0.246,-0.03,0.332,-2.146,-1.19,-1.003,0.135,-0.04,0.821,2.121,0.804,-0.797,-0.445,-0.437,0.98,-7.56,-3.92
1000.0,-0.984,-0.253,0.005,-0.939,-2.48,1.016,-0.974,-0.243,-0.024,-0.485,-1.775,-1.19,-0.988,0.109,-0.037,-3.965,2.213,-1.034,-0.786,-0.447,-0.438,1.549,-6.21,-3.23
1020.0,-0.987,-0.259,0.003,-0.367,-2.544,1.212,-0.967,-0.25,-0.023,0.666,-0.984,-1.329,-0.987,0.102,-0.036,-2.783,4.059,-1.681,-0.783,-0.439,-0.442,1.492,-5.325,-3.741
1040.0,-0.985,-0.26,0.001,0.0,-2.1,1.26,-0.976,-0.241,-0.037,1.05,-1.05,-1.05,-0.997,0.138,-0.046,-5.88,2.63,-4.154,-0.791,-0.447,-0.446,3.11,-3.882,-3.03
1060.0,-0.982,-0.258,0.006,-0.28,-2.03,1.19,-0.983,-0.241,-0.034,-0.35,-1.61,-1.19,-1.004,0.152,-0.087,-22.854,-1.814,-8.619,-0.792,-0.448,-0.441,4.919,-4.454,-2.126
1080.0,-0.98,-0.253,0.007,0.07,-1.82,1.26,-0.979,-0.244,-0.035,-0.196,-1.61,-1.19,-0.997,0.032,-0.095,-25.786,-1.592,-7.986,-0.789,-0.449,-0.445,5.589,-4.388,-1.83
1100.0,-0.989,-0.246,0.004,0.388,-1.549,1.11,-0.981,-0.245,-0.033,0.35,-1.611,-1.051,-0.985,0.058,-0.06,-12.482,-0.107,-6.395,-0.786,-0.453,-0.437,5.534,-4.109,-1.593
1120.0,-0.991,-0.243,0.001,-0.354,-1.998,1.014,-0.974,-0.238,-0.037,0.285,-1.74,-1.246,-1.012,0.054,-0.052,-3.256,2.218,-2.428,-0.781,-0.449,-0.436,5.64,-3.806,-2.189
1140.0,-0.989,-0.257,0.004,-0.036,-2.211,0.917,-0.974,-0.24,-0.037,0.828,-1.562,-1.26,-0.993,0.065,-0.087,-0.318,3.033,0.033,-0.78,-0.454,-0.431,6.803,-3.142,-2.938
1160.0,-0.984,-0.256,0.004,-0.49,-1.96,0.98,-0.972,-0.236,-0.034,1.502,-1.587,-1.307,-1.001,0.097,-0.078,0.455,1.03,0.277,-0.782,-0.457,-0.426,6.666,-2.0,-2.965
1180.0,-0.986,-0.251,0.003,-0.84,-2.17,0.98,-0.975,-0.244,-0.035,1.409,-2.135,-1.724,-0.99,0.039,-0.098,4.015,0.672,1.921,-0.789,-0.459,-0.423,7.42,-1.562,-2.94
1200.0,-0.985,-0.254,-0.0,-0.415,-2.238,1.055,-0.984,-0.239,-0.057,1.96,-1.89,-1.47,-0.984,0.069,-0.095,5.318,2.146,2.646,-0.793,-0.456,-0.423,7.987,-1.333,-2.999
1220.0,-0.985,-0.254,-0.001,-0.351,-1.905,1.185,-0.996,-0.243,0.022,2.695,-6.557,-3.609,-0.998,0.081,-0.092,4.858,0.844,2.935,-0.8,-0.445,-0.421,5.687,-1.426,-3.913
1240.0,-0.987,-0.251,0.002,-0.81,-2.324,1.124,-0.974,-0.278,-0.013,6.559,-6.309,-0.958,-1.0,0.081,-0.097,6.32,0.072,3.977,-0.803,-0.446,-0.418,4.536,-1.834,-4.861
1260.0,-0.992,-0.242,0.004,-0.63,-2.52,1.26,-0.996,-0.228,-0.044,-0.255,-2.005,-0.865,-0.986,0.094,-0.103,8.363,0.319,5.28,-0.799,-0.452,-0.419,4.653,-1.835,-4.826
1280.0,-0.981,-0.267,0.0,0.482,-1.677,1.204,-0.976,-0.237,-0.036,-0.194,-3.065,-1.086,-0.994,0.103,-0.103,7.089,-0.764,6.1,-0.79,-0.453,-0.409,7.021,-1.162,-3.551
1300.0,-0.986,-0.247,0.001,-0.569,-2.551,1.125,-0.983,-0.23,-0.037,0.722,-3.068,-1.416,-0.99,0.087,-0.1,8.38,-0.578,6.973,-0.791,-0.443,-0.405,7.568,-0.778,-2.894
1320.0,-0.983,-0.251,0.004,-0.386,-2.346,1.12,-0.984,-0.238,-0.032,1.029,-2.857,-1.432,-0.991,0.092,-0.081,10.676,-1.301,8.447,-0.799,-0.432,-0.411,6.851,-1.501,-2.709
1340.0,-0.985,-0.255,0.002,-1.134,-2.506,1.229,-0.977,-0.243,-0.035,0.317,-2.224,-1.343,-1.001,0.103,-0.063,11.263,-3.11,7.858,-0.802,-0.427,-0.414,5.462,-2.381,-2.622
1360.0,-0.986,-0.258,-0.002,-0.896,-2.267,1.57,-0.972,-0.245,-0.035,1.186,-1.857,-0.981,-1.007,0.111,-0.058,9.66,-1.82,7.84,-0.796,-0.434,-0.414,4.944,-2.676,-1.423
1380.0,-0.985,-0.254,0.0,-0.752,-2.447,1.671,-0.978,-0.238,-0.031,1.117,-2.058,-1.111,-1.011,0.099,-0.05,10.827,-1.82,5.93,-0.798,-0.439,-0.409,6.002,-2.456,-0.706
1400.0,-0.986,-0.253,0.001,-0.508,-2.52,1.68,-0.98,-0.239,-0.039,0.559,-2.571,-1.083,-0.995,0.109,-0.044,10.46,0.906,4.868,-0.796,-0.434,-0.403,5.391,-2.756,-0.894
1420.0,-0.987,-0.255,-0.085,-0.094,-2.52,1.757,-0.974,-0.244,-0.038,0.939,-2.715,-1.05,-1.008,0.093,-0.039,9.812,2.087,4.265,-0.801,-0.443,-0.402,5.584,-2.931,0.235
1440.0,-0.986,-0.254,-0.04,0.042,-2.553,1.928,-0.975,-0.243,-0.037,1.093,-2.785,-1.05,-1.007,0.099,-0.034,9.869,1.583,3.456,-0.802,-0.445,-0.405,7.968,-2.731,2.331
1460.0,-0.986,-0.253,-0.001,0.224,-2.666,1.912,-0.976,-0.243,-0.038,1.244,-2.538,-1.05,-1.012,0.106,-0.037,8.453,-0.133,3.089,-0.801,-0.44,-0.401,7.661,-3.114,2.938
1480.0,-0.987,-0.252,-0.001,0.28,-2.983,1.916,-0.974,-0.244,-0.036,1.295,-2.345,-1.015,-1.013,0.106,-0.046,7.944,-1.043,2.86,-0.806,-0.432,-0.405,5.146,-5.131,2.362
1500.0,-0.987,-0.254,0.002,0.44,-3.118,1.992,-0.975,-0.244,-0.033,1.26,-2.247,-1.016,-1.006,0.108,-0.057,6.162,-2.192,2.622,-0.8,-0.44,-0.403,3.925,-6.015,1.811
1520.0,-0.99,-0.255,0.003,0.245,-3.36,2.075,-0.977,-0.241,-0.036,1.339,-2.251,-1.088,-1.002,0.108,-0.069,7.153,-2.123,2.975,-0.794,-0.442,-0.402,2.941,-5.847,1.335
1540.0,-0.989,-0.252,0.002,0.098,-3.575,2.021,-0.977,-0.24,-0.036,1.225,-2.546,-1.163,-0.996,0.117,-0.078,6.451,-2.61,2.96,-0.792,-0.455,-0.4,3.005,-5.484,0.981
1560.0,-0.984,-0.25,0.003,0.405,-3.314,1.858,-0.976,-0.24,-0.039,1.291,-2.58,-1.069,-0.996,0.121,-0.083,5.519,-3.091,2.776,-0.791,-0.452,-0.399,3.844,-4.694,1.049
1580.0,-0.985,-0.246,0.008,0.329,-3.129,1.799,-0.975,-0.24,-0.042,1.265,-2.615,-1.037,-0.996,0.123,-0.084,4.816,-2.776,2.237,-0.795,-0.447,-0.402,2.8,-5.051,0.184
1600.0,-0.988,-0.246,0.01,0.28,-2.979,1.77,-0.972,-0.239,-0.039,0.606,-3.034,-1.164,-0.996,0.129,-0.083,4.338,-2.325,1.423,-0.796,-0.457,-0.401,1.161,-5.171,-0.238
1620.0,-0.987,-0.248,0.004,0.216,-2.638,1.82,-0.972,-0.239,-0.034,0.263,-3.153,-1.111,-0.997,0.135,-0.082,4.091,-2.24,0.533,-0.791,-0.452,-0.402,0.358,-4.788,-1.105
1640.0,-0.987,-0.247,0.006,0.14,-2.59,1.82,-0.975,-0.24,-0.034,0.243,-2.979,-0.98,-0.992,0.134,-0.081,3.945,-2.213,-0.21,-0.792,-0.454,-0.406,0.28,-3.408,-1.26
1660.0,-0.988,-0.249,0.009,0.08,-2.59,1.792,-0.976,-0.237,-0.037,0.221,-2.94,-1.032,-0.983,0.14,-0.077,2.734,-1.279,-0.21,-0.799,-0.452,-0.405,0.542,-2.733,-1.26
1680.0,-0.988,-0.249,0.007,-0.444,-2.59,1.584,-0.975,-0.238,-0.033,0.015,-2.981,-1.252,-0.994,0.141,-0.08,2.186,-1.882,-0.203,-0.808,-0.452,-0.397,0.973,-3.148,-0.842
1700.0,-0.988,-0.249,0.004,-0.63,-2.596,1.564,-0.979,-0.242,-0.032,0.28,-3.271,-1.323,-0.99,0.14,-0.081,1.116,-1.766,0.027,-0.801,-0.444,-0.399,-0.21,-2.87,-1.12
1720.0,-0.99,-0.247,0.005,-0.741,-2.726,1.666,-0.978,-0.238,-0.042,0.273,-3.744,-1.161,-0.996,0.14,-0.083,0.469,-2.4,0.276,-0.803,-0.451,-0.401,-0.48,-3.026,-1.055
1740.0,-0.99,-0.247,0.005,-1.133,-2.966,1.618,-0.976,-0.236,-0.041,0.14,-4.2,-1.05,-0.995,0.139,-0.08,-0.89,-2.519,0.027,-0.806,-0.457,-0.398,-0.359,-3.608,-1.05
1760.0,-0.988,-0.249,0.003,-0.583,-3.001,1.702,-0.973,-0.238,-0.035,0.001,-4.2,-1.19,-0.993,0.134,-0.077,-2.899,-2.463,-0.252,-0.801,-0.452,-0.395,-1.331,-3.572,-1.113
1780.0,-0.986,-0.252,0.006,-0.37,-2.919,1.75,-0.973,-0.239,-0.033,0.234,-4.121,-1.188,-0.996,0.131,-0.062,-3.494,-0.83,-0.517,-0.8,-0.456,-0.388,-1.715,-3.966,-1.181
1800.0,-0.988,-0.25,0.007,-0.57,-2.871,1.749,-0.973,-0.242,-0.032,0.35,-4.064,-1.123,-1.002,0.115,-0.055,-4.491,-0.624,-1.467,-0.799,-0.457,-0.391,-1.169,-3.982,-1.118
1820.0,-0.989,-0.244,0.007,-0.766,-2.939,1.68,-0.973,-0.24,-0.029,0.211,-3.928,-1.05,-0.992,0.1,-0.07,1.748,0.624,-1.339,-0.796,-0.452,-0.391,-0.24,-3.633,-0.431
1840.0,-0.989,-0.25,0.006,-0.513,-2.871,1.68,-0.976,-0.241,-0.031,0.48,-3.723,-1.115,-1.003,0.149,-0.092,2.305,-0.095,-0.851,-0.798,-0.449,-0.397,-1.232,-3.788,-0.935
1860.0,-0.989,-0.247,0.007,-0.321,-3.007,1.527,-0.975,-0.243,-0.033,0.629,-3.367,-1.253,-1.029,0.157,-0.057,-7.7,-1.96,-2.87,-0.801,-0.45,-0.4,-1.61,-3.894,-1.215
1880.0,-0.987,-0.244,0.006,-0.143,-2.941,1.471,-0.97,-0.236,-0.029,0.501,-3.296,-1.399,-0.992,0.088,-0.065,-6.21,-4.021,-1.986,-0.802,-0.452,-0.4,-0.89,-3.814,-0.949
1900.0,-0.991,-0.244,0.006,-0.14,-3.08,1.47,-0.972,-0.238,-0.034,0.143,-2.942,-1.397,-0.979,0.105,-0.079,-2.678,-0.015,-0.552,-0.802,-0.449,-0.401,-1.482,-3.686,-1.128
1920.0,-0.99,-0.244,0.005,0.033,-2.856,1.47,-0.972,-0.239,-0.028,0.288,-3.006,-1.252,-0.998,0.122,-0.088,2.324,0.017,-0.606,-0.8,-0.455,-0.399,-1.874,-3.607,-1.361
1940.0,-0.988,-0.246,0.009,0.2,-2.541,1.533,-0.974,-0.241,-0.029,0.34,-2.804,-1.191,-0.997,0.14,-0.077,-16.746,0.678,-0.748,-0.795,-0.458,-0.397,-1.715,-3.422,-1.283
1960.0,-0.985,-0.249,0.005,-0.137,-2.651,1.475,-0.975,-0.232,-0.034,0.617,-2.809,-1.193,-1.003,0.124,-0.091,-12.662,-5.265,-1.611,-0.793,-0.453,-0.398,-1.82,-2.97,-1.225
1980.0,-0.989,-0.245,0.009,-0.603,-2.61,1.47,-0.979,-0.237,-0.038,0.324,-3.046,-1.27,-0.993,0.101,-0.108,-8.173,-6.021,-0.973,-0.795,-0.455,-0.4,-1.806,-2.571,-1.254
2000.0,-0.985,-0.243,0.006,-0.63,-2.41,1.407,-0.977,-0.242,-0.035,0.184,-3.214,-1.35,-0.988,0.098,-0.113,-4.911,-5.968,0.354,-0.797,-0.455,-0.404,-1.423,-2.465,-1.313
2020.0,-0.988,-0.246,0.008,-0.319,-2.32,1.4,-0.974,-0.236,-0.031,0.003,-3.026,-1.537,-0.989,0.103,-0.11,-2.879,-6.185,1.005,-0.797,-0.449,-0.404,-1.645,-2.624,-1.749
