Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
0.0,-0.992,-0.057,0.228,-1.19,-2.03,-0.42,-1.009,-0.142,0.09,-2.1,-0.63,0.84,-1.007,0.031,0.021,-0.63,-2.38,-0.98,-0.996,0.007,0.081,-1.82,-5.18,0.42,-0.984,-0.165,-0.176,-3.71,-3.71,0.91
20.0,-0.991,-0.052,0.231,-0.98,-1.89,-0.42,-1.005,-0.138,0.088,-1.085,0.115,1.008,-1.003,0.023,0.019,-1.05,-2.03,-0.84,-0.987,-0.001,0.078,-0.577,-4.214,1.125,-0.987,-0.171,-0.177,-3.918,-3.265,1.527
40.0,-0.991,-0.052,0.233,-1.12,-1.82,-0.42,-1.012,-0.133,0.086,-1.364,-0.066,1.263,-1.009,0.023,0.018,-0.402,-2.03,-1.008,-0.992,0.0,0.077,0.517,-2.768,1.836,-0.996,-0.173,-0.17,-3.591,-3.037,2.081
60.0,-0.997,-0.053,0.236,-1.068,-1.938,-0.29,-1.011,-0.139,0.077,-0.589,-0.504,1.739,-1.004,0.024,0.017,-0.538,-1.716,-1.217,-1.002,0.004,0.082,0.838,-2.37,2.04,-0.994,-0.169,-0.168,-3.57,-2.882,1.909
80.0,-0.995,-0.059,0.235,-0.874,-2.013,-0.28,-1.014,-0.13,0.08,-1.275,-1.27,1.46,-1.013,0.02,0.012,0.393,-2.257,-1.46,-1.0,0.004,0.083,0.376,-2.244,2.232,-0.983,-0.163,-0.172,-4.9,-2.24,0.84
100.0,-0.996,-0.058,0.232,-0.776,-2.169,-0.28,-1.01,-0.129,0.082,-1.953,-1.833,1.042,-1.016,0.026,0.015,0.626,-3.026,-1.47,-0.995,0.002,0.084,-0.257,-2.184,2.376,-0.988,-0.175,-0.17,-5.81,-2.17,0.07
120.0,-0.993,-0.057,0.226,-0.38,-1.429,-0.344,-1.009,-0.131,0.081,-2.422,-1.645,0.554,-1.002,0.032,0.02,-0.29,-3.216,-1.523,-0.992,-0.003,0.086,-0.222,-1.862,2.244,-0.991,-0.187,-0.161,-4.111,-2.624,0.333
140.0,-0.992,-0.062,0.227,-0.789,-1.197,-0.241,-1.014,-0.135,0.081,-2.354,-2.049,0.37,-1.005,0.014,0.017,-0.057,-2.881,-1.812,-0.991,-0.007,0.084,0.052,-1.411,2.379,-0.989,-0.191,-0.157,-1.254,-2.221,1.115
160.0,-0.989,-0.061,0.223,-0.495,-1.68,-0.114,-1.011,-0.128,0.084,-1.718,-2.1,0.283,-1.01,0.019,0.019,1.512,-3.21,-1.738,-0.991,-0.011,0.092,0.504,-1.294,2.318,-0.995,-0.181,-0.164,0.674,-2.432,1.654
180.0,-0.989,-0.049,0.215,1.182,-1.25,0.027,-1.011,-0.134,0.078,-1.736,-2.318,0.28,-1.008,0.032,0.022,1.233,-3.29,-1.415,-1.0,-0.014,0.09,1.038,-1.052,2.379,-0.994,-0.168,-0.165,0.479,-2.901,1.135
200.0,-0.991,-0.048,0.22,1.465,-0.723,0.173,-1.014,-0.139,0.079,-1.28,-2.772,0.559,-1.002,0.029,0.022,-0.211,-2.936,-1.566,-1.008,-0.01,0.09,1.164,-1.349,2.245,-0.992,-0.17,-0.162,-0.791,-3.219,0.189
220.0,-0.993,-0.053,0.224,0.571,-0.289,0.154,-1.013,-0.139,0.084,-0.546,-2.836,0.932,-1.005,0.024,0.019,-0.229,-2.785,-1.667,-1.006,-0.014,0.091,1.242,-1.336,1.812,-0.989,-0.171,-0.158,-1.553,-3.22,-0.819
240.0,-1.003,-0.05,0.23,-0.91,-0.171,-0.023,-1.011,-0.132,0.086,-0.564,-2.576,0.884,-1.006,0.024,0.02,0.561,-2.834,-1.61,-1.005,-0.013,0.097,1.826,-1.386,1.554,-0.986,-0.172,-0.161,-1.864,-3.165,-1.855
260.0,-1.003,-0.052,0.232,-0.949,-1.105,-0.168,-1.013,-0.133,0.084,-0.605,-2.299,0.873,-1.006,0.029,0.021,0.505,-2.707,-1.689,-0.997,-0.01,0.099,1.96,-1.4,1.239,-0.984,-0.174,-0.165,-1.816,-3.37,-2.525
280.0,-0.997,-0.055,0.226,-0.494,-1.311,-0.25,-1.013,-0.137,0.084,-0.22,-1.817,0.951,-1.006,0.029,0.021,-0.163,-2.399,-1.75,-0.993,-0.013,0.097,2.08,-1.28,0.967,-0.986,-0.177,-0.166,-1.11,-3.265,-2.278
300.0,-0.991,-0.056,0.22,-0.086,-1.19,-0.314,-1.011,-0.135,0.082,0.066,-1.678,0.891,-1.007,0.02,0.018,-0.249,-2.429,-1.721,-0.995,-0.008,0.1,1.989,-1.26,0.561,-0.989,-0.174,-0.164,0.06,-3.33,-1.745
320.0,-0.99,-0.055,0.222,0.089,-1.159,-0.426,-1.01,-0.132,0.081,-0.517,-1.894,0.77,-1.009,0.023,0.018,0.176,-2.59,-1.632,-1.0,-0.006,0.1,1.218,-1.426,-0.303,-0.983,-0.169,-0.167,0.21,-3.046,-1.341
340.0,-0.992,-0.055,0.225,0.355,-1.14,-0.49,-1.008,-0.134,0.082,-0.793,-2.17,0.839,-1.007,0.028,0.018,0.0,-2.59,-1.61,-1.01,-0.008,0.097,0.608,-1.929,-1.078,-0.981,-0.17,-0.169,0.21,-2.536,-1.153
360.0,-0.995,-0.056,0.224,0.669,-1.089,-0.555,-1.004,-0.138,0.077,0.687,-2.783,1.12,-1.005,0.027,0.017,-0.439,-2.527,-1.635,-1.012,-0.008,0.093,0.621,-2.449,-1.645,-0.988,-0.173,-0.17,0.322,-2.093,-0.945
380.0,-0.996,-0.055,0.224,0.646,-0.397,-0.867,-1.011,-0.133,0.084,0.67,-2.63,0.947,-1.006,0.02,0.019,0.012,-2.45,-1.724,-1.007,-0.007,0.091,1.103,-2.594,-1.989,-0.989,-0.172,-0.17,0.922,-2.351,-0.444
400.0,-0.997,-0.052,0.227,1.036,0.214,-1.063,-1.011,-0.132,0.086,-0.553,-2.17,0.39,-1.007,0.018,0.019,1.34,-2.509,-1.691,-1.007,-0.008,0.094,2.335,-2.369,-1.463,-0.988,-0.173,-0.172,1.725,-2.121,-0.475
420.0,-0.998,-0.053,0.228,1.668,-0.004,-1.076,-1.011,-0.133,0.086,-1.605,-2.092,0.156,-1.01,0.025,0.016,1.761,-2.64,-1.565,-1.001,-0.005,0.097,2.968,-2.405,-0.704,-0.987,-0.171,-0.17,2.142,-2.204,-0.793
440.0,-1.001,-0.057,0.23,1.556,-0.77,-1.01,-1.01,-0.14,0.082,-1.434,-1.57,0.316,-1.006,0.031,0.016,1.01,-2.59,-1.785,-0.999,-0.002,0.092,3.033,-1.967,-0.21,-0.983,-0.164,-0.169,1.706,-1.957,-1.513
