Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
0.0,-1.0,-0.078,0.0,31.5,14.84,17.78,-0.995,0.189,-0.063,21.21,-8.05,3.57,-1.002,0.031,-0.058,39.9,-19.53,-2.94,-1.021,-0.022,-0.032,35.35,13.23,-3.78
20.0,-0.999,-0.071,-0.108,31.76,14.05,16.448,-0.991,0.219,-0.075,23.293,-8.119,3.639,-0.993,0.002,-0.04,38.072,-18.353,-3.496,-1.02,-0.016,-0.04,35.49,11.76,-5.95
40.0,-0.996,-0.062,-0.12,32.774,12.901,15.576,-0.98,0.261,-0.068,20.114,-7.705,3.394,-0.99,0.031,-0.008,36.655,-16.577,-2.136,-1.001,-0.007,-0.035,36.33,10.85,-8.33
60.0,-0.996,-0.063,-0.127,32.539,11.934,14.972,-0.978,0.261,-0.067,15.893,-6.942,2.487,-0.988,0.064,-0.023,31.993,-15.28,-2.675,-1.0,0.015,-0.03,35.505,10.973,-10.003
80.0,-0.987,-0.069,-0.136,32.48,11.521,14.075,-0.989,0.234,-0.061,11.321,-6.443,2.41,-0.995,0.053,-0.037,25.082,-12.444,-2.982,-1.015,0.026,-0.028,33.39,10.29,-11.06
100.0,-0.978,-0.06,-0.137,32.53,12.712,13.161,-1.002,0.201,-0.046,13.439,-6.828,3.079,-0.998,0.057,-0.034,21.409,-12.395,-2.394,-1.023,0.024,-0.033,31.725,8.576,-11.443
120.0,-0.987,-0.063,-0.127,32.55,13.299,12.384,-1.0,0.217,-0.072,16.941,-8.576,4.456,-1.013,0.054,-0.04,17.843,-12.105,-1.99,-1.016,0.03,-0.039,30.744,7.793,-11.539
140.0,-0.993,-0.068,-0.133,31.932,11.365,11.88,-0.994,0.244,-0.061,15.379,-9.677,4.714,-1.019,0.036,-0.029,17.752,-12.002,-1.618,-1.007,0.044,-0.041,27.768,9.837,-11.4
160.0,-0.989,-0.062,-0.144,31.523,9.955,11.187,-0.982,0.272,-0.065,10.306,-9.611,4.846,-0.998,0.043,-0.026,18.946,-10.699,-0.637,-1.049,0.041,-0.043,28.834,5.302,-11.346
180.0,-0.994,-0.052,-0.149,31.854,10.14,10.463,-0.977,0.271,-0.077,2.787,-7.488,3.81,-0.996,0.041,-0.041,18.799,-7.007,-0.931,-1.037,0.029,-0.053,28.701,3.75,-9.496
