Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
0.0,-0.956,-0.023,-0.184,-4.69,-4.2,-3.08,-1.003,0.127,0.131,-4.62,2.66,-7.7,-0.957,0.367,-0.022,7.77,-16.31,13.02,-1.039,-0.185,0.017,-13.02,3.99,0.84
20.0,-0.978,-0.036,-0.16,-3.56,-5.043,-4.114,-1.013,0.134,0.134,-4.48,1.4,-6.79,-0.965,0.383,-0.023,1.897,-18.095,14.09,-1.03,-0.186,0.027,-8.814,3.735,1.14
40.0,-0.989,-0.043,-0.146,-1.335,-7.577,-5.129,-1.017,0.131,0.131,-4.086,0.018,-5.498,-0.972,0.38,-0.031,-3.665,-18.512,15.037,-1.01,-0.185,0.03,-4.533,2.404,1.359
60.0,-0.987,-0.03,-0.168,-0.4,-7.767,-5.345,-1.01,0.141,0.119,-4.514,-1.574,-4.386,-0.997,0.366,-0.049,-7.912,-19.849,16.48,-0.989,-0.178,0.036,-1.621,1.285,1.595
80.0,-0.994,-0.022,-0.202,0.324,-4.771,-5.936,-1.01,0.136,0.128,-4.69,-3.5,-3.08,-1.012,0.346,-0.07,-8.118,-21.756,18.39,-0.974,-0.162,0.035,-2.423,-0.497,0.982
100.0,-0.999,0.002,-0.198,2.08,0.163,-5.95,-1.005,0.123,0.139,-4.69,-3.85,-2.1,-1.011,0.331,-0.085,-6.65,-22.82,20.37,-0.955,-0.158,0.036,-5.445,-0.63,0.486
120.0,-1.003,0.013,-0.181,3.171,2.744,-5.346,-1.009,0.116,0.146,-3.955,-4.088,-1.434,-1.002,0.324,-0.094,-3.814,-24.213,22.396,-0.956,-0.163,0.033,-7.837,-0.204,1.112
140.0,-1.014,0.018,-0.167,3.335,3.136,-3.777,-1.006,0.117,0.143,-1.927,-4.478,-0.654,-0.989,0.325,-0.091,-2.012,-24.175,23.71,-0.978,-0.168,0.023,-10.946,0.311,2.974
160.0,-1.037,0.008,-0.151,3.861,2.799,-2.731,-1.002,0.135,0.141,-1.557,-4.356,-0.351,-0.964,0.327,-0.089,-1.93,-23.706,23.498,-1.003,-0.183,0.016,-12.264,0.298,5.591
180.0,-1.035,-0.007,-0.151,3.66,0.339,-3.059,-1.004,0.137,0.14,-1.599,-4.445,0.002,-0.945,0.334,-0.085,-3.332,-21.726,21.88,-1.017,-0.191,0.01,-12.496,0.495,8.263
200.0,-1.0,-0.015,-0.19,1.491,-1.124,-4.343,-1.106,0.136,0.14,-1.567,-4.543,0.171,-0.92,0.347,-0.066,-7.445,-19.374,19.433,-1.029,-0.201,0.001,-12.082,0.97,10.541
220.0,-0.997,-0.018,-0.237,1.021,4.551,-6.718,-1.019,0.135,0.146,-1.353,-4.418,0.424,-0.907,0.352,-0.051,-11.905,-15.47,15.719,-1.052,-0.212,-0.003,-9.098,1.103,11.253
