Joint,MSE,RMSE,MAE,R2
pelvis,3.062735080718994,1.7500671646308303,1.3663009405136108,0.8814535737037659
shoulders,5.756990432739258,2.3993729248991826,1.765622615814209,0.9822681546211243
trunk,6.137730121612549,2.477444272150748,1.825194001197815,0.984213650226593
left thigh,7.8733906745910645,2.8059562852245334,2.0065765380859375,0.9488173723220825
right thigh,8.048019409179688,2.8369031370809417,2.0364105701446533,0.9500156044960022
right hip,12.01855182647705,3.4667783065083713,2.246755838394165,0.9978381395339966
left knee,12.132657051086426,3.483196384226193,2.040060043334961,0.9980615973472595
left hip,13.441492080688477,3.6662640495044103,2.257784843444824,0.9968826770782471
left shank,14.020231246948242,3.7443599248667643,2.4033288955688477,0.8923137784004211
right foot,14.552502632141113,3.8147742570355474,2.768348455429077,0.9729020595550537
head,16.128576278686523,4.016039875136516,2.763962507247925,0.9733952283859253
right shank,16.298248291015625,4.037108902545933,2.445033073425293,0.8850384950637817
left foot,16.678241729736328,4.083900308496319,2.8814494609832764,0.9430158734321594
right knee,19.12123680114746,4.372783644447488,2.293494462966919,0.9969096779823303
left ankle,21.823442459106445,4.671556748997752,3.2335028648376465,0.9676874876022339
right arm,22.636993408203125,4.75783494965968,3.4208192825317383,0.9774636030197144
right shoulder,23.613414764404297,4.8593636172244095,3.3477771282196045,0.9943517446517944
left arm,23.8453311920166,4.883168151110159,3.4647040367126465,0.9759774804115295
right ankle,24.775835037231445,4.977533027236629,3.2814464569091797,0.9703580141067505
right elbow,26.000484466552734,5.099067019225452,3.43514347076416,0.994827926158905
left shoulder,27.960559844970703,5.287774564499768,3.622396230697632,0.9939347505569458
left elbow,29.302642822265625,5.413191556029181,3.5688893795013428,0.9941800832748413
right forearm,31.329172134399414,5.597246835221707,3.82161283493042,0.9710593223571777
left forearm,34.72579574584961,5.892859725621306,3.971672534942627,0.9689180254936218
