repeat,best_epoch,test_mse,test_rmse,test_mae,test_r2,train_time_s
1,50,5268.13427734375,72.58191425791793,51.107913970947266,0.2861064672470093,191.46
2,50,5375.8310546875,73.3200590199401,51.95481491088867,0.276872456073761,182.64
3,50,5503.9765625,74.1887900056336,53.37889099121094,0.2580481767654419,197.65
4,49,5242.115234375,72.40245323450719,50.83738327026367,0.2898292541503906,198.45
5,50,5361.69091796875,73.2235680499711,52.04880905151367,0.27565306425094604,197.9
6,49,5624.38916015625,74.99592762381334,54.52638626098633,0.24004441499710083,184.39
7,50,5398.0107421875,73.47115585171844,52.377349853515625,0.27117347717285156,189.15
8,50,5471.80224609375,73.97163136022992,53.08496856689453,0.2603664994239807,184.0
9,50,5322.22705078125,72.95359518749744,51.70265579223633,0.2818126082420349,196.55
10,50,5374.09912109375,73.30824729246874,52.09700393676758,0.2782112956047058,196.76
